step_id,step_name,target_table,description,inputs,outputs,blocking_if_failed
S01,Load_canonical_identity_and_import_rows,mt_points_raw.csv,Build raw points from imported channels and canonical file inventory with immutable key file_id_plus_row_index,imported_DAT_rows_and_mt_file_inventory,raw_point_rows_with_identity,YES
S02,Enforce_raw_schema_and_time_contract,mt_points_raw.csv,Validate raw schema and ensure time_s is imported channel in seconds not assumed elapsed,mt_points_raw_schema_contract,validated_mt_points_raw,YES
S03,Build_clean_row_preserving_transform,mt_points_clean.csv,Produce clean table as deterministic row preserving transform carrying M_emu_raw M_emu_clean M_emu_smooth,mt_points_raw_and_cleaning_policy_outputs,mt_points_clean_candidate,YES
S04,Attach_cleaning_traceability_fields,mt_points_clean.csv,Populate cleaning diagnostics fields and points_changed traceability columns,mt_cleaning_audit_and_clean_outputs,mt_points_clean_traceable,YES
S05,Attach_segmentation_annotations,mt_points_clean.csv,Attach segment_id segment_type segment_source as annotation only not cleaning semantics,mt_segments_and_policy_labels,mt_points_clean_with_segments,NO
S06,Build_derived_from_clean_only,mt_points_derived.csv,Compute derived channels strictly from clean inputs including optional time_rel_s and validity flags,mt_points_clean_only,mt_points_derived_candidate,YES
S07,Apply_derived_missing_reason_policy,mt_points_derived.csv,Represent uncomputable derived values as NaN with reason codes and validity flags,mt_points_derived_candidate,mt_points_derived_validated,YES
S08,Build_observables_default_from_derived,mt_observables.csv,Aggregate observables from derived by default with full provenance metadata,mt_points_derived,mt_observables_default,YES
S09,Allow_clean_observable_exceptions_with_provenance,mt_observables.csv,Permit direct clean based observables only when source_columns and aggregation_method explicitly document exception,mt_points_clean_and_exception_registry,mt_observables_final,YES
S10,Run_contract_validation_gates,all_point_tables,Execute schema identity parity provenance and isolation gates and emit gate outcomes,all_produced_point_tables_and_gate_specs,validation_gate_results,YES
S11,Apply_failure_policy_to_readiness,run_summary_flags,Map failed gates to FULL_CANONICAL_DATA_PRODUCT and MT readiness fields per failure policy,validation_gate_results_and_failure_mode_mapping,updated_run_readiness_flags,YES
