AUDIT_SECTION,FIELD,VALUE_OR_NOTES
1_enforcement_vs_execution,ENFORCEMENT_ON_EXECUTION_PATH,PARTIAL
1_enforcement_vs_execution,BYPASS_PATHS,"All Switching execution and analysis scripts except Switching/analysis/analyze_phi_kappa_canonical_space.m; canonical entry Switching/analysis/run_switching_canonical.m; createRunContext/createSwitchingRunContext when callers never invoke assertModulesCanonical; any non-Switching MATLAB entrypoints; interactive or direct matlab runs that skip the helper"
1_enforcement_vs_execution,assertModulesCanonical_call_sites,"Switching/analysis/analyze_phi_kappa_canonical_space.m only (repo-wide search)"
2_enforcement_vs_run_context,ENFORCEMENT_COMPATIBLE_WITH_RUN_CONTEXT,YES
2_enforcement_vs_run_context,notes,"assertModulesCanonical is orthogonal to createRunContext; createSwitchingRunContext wires beforeManifestWrite to assertSwitchingRunDirCanonical not assertModulesCanonical; run_manifest.json has no MODULE_CANONICAL fields"
3_enforcement_vs_failure,FAILURE_PATH_ISOLATION_SAFE,NO
3_enforcement_vs_failure,notes,"allocateSwitchingFailureRunContext calls createSwitchingRunContext only; assertModulesCanonical is never invoked on failure allocation; run_dir still constrained by assertSwitchingRunDirCanonical"
4_enforcement_vs_signaling,SIGNALING_CAN_HIDE_VIOLATION,YES
4_enforcement_vs_signaling,notes,"writeSwitchingExecutionStatus does not consult module_canonical_status or assertModulesCanonical; SUCCESS or FAILED can be written without cross-module registry checks"
5_enforcement_vs_data_contract,DATA_LAYER_BYPASS_POSSIBLE,YES
5_enforcement_vs_data_contract,notes,"readtable and repo-root tables/ CSVs load without assertModulesCanonical; load_observables gates on run_status CANONICAL not module registry"
6_global_invariant,INVARIANT_STATEMENT,"NO CROSS-MODULE ANALYSIS WITH NON-CANONICAL MODULES"
6_global_invariant,INVARIANT_TRUE,NO
6_global_invariant,INVARIANT_ENFORCED,NO
summary,INFRA_CONSISTENT,NO
