review_group,item,result,evidence,claim_boundary
status_flag,LIMITED_CLAIM_READINESS_COMPLETED,YES,"Read-only limited claim-readiness review completed using E5B claim boundary plus Stage E5 evidence.","Establishes safe wording and update-readiness without changing claims/context/snapshot files."
status_flag,LIMITED_CLAIMS_ALLOWED,YES,"E5B allowed limited claims and limited claim-readiness.","Leading-order interpretive claims are allowed now, but only with explicit boundary language."
status_flag,FULL_CLOSURE_CLAIMS_BLOCKED,YES,"E5B blocked full closure; diagnostic rank-3 gain remains 0.2530 with p=0.0020.","No full-closure claims are currently safe."
status_flag,RANK3_DOCUMENTED_AS_OPEN_RESIDUAL,YES,"E5B classified rank-3 as `weak_structured_residual` and forbade promotion.","Rank-3 may be mentioned only as an open residual branch / weak structured residual."
status_flag,READY_FOR_LIMITED_CONTEXT_UPDATE,PARTIAL,"Context updates may be partially opened only if they preserve the leading-order / not-full-closure boundary and explicitly document rank-3 as an open residual branch.","Only partial context opening is safe because caveats must travel with the update."
status_flag,READY_FOR_SNAPSHOT_UPDATE,PARTIAL,"Snapshot updates may be partially opened only in a caveated form that includes the same closure disclaimer; uncaveated compressed summaries remain blocked.","Only partial snapshot opening is safe because concise summaries can easily overstate closure."
allowed_claim,leading_order_model_statement,YES,"Within the canonical Switching analysis, the backbone + Phi1 + Phi2 hierarchy is currently the leading-order interpretable model, reducing full-domain RMSE from 0.0642 to 0.0211 to 0.0109 and explaining 97.13% of the backbone residual variance.","Safe wording for the core model statement."
allowed_claim,phi1_statement,YES,"Phi1 is interpreted as a stable first residual correction consistent with the D4 `backbone_error` classification and the Stage E canonical observable mapping for kappa1.","Safe wording for Phi1 interpretation."
allowed_claim,phi2_statement,YES,"Phi2 is interpreted as a stable second residual correction consistent with the D4 `backbone_tail_residual` / `tail_burden_tracker` classification and is especially important in the high-rank tail region, where the rank-2 model explains 99.06% of backbone residual variance.","Safe wording for Phi2 interpretation."
allowed_claim,boundary_statement,YES,"This rank-2 interpretation should be stated as leading-order only, not as full closure, because a diagnostic rank-3 residual still yields 0.2530 fractional fit gain after Phi2 (p=0.0020).","Mandatory boundary sentence accompanying limited claims."
allowed_claim,rank3_open_branch_statement,YES,"Rank-3 should be documented only as an open residual branch classified as `weak_structured_residual`: it is not promoted into the canonical model and does not yet show convincing canonical observable linkage (best |rho|=0.3912, p=0.1397).","Safe wording for documenting the rank-3 branch without promoting it."
blocked_claim,full_closure_statement,YES,"Blocked: any statement that the canonical model is fully closed at rank-2 or that higher-order residual structure is negligible.","Must remain excluded from claims/context/snapshot updates."
blocked_claim,rank3_promotion_statement,YES,"Blocked: any statement that rank-3 is a resolved physical mode, an established observable-linked signal, or part of the promoted model.","Must remain excluded from claims/context/snapshot updates."
update_scope,context_update_scope,PARTIAL,"Allowed only for bounded canonical-model wording plus explicit non-closure caveat and open-rank3 note.","Context updates are partially open, not broadly open."
update_scope,snapshot_update_scope,PARTIAL,"Allowed only if the snapshot format can preserve both the non-closure caveat and the open-rank3 note.","Snapshot updates are more compression-sensitive and remain only partially open."
