stage,checklist_id,checklist_item,legacy_parity_item,canonical_input_required,gated_input_required,width_or_alignment_risk,carry_forward_decision,notes
1,1.1,Measured S_percent heatmap on physical T_K x current_mA with optional per-channel panels,switching_map_generation_visualization ver12 plotAmpTempSwitchingMap family,switching_canonical_S_long.csv + .meta.json,YES,LOW,carry_forward_canonical,Implemented run_switching_canonical_map_visualization.m measured-only slice; extend for multi-panel parity
1,1.2,PT/CDF backbone heatmap S_model_pt_percent same grid as measured S,PT_CDF_backbone_visualization legacy backbone panels,switching_canonical_S_long.csv + .meta.json,YES,LOW,carry_forward_canonical,Columns already in S_long; not yet second script panel in Stage 1 entrypoint
1,1.3,Direct residual_percent column heatmap if present vs derived S minus S_model_pt,residual_map_legacy_residual_decomposition_visualization,switching_canonical_S_long.csv + .meta.json,YES,LOW,carry_forward_canonical,Parity check like run_switching_canonical_first_figure_anchor residual panel
1,1.4,CDF_pt or PT_pdf optional contour for PT construction audit,PT_pdf_visualization_legacy,switching_canonical_S_long.csv + .meta.json,YES,LOW,optional,Supports backbone narrative; not width axis
1,1.5,Cross-read switching_canonical_validation.csv row summary in visualization report,validation_gate_legacy_anchor,switching_canonical_validation.csv from same canonical run as S_long,PARTIAL,LOW,carry_forward_as_diagnostic_only,Provenance only; validation not always meta-gated with S_long; optional hash line in report
1,1.6,Explicit figure caption block listing run_id source_run_id paths,paper_spine_provenance,switching_canonical_S_long.csv.meta.json fields,YES,LOW,needs_redesign,Stage 6 formalizes; Stage 1 remains inspection-only per map viz report
2,2.1,Archive read switching_canonical_collapse_hierarchy_error_vs_T dominance status without recompute,collapse_metrics_legacy_collapse_error_vs_T_family,switching_canonical_collapse_hierarchy_*.csv switching_canonical_input_gate_status.csv,YES,LOW,carry_forward_canonical,Already satisfied post-sign-fix
2,2.2,Spatial heatmaps of pred0 pred1 pred2 matching hierarchy math on aggregated grid,reconstruction_maps_legacy_residual_collapse_verification,switching_canonical_S_long.csv switching_canonical_phi1.csv switching_mode_amplitudes_vs_T.csv + meta for each gated path,YES,LOW,carry_forward_canonical,Primary Stage 2 visualization gap; not yet second script
2,2.3,Spatial residual after backbone Smap minus Bmap,residual_after_level0_legacy,switching_canonical_S_long.csv + .meta.json,YES,LOW,carry_forward_canonical,Same inputs as hierarchy pred0
2,2.4,Spatial residual after Phi1 level Smap minus pred1,residual_after_level1_legacy,switching_canonical_S_long.csv switching_canonical_phi1.csv switching_mode_amplitudes_vs_T.csv + meta,YES,LOW,carry_forward_canonical,Uses signed pred1 convention from hierarchy
2,2.5,Spatial residual after Phi2 level Smap minus pred2,residual_after_level2_legacy,same as 2.4 plus hierarchy internal phi2 from R1 SVD,YES,LOW,carry_forward_canonical,phi2Vec is computed inside hierarchy not separate CSV export today
2,2.6,Per-channel RMSE extension of hierarchy not only aggregated S,collapse_per_channel_legacy_multi_channel_maps,switching_canonical_S_long.csv long form by channel,PARTIAL,LOW,needs_redesign,Hierarchy today aggregates across channels like residual producer grid
2,2.7,Export phi2Vec per run to table for reproducible spatial plots,phi2_export_gap,switching_canonical_collapse_hierarchy producer extension,N_A,LOW,optional,Out of scope for plan-only artifact; listed as parity gap; producer_change_deferred
3,3.1,Join transition_flag onto collapse error_vs_T by T_K,regime_high_T_legacy_transition_scripts,switching_transition_detection.csv switching_canonical_collapse_hierarchy_error_vs_T.csv,PARTIAL,LOW,carry_forward_canonical,transition CSV not in five-input gate
3,3.2,Slice hierarchy metrics by regime_label from switching_residual_rank_structure_by_regime,regime_rank_legacy_by_regime_table,switching_residual_rank_structure_by_regime.csv + transition for labels,PARTIAL,LOW,carry_forward_canonical,Rank table gated for collapse but regime narrative merge manual
3,3.3,High-T 28-30 K anomaly table tied to gated metrics,high_T_legacy_metric_interpretation,switching_canonical_collapse_metric_interpretation.csv + hierarchy_error_vs_T,NO,LOW,carry_forward_as_diagnostic_only,Already interpreted post-sign-fix; refresh when Stage 2 maps exist
3,3.4,22-24 K window reconstruction diagnostic on gated inputs only,window_22_24_legacy_run_switching_reconstruction_window18_30,switching_canonical_S_long.csv + .meta.json gated,PARTIAL,MEDIUM alignment_risk_if_script_reused_unadapted,carry_forward_as_diagnostic_only,Legacy script alignment-coupled; needs gated adapter per gap audit
3,3.5,Residual cosine stability vs T from mode tables if reproduced on gated path,mode_stability_legacy_switching_mode_shape_stability,switching_mode_shape_stability.csv from residual run + S_long,PARTIAL,LOW,optional,Not collapse-gated; canonical residual producer output
4,4.1,Crosswalk S_peak I_peak kappa1 from observables to S_long aggregates,observable_mapping_legacy_switching_effective_observables,switching_canonical_observables.csv switching_canonical_S_long.csv,PARTIAL,LOW,carry_forward_canonical,Observables not meta-gated with same contract as S_long today
4,4.2,PT relationship classification parity read-only,PT_audit_legacy_run_switching_PT_consistency_audit,"tables/switching_PT_relationships_*.csv vs canonical exports",NO,MEDIUM,carry_forward_as_diagnostic_only,Legacy tables may reference non-canonical paths; read-only compare only
4,4.3,Channel identity duplicate check report from S_long,channel_propagation_legacy_canonical_ci_report,switching_canonical_S_long.csv,PARTIAL,LOW,carry_forward_canonical,Producer already emits channel columns; checklist ensures viz uses them
5,5.1,Leave-one-temperature-out refit of dominance ordering using gated CSVs only,robustness_legacy_parameter_robustness,switching_canonical_collapse_hierarchy inputs five CSVs + meta,YES,LOW,carry_forward_canonical,New thin analysis; no legacy script required
5,5.2,Ridge window sensitivity on current_mA axis only no width normalization,robustness_legacy_switching_ridge_susceptibility,switching_canonical_S_long.csv,YES,MEDIUM,carry_forward_as_diagnostic_only,Ridge heuristic is diagnostic if labeled non-canonical-base
5,5.3,Explicit exclusion register for width interaction and full_scaling scripts,width_legacy_run_width_interaction_closure_test switching_full_scaling_collapse,policy_only N_A,NO,HIGH,exclude_width_based,Do not carry as canonical truth; audit reference only
