field,required_for_diagnostic,required_for_canonical,required_for_replay,required_for_maintenance,allowed_values,default_if_missing,enforcement_mode,helper_text
namespace_id,RECOMMENDED,REQUIRED,REQUIRED,REQUIRED,governance ids from switching_analysis_namespace_clean_map.csv,UNKNOWN_WARN,WARN,"Must match narrative or technical id per switching_analysis_map.md"
writer_script_path,RECOMMENDED,REQUIRED,REQUIRED,REQUIRED,repo-relative path to .m or .ps1,derive from mfilename where possible,SUGGEST,"Enables supersession and replay audits"
output_paths,RECOMMENDED,REQUIRED,REQUIRED,REQUIRED,semicolon-separated files or glob,n/a for read-only audits,WARN,"Declare tables/reports/figures targets before write"
source_inputs,RECOMMENDED,REQUIRED,REQUIRED,REQUIRED,run_id paths CSV MAT alignment,SOURCE_UNKNOWN,WARN,"Include CANON_GEN_SOURCE run id for S-backed outputs"
family_separation,RECOMMENDED,REQUIRED,RECOMMENDED,RECOMMENDED,"legacy_old | corrected_old | canonical_residual_decomposition | canonical_geometric_decomposition | canonical_replay | diagnostic",UNSPECIFIED,WARN,"Never merge families in one output path without explicit bridge task"
artifact_role,RECOMMENDED,REQUIRED,REQUIRED,REQUIRED,AUTHORITATIVE | DIAGNOSTIC | FIGURE_REPLAY | AUDIT | INDEX_ONLY,MUST_DECLARE_FOR_CANONICAL,HARD_FAIL_ON_WRONG_ROLE,"See switching_corrected_old_authoritative_artifact_index vocabulary"
claim_level,OPTIONAL,REQUIRED,RECOMMENDED,RECOMMENDED,"MANUSCRIPT_SAFE | DIAGNOSTIC | HISTORICAL | FIGURE_ONLY",DIAGNOSTIC,WARN,"Cross-check switching_allowed_evidence_by_use_case.csv"
allowed_use,OPTIONAL,REQUIRED,RECOMMENDED,RECOMMENDED,short prose + pointer row,COPY_FROM_NAMESPACE_TABLE,SUGGEST,"Mirror allowed_use style from authoritative artifact index"
forbidden_use,OPTIONAL,REQUIRED,RECOMMENDED,RECOMMENDED,short prose,COPY_FROM_QUARANTINE_OR_MAP,SUGGEST,"Especially PT/CDF mis-promotion to CORRECTED"
overwrite_policy,OPTIONAL,REQUIRED,RECOMMENDED,REQUIRED,"APPEND_ONLY | REPLACE_SAME_RUN_ID | NO_OVERWRITE_FOR_AUTHORITATIVE",ASK_OPERATOR,SOFT_FAIL_IN_GATE,"Authoritative tables should not be silently overwritten"
required_status_keys,OPTIONAL,RECOMMENDED,RECOMMENDED,REQUIRED,key=value rows for maintenance runners,script-specific,WARN,"Many scripts emit switching_*_status.csv — list keys in header"
required_report_path,OPTIONAL,RECOMMENDED,RECOMMENDED,RECOMMENDED,reports/*.md,n/a,WARN,"Pair CSV status with human report when governance expects it"
matlab_execution_required,YES_IF_MATLAB,YES_IF_MATLAB,YES_IF_MATLAB,NO_FOR_DOCS_ONLY,YES | NO | OPTIONAL,YES for .m,SUGGEST,"PS1 wrappers may orchestrate MATLAB"
mixed_producer_warning,RECOMMENDED,REQUIRED_IF_CANON_GEN,RECOMMENDED,RECOMMENDED,"YES for run_switching_canonical outputs",NO if not mixed,WARN,"Emit pointer to switching_canonical_S_long_column_namespace.md"
supersession_note,OPTIONAL,RECOMMENDED,RECOMMENDED,RECOMMENDED,"READ_STALE_ROWS_AS_HISTORICAL when touching status CSVs",NONE,SUGGEST,"Prevents stale NO rows from blocking current authoritative paths"
