tau_method_id,source_file_path,source_observable_input,component_tag,fit_or_direct,primary_output_tables_columns_families,writer_family_id_meta_when_present,F7G_F7I_metadata_notes,config_surface,allowed_use_classification
TAU_DIP_MULTI_CURVEFIT_FAMILY,Aging/analysis/aging_timescale_extraction.m,Dip_depth vs tw per Tp group,Dip_memory_curve,Fit logistic stretched exponential half-range variants,tau_logistic_* tau_stretched_* tau_half_range_seconds tau_effective_seconds tau_consensus_*,WF_TAU_DIP_CURVEFIT,non_canonical_pending_lineage REQUIRES_DATASET_PATH_AND_DIP_BRANCH_RESOLUTION,Default dataset path historical run optional AGING_OBSERVABLE_DATASET_PATH,"exploration metadata_gate_blocked_without_lineage"
TAU_FM_MULTI_CURVEFIT_FAMILY,Aging/analysis/aging_fm_timescale_analysis.m,FM_abs vs tw per Tp,FM_abs_memory_curve,Same functional fit zoo on FM_abs magnitude curve,tau_FM_vs_Tp.csv columns mirror dip family shape,WF_TAU_FM_CURVEFIT,pending_lineage FM convention,cfg datasetPath dipTauPath auxiliary paths required,"exploration blocked_until_inputs_aligned"
TAU_RESCALING_OPTIMIZER_FAMILY,Aging/analysis/aging_time_rescaling_collapse.m,Dip_depth preferred alternate fallback names in normalize,Tau_rescaling_estimates,Dip_depth collapse optimization fit search,tau_rescaling_estimates.csv,WF_TAU_RESCALING_OPTIMIZER,pending_lineage,cfg dataset path fragment historical run,"exploration_diagnostic"
R_CLOCK_RATIO_FROM_PRIOR_TAUS,Aging/analysis/aging_clock_ratio_analysis.m,tau_vs_Tp tau_FM_vs_Tp prior artifacts,ratio tau_FM over tau_dip,Combines tables power-law fit on ratio vs Tp,table_clock_ratio tau_FM_seconds tau_dip_seconds R_age columns,WF_CLOCK_RATIO_R_AGE R flag,REQUIRES_DIP_FM_SOURCE_RUN_AND_DATASET_IDENTITY,cfg resolveSources dipRunName fmRunName,"comparative_analysis gated_pair_files"
R_CLOCK_RATIO_TEMP_SCALING_EXT,Aging/analysis/aging_clock_ratio_temperature_scaling.m,Prior tau CSV plus clock ratio aux,R_age temperature scaling extension,Regression fits on support slices,clock_ratio_data.csv metrics variants,WF_CLOCK_RATIO_R_AGE,metadata appended row-wise,cfg crossover dipRunName patterns,"exploration_support_audit"
METRICS_FM_COLLAPSE_UNDER_DIP_CLOCK,Aging/analysis/aging_fm_using_dip_clock.m,FM curves plus external tau_vs_Tp,Dip_clock_transferred_to_FM_sector,Collapse evaluation metrics not primary tau extraction,fm_collapse_using_dip_tau_metrics.csv,WF_TAU_DIP_CURVEFIT on metrics table reuse,dip tau source path cfg,paths to dip tau and metrics tables,"diagnostic_comparison_clock_transfer"
LOG_TIME_SLOPE_VS_TP,Aging/analysis/aging_log_time_scaling_test.m,Dip_depth vs tw log slope read,Log_slope_proxy,Linear fit in log time per Tp,log_slope_vs_Tp.csv,Often no F7G bundle in older pattern check file,legacy_alias_semantics,cfg default dataset path fragment,"exploration_legacy"
TRI_CLOCK_CLUSTER_FAMILY,Aging/analysis/aging_tri_clock_consistency_test.m,Prior tau_vs_Tp and mode tables,multi_mode_clock,Statistical tests on imported tau artifacts,dominant_mode_summary local_clock_fit_parameters etc.,mixed writer ids per sub-table,cfg-heavy cross-run defaults,multi_run_diagnostic
TRI_SCALING_CROSS_TEMP,Aging/analysis/aging_tri_scaling_test.m,Exported phi and scenario tables,cross_temperature_modes,Rank and scenario fits on assembled matrices,multiple summary CSVs,mixed,metadata varies by subfunction,tri diagnostics bundle,"exploration_complex"
MASTER_CURVE_SCENARIO_AGG,Aging/analysis/aging_tri_cross_temperature_test.m,Dominant modes assemblies,master_curve_family,SVD and cosine machinery on mode tables,many phi matrices CSVs,mixed,large cfg structs,trend_exploration_not_contract_sink
OBSERVABLE_MODE_CORR_SIDE,Aging/analysis/aging_observable_mode_correlation.m,observable_matrix join mode coeffs,mode_vs_observable_join,correlation fits joins,correlation CSVs,typically no WF tau patch unless extended,reads structured export outputs,"exploration_auxiliary"
