proposed_path,intended_role,allowed_contents,forbidden_contents,owning_module_or_layer,source_of_truth_rule,examples,notes
.,REPOSITORY_ROOT,"README, CONTRIBUTING, top-level governance docs, minimal bootstrap entrypoints, module folders, governed shared folders","ad hoc logs, run outputs, maintenance csv dumps, transient probes, new scientific report files",repo,"Root is an index layer, not a working dump.",README.md; CONTRIBUTING.md; setup_repo.m,Keep existing historical root files in place until transitioned.
docs/,DOCUMENTATION,"durable policies, architecture docs, contracts, governance docs, human-readable reference material","run outputs, transient logs, bulk figures, live scripts",shared,Human-readable source of truth for repository policy lives here.,docs/repo_structure_governance_proposal.md,Prefer docs/governance and docs/modules subtrees going forward.
docs/governance/,DOCUMENTATION,"directory policy, naming rules, source-of-truth rules, lineage policy","scientific outputs, code snapshots",shared,Repository governance documents live here.,docs/governance/directory_policy.md,Can start as a documentation-only phase.
docs/modules/<module>/,DOCUMENTATION,"module-specific durable architecture notes, contracts, measurement definitions",run outputs and figures unless intentionally embedded as documentation examples,module,"Module docs here are durable cross-run references, not run narratives.",docs/modules/aging/measurement_contract.md,Use only when module-local docs inside source folders are not tightly coupled to code.
docs/templates/,DOCUMENTATION,"templates, document scaffolds, examples",live execution outputs,shared,"Templates are reusable inputs, not outputs.",docs/templates/report_template.md,"If executable templates remain, document why."
tools/,TOOLING,"reusable utilities, validators, maintenance helpers, figure infrastructure, wrappers",durable scientific reports and ad hoc transient outputs,shared,Reusable infrastructure belongs here.,tools/maintenance/*.ps1,Distinguish tools/ from scripts/ by reusability.
tools/maintenance/,TOOLING,repo maintenance helpers and validators,maintenance result files,shared,Maintenance code goes here; maintenance outputs go to reports/maintenance or tables/maintenance_*.csv.,tools/maintenance/*.ps1,Good fit for existing maintenance scripts.
tools/external_or_vendor/,TOOLING,documented vendored third-party helpers or assets,first-party scientific outputs,shared,Third-party material must be clearly isolated and documented.,vendor/ScientificColourMaps8,Future-only path; do not move github_repo yet without checks.
scripts/,TOOLING,stable top-level orchestrators and human-invoked wrappers,"generated logs, ad hoc csv files, durable reports",shared,"scripts/ holds live entrypoints, not artifacts.",scripts/run_switching_canonical_paper_figures.ps1,Optional layer only if consistently used.
scripts/<module>/,TOOLING,module-scoped stable entrypoints,durable artifacts and transient output accumulation,module,Live orchestrators should be discoverable by module.,scripts/aging/run_phase8_batch.m,Use this when root run_*.m files are eventually reassigned.
"Aging/ , Switching/ , Relaxation ver3/ , MT ver2/",MODULE_SOURCE,"module-owned source code, helpers, tests, and tightly coupled local docs","silent accumulation of generated artifacts, logs, promoted figures, durable csv exports",module,Active module folders are source-first and should stay clean.,Aging/analysis; Switching/utils; Relaxation ver3/diagnostics,Do not rename yet; use alias rules for artifact layers.
results/,RUN_OUTPUTS,"run-scoped outputs, manifests, logs, raw execution products, status, checkpoints","durable canonical reports, tables, and figures that should be promoted",shared,results/ is the transient lineage layer.,results/aging/runs/...,Keep per-module subtrees.
results/<module>/runs/<run_id>/,RUN_OUTPUTS,"manifest.json, entrypoint snapshot, stdout/stderr, raw outputs, temporary figures, audit traces","live source under active development, promoted canonical tables or reports",module,Every run gets a container; snapshots are immutable lineage evidence.,results/switching/runs/run_2026_04_04_100107_switching_canonical/,Do not collapse distinct switching canonical families.
results/maintenance/runs/<run_id>/,RUN_OUTPUTS,"maintenance execution logs, repo-health manifests, cleanup dry-run outputs",scientific module outputs,shared,Maintenance runs should be segregated from science runs.,results/maintenance/runs/run_2026_04_28_repo_audit/,Future path; keeps root and tmp cleaner.
tables/<module>/,DURABLE_TABLES,"canonical csv summaries, indexes, inventories, durable status tables",helper code except explicitly frozen lineage snapshots,module,Durable structured exports live here.,tables/aging/*.csv; tables/relaxation/*.csv,Use maintenance_* naming for shared governance tables.
tables/maintenance_*.csv,DURABLE_TABLES,maintenance audit tables and governance inventories,science run data that belongs to module tables,shared,Maintenance tables are durable repo-health outputs.,tables/maintenance_repo_directory_role_map.csv,Matches this audit task output pattern.
reports/<module>/,DURABLE_REPORTS,durable markdown scientific narratives and audit reports,execution scripts and raw logs,module,Reports are promoted narrative outputs.,reports/aging/*.md; reports/relaxation/*.md,Maintenance reports belong in reports/maintenance/.
reports/maintenance/,DURABLE_REPORTS,"repo-health reports, audit markdown, maintenance status packs",run logs except brief linked summaries,shared,Repository maintenance narratives live here.,reports/maintenance/repo_structure_governance_audit.md,Already partly established; should become exclusive for maintenance reports.
figures/<module>/,DURABLE_FIGURES,promoted exported figures intended for durable reference,raw exploratory dumps with no lineage manifest,module,Durable figures are promoted here from runs after lineage checks.,figures/relaxation/*,Prefer figures/aging over results/aging/figures for future durable outputs.
results_old/ and tables_old/,LEGACY_QUARANTINE,historical legacy outputs kept for lineage and recovery,new writes,shared,"These are write-closed quarantine areas, not active destinations.",results_old/switching/...; tables_old/*.csv,Keep until lineage and code-reference checks justify selective migration.
"archive/ , _legacy/ , Aging old/ , tmp_root_cleanup_quarantine/",LEGACY_QUARANTINE,explicitly quarantined or superseded material,new primary work,shared,Legacy holding zones must stay clearly marked.,archive/stale/*; _legacy/*,Do not multiply new legacy namespace names.
