evidence_path,exists,artifact_type,claim_about_identity,says_identity_present,says_identity_missing_or_downgraded,identity_mode_implied,conflict_role,confidence,notes
docs/project_control_board.md,YES,governance_doc,Identity CSV exists; consumers must not use mtime or repo mirrors alone; canonical data truth is run-root for locked run id,YES,NO,mixed_locked_and_warn_mtime,says_present_and_warns_fallback,HIGH,"Line referencing tables/switching_canonical_identity.csv present; warns resolver and mirror semantics remain under review"
tables/project_workstream_status.csv,YES,status_table_row,Switching workstream primary_blocker references identity CSV as downgraded because missing,NO,YES,missing_downgraded_anchor,contradicts_control_board_if_present_on_disk,HIGH,"switching_knowledge_integration row says authoritative reference downgraded because file is missing (2026-04-25 update)"
tables/module_canonical_status.csv,YES,canonical_status_table,Switching CANONICAL with CANONICAL_RUN_IDENTITY YES at module level,YES,NO,locked_at_module_row,supplementary_not_file_specific,HIGH,Does not reference switching_canonical_identity.csv by path
reports/maintenance/maintenance_findings_triage_01.md,YES,maintenance_report,F01 bundles SAS_SOURCE_009 and CANON_GUARD_SW_IDENTITY,N/A,N/A,mixed,NARRATIVE_SUMMARY,HIGH,Cites identity table vs resolver as ACTION_NOW family
tables/maintenance_findings_triage_01_deduped_families.csv,YES,maintenance_csv,F01 grouped rule ids and dependency on resolver,mixed,N/A,mixed,DEDUP_INPUT,HIGH,Family F01 lists SAS_SOURCE_009 and CANON_GUARD_SW_IDENTITY
tables/maintenance_findings_triage_01_action_plan.csv,YES,maintenance_csv,Priority 1 switching_canonical_identity_resolver governance prompt,N/A,N/A,governance_decision,TRIAGE_ACTION_PLAN,HIGH,Explicit F01 governance agent before implementation
tables/switching_canonical_identity.csv,YES,identity_key_value_file,Locks CANONICAL_RUN_ID to run_2026_04_03_000147_switching_canonical STATUS LOCKED,YES,NO,locked_identity_row,LOCAL_SOURCE_BODY,HIGH,Present in working tree; not in git index in this audit
.gitignore,YES,git_policy,Broad ignore tables/** with selective un-ignore for maintenance_*.csv only,N/A,N/A,git_excludes_tables_csv,supports_not_tracked_identity,HIGH,switching_canonical_identity.csv matches ignored tables/** pattern
Switching/utils/switchingResolveLatestCanonicalTable.m,YES,code,Identity-first then newest-mtime among run_*_switching_canonical when missing or bad anchor,mixed,mixed,locked_then_mtime_fallback,IMPLEMENTATION_CORE,HIGH,Read identity table; warn Switching:IdentityResolverFallback; fall back to dir()
analysis/knowledge/run_registry.csv,YES,registry_csv,Row marks run_2026_04_03_000147_switching_canonical as canonical_identity_anchor,YES,NO,registry_anchor,ALIGNMENT_WITH_LOCK,HIGH,Observed grep match for anchor role
docs/switching_canonical_reader_hub.md,YES,navigation_doc,Points to corrected-old current state and namespaces; not identity CSV row,mixed,N/A,corrected_old_vs_diagnostic,orthogonal_namespace_context,MEDIUM,Manuscript authority is corrected-old index separate from resolver target tables
docs/switching_governance_persistence_manifest.md,YES,governance_doc,Corrected-old authoritative index and quarantine; no identity CSV pointer,N/A,N/A,corrected_old_governance,orthogonal_to_run_id_resolver,HIGH,Distinguishes CORRECTED_CANONICAL_OLD_ANALYSIS from diagnostic filenames
reports/switching_corrected_canonical_current_state.md,YES,state_report,Manuscript path via corrected-old authoritative CSVs; CANON_GEN_SOURCE for S,mixed,N/A,corrected_old_plus_canon_gen,orthogonal_namespace_context,HIGH,Does not resolve switching_canonical_identity.csv role explicitly in sampled header
docs/decisions/switching_main_narrative_namespace_decision.md,YES,decision_record,Namespace contract CANON_GEN_SOURCE vs CORRECTED_CANONICAL_OLD_ANALYSIS,N/A,N/A,narrative_namespace,orthogonal_to_identity_table_file,MEDIUM,Physics narrative split not same as run-id resolver mechanics
docs/switching_analysis_map.md,YES,namespace_map,CANON_GEN_SOURCE canonical S and identity axes from producer,N/A,N/A,producer_identity_axes_vs_resolver_table,orthogonal_namespace_context,HIGH,Cites identity axes for S data not switching_canonical_identity.csv mechanics
