"metric","value","criterion","evidence"
"AUDIT_STATUS","SUCCESS","must run end-to-end","completed"
"INPUT_FOUND","YES","raw path exists and files load","n_files=19;n_valid=19"
"T0_LOW_FIELD_AT_FIRST_POINT_FRACTION","0.0000",">=0.95 supports earliest t0 after field removal","fraction of traces with |H(1)|<1 Oe"
"T0_EARLY_FIELD_TRANSITION_FRACTION","1.0000","<=0.10 required for clean post-removal start","fraction of traces with large |H| variation in first 10%%"
"T0_MEDIAN_DELAY_TO_LOW_FIELD_S","457.3610","<=1 s expected for immediate low-field start","time from first sample to first |H|<1 Oe"
"EARLY_TRANSIENT_MEDIAN_JUMP_RATIO","0.9999","<=0.20 preferred","early magnetization step normalized by full trace span"
"EARLY_TRANSIENT_MEDIAN_SLOPE_RATIO","10.9280","<=2.5 preferred","median |dM/dlogt| early / late"
"LATE_NOISE_MEDIAN_RATIO","0.0000","<=0.15 preferred for usable tail","tail std normalized by full trace span"
"MONOTONIC_MEDIAN_FRACTION","0.5242",">=0.70 preferred for relaxation-like behavior","fraction of negative dM/dlogt"
"ABS_SPAN_VS_TEMP_CORR","-0.0437","|corr|>=0.40 indicates non-random temperature structure","corr(temp, |M_start - M_tail|)"
"ABS_SCALE_RATIO_MEDIAN","616.6467","descriptive","median |M_start|/|M_tail|"
"ABS_SCALE_RATIO_IQR","422.6614","low spread supports stable absolute scaling","IQR of |M_start|/|M_tail| across traces"
"MATHEMATICAL_STABLE_CHOICE","t0=earliest_valid_start;norm=none;window=full_usable_window","from prior focused audit","numerically top-ranked stable choice"
"PHYSICAL_INTERPRETATION_NOTE","conservative","if any physical check fails, canonical must be revised","self-audit intentionally tries to falsify prior conclusion"
