gate_id,gate_name,when_to_run,required_inputs,required_checks,required_outputs,blocks,status,notes
STAB,Technical stabilization and source integrity,"Before relying on any canonical run for governance","Repo execution rules; path precedence; runnable script contracts","No shadowed paths; execution signals; plumbing-only fixes documented","Stability notes or equivalent maintenance artifacts","G4 dataset trust, G3, H, I0, I1, I, J, K, L, cross-module","ONGOING","Foundational; overlaps with completed plumbing work in places."
DSVAL,Canonical dataset provenance and validation,"After consolidation path exists; with or after G4","aging_observable_dataset.csv; consolidation status; pointer/manifests where applicable","Five-column contract; lineage; multi-Tp x tw handling documented","Validation artifacts as per project (e.g. consolidation reports)","G3, H, I0, I1, I, J, K, L, cross-module","ONGOING","Narrative alignment with G4 outputs."
G3,G3 tau-chain run and artifact generation,"After G4.1b consolidation readiness","aging_Tp_tw_aggregate_inventory.csv; aging_Tp_tw_consolidation_status.csv; upstream tau dependency audit artifacts","Tau producer scripts execute on current aggregate lineage; required tau/correlation artifacts generated and indexed","Updated tau/correlation artifact tables and run reports","H, I0, I1, I, J, K, L, cross-module","READY","Sequencing gate; not a substitute for I0 forensic survey."
G4,G4 multi-Tp x tw coverage and consolidation,"After inventory-driven export driver is available","aging_raw_data_tp_tw_inventory.csv; aging_raw_data_tp_tw_coverage.csv; aggregate_structured_export_aging_Tp_tw_*/tables/observable_matrix.csv","Coverage inventory-derived; ragged Tp x tw row-wise; five-column contract with lineage","aging_observable_dataset.csv; aging_observable_dataset_consolidation_status.csv; aging_Tp_tw_* status artifacts","G3, H, I0, I1, I, J, K, L, cross-module","COMPLETE","Foundation for downstream gates."
H,Robustness and sensitivity,"After G3 and G4; before I0","Canonical Aging outputs; sensitivity plan","Stability and sensitivity documented; failure modes bounded","Robustness report set; decision note for I0 entry","I0, I1, I, J, K, L, cross-module","PARTIAL","May be PARTIAL or YES depending on latest run verdicts."
I0,Forensic old-analysis physics survey,"After H sufficient to contextualize new outputs; before I1 and before J","Old reports; tables; scripts; figures under results/reports; current canonical artifacts","Themes and attempted claims identified; grouped by physical theme; quantitative vs diagnostic vs legacy; canonical replacements vs replay vs quarantine vs retire","tables/aging/aging_old_analysis_physics_theme_inventory.csv; tables/aging/aging_old_analysis_replay_validation_plan.csv; reports/aging/aging_old_analysis_physics_survey.md (when executed)","I1, I, J, K, L, cross-module","BLOCKED","Relaxation lesson: technical canonicalization alone is insufficient without reconstructed old-analysis intent. Replay plan CSV may be drafted in I0 and finalized in I1."
I1,Replay and validation plan,"After I0 outputs exist; before I and before J","I0 theme inventory; physics survey; current canonical run index","Each theme mapped to KEEP_CANONICAL REPLAY_REQUIRED DIAGNOSTIC_ONLY QUARANTINE_LEGACY RETIRE DEFER_TO_PAPER2 UNKNOWN_NEEDS_REVIEW; no J until plan exists","tables/aging/aging_old_analysis_replay_validation_plan.csv finalized or accepted (when executed)","I, J, K, L, cross-module","BLOCKED","Do not write physical synthesis until I0 and I1 exist."
I,Deep canonical review,"After I0 and I1; robustness sufficient","I0/I1 artifacts; aging_observable_dataset.csv; lineage; manifests; robustness outputs","No hidden assumptions; Track A/B; consolidation contract; ragged coverage; lineage; I0/I1 alignment; artifact-backed claims","Canonical review decision record and closure checklist","J, K, L, cross-module","BLOCKED","Governance gate; incorporates forensic context."
J,Physical synthesis,"Only after I0 PASS, I1 PASS, and I = PASS","I0 closure; I1 plan acceptance; I closure; canonical artifacts","Physical meaning; old vs new; survive/weaken/drop; Paper 1 vs deferred","Physical synthesis document with claim boundaries","K, L, cross-module","BLOCKED","Blocked until I0 I1 I all pass."
K,Repo documentation and claims,"After Gate J outputs exist","Gate J synthesis; equations/variables lineage","Allowed/forbidden claims; caveats; old-to-new mapping from I0/I1","Repository documentation package for Aging claims","L, cross-module","BLOCKED","Codifies claim policy."
L,Stop before cross-module,"Always enforced until all prerequisites met","I0 complete; I1 accepted; I PASS; J documented; K as required; Switching ready; Relaxation ready; approved cross-module plan","No premature Aging x Switching or Aging x Relaxation work","Approval note for cross-module execution","All cross-module analysis","ENFORCED","Aging synthesis/docs path plus peer modules plus plan."
