proposed_action_id,phase,module,current_path,proposed_target_path,artifact_type,family,reason,risk_level,blocked_by,requires_code_update,requires_reference_check,requires_lineage_check,requires_policy_doc,safe_to_do_now,notes
MIG-001,Phase 0,repo,docs/,docs/,policy_docs,governance,Publish unified policy and contract,HIGH,,NO,NO,NO,YES,NO,Policy creation only
MIG-002,Phase 1,repo,root run_aging_*.m,scripts/aging/ or Aging/analysis/,entrypoint_scripts,aging_root_entrypoints,Root module scripts are ambiguous and risky,HIGH,bare_stem_invocation_unknown,YES,YES,YES,YES,NO,No movement until caller inventory is complete
MIG-003,Phase 1,repo,root run_relaxation_*.m,scripts/relaxation/ or Relaxation ver3/,entrypoint_scripts,relaxation_root_entrypoints,Root scripts violate root contract,HIGH,bare_stem_invocation_unknown,YES,YES,YES,YES,NO,Preserve RF3R/RF3R2 semantics
MIG-004,Phase 1,repo,root run_switching_*.m,scripts/switching/ or Switching/analysis/,entrypoint_scripts,switching_root_entrypoints,Root scripts obscure switching family ownership,HIGH,bare_stem_invocation_unknown,YES,YES,YES,YES,NO,Do not merge switching families
MIG-005,Phase 2,repo,root maintenance *.csv,tables/maintenance_*.csv,governance_tables,maintenance,Governance outputs should be centralized,MEDIUM,governance_allowlist_pending,YES,YES,NO,YES,NO,Force-add only if approved durable governance artifact
MIG-006,Phase 2,repo,root maintenance *.md,reports/maintenance/,governance_reports,maintenance,Reduce root clutter and improve discoverability,MEDIUM,governance_allowlist_pending,YES,YES,NO,YES,NO,No historical rewrites
MIG-007,Phase 3,aging,results/aging/figures/,figures/aging/ (promotion only),figure_exports,aging_figures,Durable-vs-ephemeral split requires explicit index,HIGH,module_index_missing,YES,YES,YES,YES,NO,No bulk move; promote selected durable outputs only
MIG-008,Phase 3,switching,figures/switching_parameter_robustness/,figures/switching/,figure_exports,switching_core,Figure namespace should align with module durable layer,MEDIUM,switching_index_missing,YES,YES,YES,YES,NO,Must preserve family separation and naming constraints
MIG-009,Phase 3,relaxation,root relaxation tables/reports,tables/relaxation/ + reports/relaxation/,durable_exports,relaxation_root_spillover,Root spillover is high-risk and unindexed,HIGH,relaxation_index_missing,YES,YES,YES,YES,NO,Require transform/view metadata contract
MIG-010,Phase 4,switching,results_old/switching/ + Switching ver12/,write-closed indexed legacy maps,legacy_bundle,legacy_old,Consolidate legacy understanding without deletion,HIGH,legacy_lineage_unverified,NO,YES,YES,YES,NO,Index-only or pointer-only migration initially
MIG-011,Phase 4,aging,results_old/aging/runs/,results_old/aging/runs/ (index enrichment),legacy_bundle,aging_legacy_replay,Legacy runs need lineage map before any relocation,HIGH,aging_legacy_index_missing,NO,YES,YES,YES,NO,No physical move planned
MIG-012,Phase 4,relaxation,results/relaxation*_canonical run families,index/pointer layer,run_family_groups,rf3r_rf3r2_branches,Hard-coded run dependencies block relocation,CRITICAL,run_id_alias_layer_missing,NO,YES,YES,YES,NO,Create alias/index before any deduplication
MIG-013,Phase 5,repo,results_old/ + tables_old/,legacy/quarantine consolidation map,legacy_namespace,repo_legacy,Consolidate semantics only after contracts and indexes,HIGH,phase_0_to_4_incomplete,NO,YES,YES,YES,NO,No scientific deletion
MIG-014,Phase 1,repo,root low-lineage logs (explicit reviewed set),results/maintenance/runs/<run_id>/logs/,runtime_logs,root_spillover,Root runtime clutter should be run-scoped,MEDIUM,explicit_review_pending,NO,YES,YES,YES,NO,No MATLAB source movement in this action
