stage_or_route,primary_objects,producer_script_or_function,input_grain,output_grain,object_kind,allowed_downstream_use,contract_boundary_rule,unresolved_items,notes
stage4_direct_family,"DeltaM_smooth;DeltaM_sharp;dip_signed;AFM_RMS;FM_step_raw;FM_abs",Aging/pipeline/stage4_analyzeAFM_FM.m then Aging/models/analyzeAFM_FM_components.m,per_curve on T_common,per_pause_scalars on pauseRuns,decomposition_component,structured_export stage5 stage6 consolidation_inputs,Do not treat agingMetricMode fit as stage5 fit,FM robust variant details,"case direct model fit"
stage4_derivative,"same copied plus derivative FM baseline_slope diagnostics",Aging/models/analyzeAFM_FM_derivative.m,per_curve,per_pause plus diagnostics struct,decomposition_component plus diagnostic,same,FM redefinition must be labeled derivative_median_FM,none after F7X4,"orchestrator prefers DeltaM_signed input"
stage4_extrema_smoothed,"FM_extrema_smoothed;AFM_extrema_smoothed;M_smoothed_extrema",Aging/models/analyzeAFM_FM_extrema_smoothed.m,per_curve DeltaM,per_pause scalars,decomposition_component,stage6 extrema branch summaries,Not Dip_depth not DeltaM_smooth sgolay,none,"movmean 11 on DeltaM only"
stage5_fit,"Dip_A;Dip_sigma;FM_E;Dip_area_selected;Dip_area_fit",Aging/pipeline/stage5_fitFMGaussian.m,windowed raw traces,per_pause fit fields,fit_object,stage6 Track A only by default contract,Forbidden substitute for consolidation Dip_depth FM_abs,fit callee line detail,"Main_Aging after stage4"
stage6_summary,"AFM_like;FM_like",Aging/pipeline/stage6_extractMetrics.m,per_pause vectors from pauseRuns fields,per_Tp summary arrays,summary_object,figures diagnostics,No default tau_input without adapter,Track A tau adapter charter,"extrema mode bypasses fit vectors"
structured_export_wide,"observable_matrix columns",Aging/analysis/aging_structured_results_export.m,multi dataset curves at Tp_ref,wide table rows,materialization,tau prep audits,Fm_step_mag wide only,join keys dataset sample,"strips FM_step_mag in observables.csv"
five_column_consolidation,"Tp tw Dip_depth FM_abs source_run",Aging/analysis/run_aging_observable_dataset_consolidation.m,wide structured table,per_Tp_tw rows,dataset,tau_input_candidate for dip FM scripts,FM_signed excluded by contract,sidecar optional fields,"pointer file input"
tau_dip_output_table,tau_vs_Tp columns,Aging/analysis/aging_timescale_extraction.m,consolidated curves,per_Tp tau row,tau_output,ratio script bridge,Not pauseRun field,consensus vs half_range naming,"buildTauTable"
tau_fm_output_table,tau_FM_vs_Tp columns,Aging/analysis/aging_fm_timescale_analysis.m,same FM_abs curves,per_Tp tau row,tau_output,same,effective recipe differs from dip,same,"buildFmTauTable"
ratio_clock_output,"R_age tau_FM_seconds tau_dip_seconds",Aging/analysis/aging_clock_ratio_analysis.m,prior tau CSVs,per_Tp ratio row,ratio_output,comparative analysis gated,Never raw DeltaM,bridge optional merge,"loadTauTable"
