display_family,plain_language_meaning,typical_source_or_stage,object_kind,safe_use,required_metadata,main_caveat,example_good_label,example_bad_label,notes
direct dip / sharp component family,Smooth trend plus sharp residual built from pipeline DeltaM dM minus sgolay smooth; signed dip residual uses DeltaM_signed minus same smooth,stage4 direct family analyzeAFM_FM_components path,decomposition component,"Export diagnostics figures when stage and mode logged","stage_or_route=stage4_direct_family; object_name=DeltaM_smooth|DeltaM_sharp|dip_signed; DeltaM_signed_source when both dM and signed exist","DeltaM_sharp uses dM not DeltaM_signed; dip_signed differs unless equality proven","Stage4 direct: DeltaM_sharp (dM minus smooth) [stage4_direct]","DeltaM_sharp equals dip_signed",F7X5 R-DM-001 R-DM-003
direct FM signed family,Signed plateau FM step scalar assigned from FM_step_raw or fallback on pauseRuns after stage4 orchestration,stage4 direct family,decomposition component,"Signed FM narratives exports when qualified","sign_policy=SIGNED_ONLY; stage_or_route; producer_script","FM_signed is not FM_abs","Stage4 direct: FM_signed [signed FM]",FM_signed as magnitude-only,F7X5 R-FM-001
FM absolute / magnitude family,Absolute value of signed FM when finite; collapses sign,stage4 paths and five-column consolidation column FM_abs,decomposition component or dataset column,"Magnitude-only FM comparisons when ABS_ONLY acknowledged","sign_policy=ABS_ONLY for FM_abs; source_artifact","Never infer sign reversal story from FM_abs","FM_abs magnitude ABS_ONLY [Track_B or pauseRuns per artifact]","FM_abs shows FM sign",F7X5 R-FM-002
derivative family,Derivative-mode decomposition; FM definitions may differ from direct median-outside-dip construction,stage4 derivative route analyzeAFM_FM_derivative,decomposition component,"Diagnostics listed derivative fields only when labeled derivative","stage_or_route=stage4_derivative; decomposition_method","Swap with default direct FM forbidden","Stage4 derivative: FM_step_raw [derivative route]","FM_step_raw default FM without route",F7X5 R-DER-001
extrema-smoothed family,Extrema after movmean smoothing on DeltaM -- not sgolay smooth,stage4 extrema_smoothed,decomposition component,"Stage6 extrema summaries when tagged EXTREMA","smoothing_policy=movmean11; stage_or_route=stage4_extrema","Not Dip_depth not sgolay DeltaM_smooth","Stage4 extrema: FM_extrema_smoothed [movmean11]",Extrema max equals consolidation dip,F7X5 R-EXT-001
stage5 fit interface family,"Fit-derived dip area FM energy selections written post Gaussian tanh fit; interface citeable internals PARTIAL",stage5_fitFMGaussian pauseRuns post fit,processed observable / fit output,"Cite interface fields Dip_area_selected FM_E when lineage ok","stage_or_route=stage5_fit_interface; fit_dependency=PARTIAL","Confusing cfg agingMetricMode fit with this stage",Stage5 fit interface FM_E PARTIAL callee,"FM_E closed-form physics truth",F7X5 R-FIT-002
stage6 summary family,Summary vectors AFM_like FM_like for Track A style summaries from fit-linked upstream selections,stage6_extractMetrics summary path,processed observable / summary vector,"Summary figures diagnostics not consolidation contract","stage6_Track_A; upstream objects Dip_area_selected FM_E","Not interchangeable with five-column Dip_depth","Stage6 summary FM_like [Track A lane paired]",FM_like equals Dip_depth,F7X5 R-ST6-001
five-column dataset family,"Thin reader contract Tp tw Dip_depth FM_abs source_run; FM_abs magnitude only",run_aging_observable_dataset consolidation output,dataset row,tau_input_candidate when lineage satisfied,"source_artifact; grain; join_keys; sign_policy ABS_ONLY for FM_abs column","No signed FM encoded","Five-column FM_abs ABS_ONLY reader row","FM_abs carries short-tw sign reversal",F7X5 R-DS-001
bridge / export family,"Long bridge rows pairing streams for export pairing gates example C_DIP_DEPTH_B C_FM_ABS_B",F7X bridge tables export pipelines,bridge_row,"Bridge audits pairing automation when lineage flags ok","bridge_row_id; branch_family; allowed_use=bridge_only; sign_policy FM bridges","Not canonical standalone observable","Bridge export C_FM_ABS_B ABS_ONLY [branch_family]","C_FM_ABS_B is the measured FM without context",F7X5 R-BRI-001
tau dip output family,Downstream tau table from dip-depth vs tw curves aging_timescale_extraction,tau_vs_Tp.csv tau script output,tau_output,"Exploration ratio input gated with metadata","tau_domain tau_method tau_input_object producer_script grain units lineage_status","Not a pauseRun decomposition column","Tau dip row tau_domain=DIP_CURVEFIT [metadata panel]",tau_vs_Tp cell equals Dip_depth field,F7X5 R-TAU-001
