evidence_id,evidence_type,evidence_path,evidence_field,evidence_value,supports_dip_pathway_identity,supports_dip_component_definition,supports_dip_extraction_method,supports_dip_tau_linkage,supports_independence_from_collapse_optimizer,canonical_evidence_status,limitation
F02-E01,PRB01_REGISTRY,tables/aging/aging_prb01_pathway_registry.csv,"pathway_id; semantic_name; component_definition; decomposition_method",AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1 / Consolidation Dip_depth tw-curve tau / Dip_depth scalar on TW_CURVE_PER_TP grid / Stage4 consolidation reader,YES,YES,YES,YES,YES,COMMITTED_TABLE,Registry does not replace sidecar TOKEN refresh on disk
F02-E02,PRB03_INVENTORY,tables/aging/aging_prb03_tau_bundle_inventory.csv,representative_row TB_INV_BL_DIP_TP14,"pathway_id; source_observable; producer_script; tau_method; output_artifact; sign_or_magnitude_disclosure",YES,YES,YES,YES,YES,COMMITTED_TABLE,Row cites run-local absolute paths for tau files
F02-E03,PRB02B_LEDGER,tables/aging/aging_prb02b_f7v_bridge_ledger.csv,BL_DIP_TP14,"source_observable; tau_method; source_artifact; source_dataset_id",YES,YES,YES,YES,YES,COMMITTED_TABLE,Grain is per_Tp_summary per bridge notes
F02-E04,SIGNAL_CHAIN,tables/aging/aging_tau_decomposition_lineage_01_signal_chain.csv,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1 steps 1-5,consolidation to component_vs_wait to tau_extraction to bundle,YES,YES,YES,YES,YES,COMMITTED_TABLE,Step 1 raw capture uncertainty noted in table
F02-E05,DECOMP_LINEAGE_MD,reports/aging/aging_tau_decomposition_lineage_01.md,sections 5-9,baseline Dip direct Dip_depth from consolidation; curve-fit zoo; not collapse,YES,YES,YES,YES,YES,COMMITTED_REPORT,Narrative summary not a sidecar token
F02-E06,PATHWAY_SUMMARY,tables/aging/aging_prb03_tau_bundle_pathway_summary.csv,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,dominant_blocker LINEAGE_NOT_COMPLETE_SIDEcar_REQUIRES_DATASET_PATH; WARN_LINEAGE_PARTIAL,YES,PARTIAL,PARTIAL,YES,YES,COMMITTED_TABLE,Documents remaining WARN state after definition layer
F02-E07,PATHWAY_INVENTORY_NARRATIVE,reports/aging/aging_tau_decomposition_lineage_01.md,Section 4 Pathway inventory,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1 listed among baseline Dip FM collapse forensic,YES,YES,YES,YES,YES,COMMITTED_REPORT,
F02-E08,COLLAPSE_CONTRAST,tables/aging/aging_tau_decomposition_lineage_01_signal_chain.csv,AGN_WF_CONSOL_DS_DIP_DEPTH_COLLAPSE_OPTIMIZER_V0,optimizer pathway distinct from baseline curve-fit Dip,YES,NO,NO,NO,YES,COMMITTED_TABLE,Collapse lane excluded from canonical baseline
F02-E09,FIXPLAN_BLOCKER,tables/aging/aging_tau_canonicalization_fixplan_01_blocker_matrix.csv,FX11 FX07,Dip branch and tau method blockers mapped to FIX-02 scope,PARTIAL,YES,YES,YES,YES,COMMITTED_TABLE,Matrix references run-local sidecar paths for hardened closure targets
F02-E10,FIX01C_STATUS,tables/aging/aging_tau_fix01c_status.csv,DATASET_LINEAGE_BLOCKER_CLOSED_AFTER_FIX01C,YES upstream shared dataset identity closed,PARTIAL,YES,YES,PARTIAL,PARTIAL,COMMITTED_TABLE,Shared lane only; does not clear Dip sidecar WARN alone
