id, referencing_repo_path, artifact_class, path_literal_or_resolver, concise_role_statement
INV001,Aging/analysis/aging_clock_ratio_lower_support_audit.m,MATLAB_audit_function,composed_from_cfg.datasetRunName_plus_tables_agnostic_filename,R_clock_lower_support_audits_using_configurable_legacy_run naming
INV002,Aging/analysis/aging_clock_ratio_temperature_support_audit.m,MATLAB_audit_function,same_resolver_pattern_via_cfg_temperature,R_temperature_support_dataset_addressing_via_cfg
INV003,Aging/analysis/aging_component_clock_test.m,MATLAB_function,hardcoded_legacy_run_fragment_optional_AGING_OBSERVABLE_DATASET_PATH_env_override,reads legacy snapshot default unless env override nonempty
INV004,Aging/analysis/aging_fm_timescale_analysis.m,MATLAB_function,same_hardcoded_under_applyDefaults_FM_tau_reads_cfg_override,FM tau writer consumes cfg datasetPath seeded with legacy results snapshot
INV005,Aging/analysis/aging_fm_using_dip_clock.m,MATLAB_function,hardcoded_under_results_legacy_id_for_reference_reads,FM collapse linkage requires dip tau pairing plus dataset locator
INV006,Aging/analysis/aging_log_time_scaling_test.m,MATLAB_function,same_hardcoded_dataset_run_folder,legacy dataset for log slope smoke
INV007,Aging/analysis/aging_time_rescaling_collapse.m,MATLAB_function,hardcoded_via_repoRoot_results_legacy_run,tau rescaling ingestion default
INV008,Aging/analysis/aging_timescale_extraction.m,MATLAB_function,default_under_results_hard_link plus getenv_optional,Dip tau primary producer asserting dataset exists prior fit
INV009,Aging/analysis/aging_tri_clock_consistency_test.m,MATLAB_function,hardcoded_trajectories_tri_clock_using_legacy_fragment,tri_temperature_clock synthetic harness dataset pointer
INV010,Aging/analysis/run_aging_FM_tau_feasibility_and_definition_rescue.m,MATLAB_pure_script,fullfile_tablesDir_artifact_name_FM_rescue,FM tau feasibility ingest from tables consolidation output
INV011,Aging/analysis/run_aging_Q006_S0_canonical_svd_revalidation.m,MATLAB_pure_script,fullfile_repo_tables_aging_csv,Q006 S0 validation ingest
INV012,Aging/analysis/run_aging_Q006_S3_map_native_svd.m,MATLAB_pure_script,tablesDir_trackBPath,Q006 S3 native map ingest
INV013,Aging/analysis/run_aging_Tp_tw_structured_export_and_consolidation.m,MATLAB_pure_script,final_output_tables_aging_name_plus_status_wrappers,batch structured export aggregator then invokes consolidation landing path
INV014,Aging/analysis/run_aging_i1_replay_clm001_dip_tau.m,MATLAB_pure_script,tablesDir_datasetPath,I1 dip tau claimant replay scaffold
