bundle_field,required,meaning,allowed_values_or_format,applies_to,validation_rule,failure_mode,notes
tau_value_field,YES,Canonical numeric tau column name in main tau CSV,tau_effective_seconds (legacy fixed name today),aging_timescale_extraction.m and aging_fm_timescale_analysis.m outputs,tau_effective_seconds present finite for compared rows; sign policy separate,Join two tau CSVs on column name alone without domains → FORBID SCIENTIFIC_USE,G003 core—alias policy in aging_tau_metadata_gate_01_tau_effective_seconds_policy.csv
tau_units,YES,Seconds disclosure,seconds from sidecar units field,All WF_CONSOL tau exports,units == seconds or documented conversion row present,Missing units → FORBID headline numeric export,
tau_domain,YES,Writer semantic domain,DIP_DEPTH_CURVEFIT | FM_ABS_CURVEFIT | other chartered enums only,All tau exports with sidecar,Must equal sidecar tau_domain and match producer script family,Mismatch across rows compared → FORBID,
tau_method,YES,Curve-fit family disclosure,CURVEFIT_ZOO ... strings as in sidecar tau_method,All WF_CONSOL tau exports,Non-empty; must parseable audit trail for consensus rule,Mmissing → FORBID beyond exploratory,
tau_input_object,YES,Observable column feeding tau,Dip_depth | FM_abs | chartered adapter inputs,WF_CONSOL tau exports,Must match consolidation column contract for that pathway,Object mismatch vs consolidation column → FORBID identity claims,
tau_input_axis,YES,Independent axis for curve,tw,WF_CONSOL tau exports,present in sidecar,Mismatch → FORBID curve comparability,
source_observable,YES,Human logical source,Dip_depth curve on consolidation; FM_abs curve on consolidation; etc.,All bundles,Must align with tau_input_object + pathway_id registry,Silent substitution with AFM_like → FORBID,
decomposition_method,YES,How scalars were formed before tau,Text + registry pathway decomposition_method column,All bundles,Registered pathway row must exist for automation,Unregistered string → FORBID automated compare,
component_definition,YES,Grain and component identity,Per pathway registry component_definition,All bundles,Must match grain rules TW_CURVE vs PER_TP_SUMMARY,Grain lie → FORBID,
producer_script,YES,MATLAB producer path,Absolute or repo-relative Aging/analysis/... as in sidecar,All WF_CONSOL tau exports,Exact match to emitted sidecar producer_script,Drift undisclosed → FORBID,
source_artifact,YES,Main tau filename,tau_vs_Tp.csv | tau_FM_vs_Tp.csv,All WF_CONSOL tau exports,Must match row sidecar source_artifact,Wrong file pairing → FORBID,
source_run,YES,Lineage string from data,Piped unique values or explicit UNRESOLVED policy,tau tables + sidecar,present; may be REQUIRES resolution strings per lineage_status,Guessing lineage → FORBID canonical claims,
source_dataset_id,YES,Consolidation CSV path or explicit sentinel,Absolute path to aging_observable_dataset.csv or chartered variant,tau sidecars from consolidation lane,Must match across Dip and FM comparisons of same experiment OR bridge explains remap,Missing → FORBID cross-run pairing except exploratory,
lineage_status,YES,Governance state,COMPLETE | PARTIAL | REQUIRES_* strings as emitted,All sidecars,Downstream must echo status in manifests; F7S gates apply,Interpreting PARTIAL as DONE → FORBID authoritative ratio science,
sign_or_magnitude_disclosure,YES,FM ABS_ONLY vs dip signed policy,ABS_ONLY for FM_abs lane; dip signed policy strings,Dip and FM tau sidecars,FM lane must include ABS_ONLY where FM_ABS_CURVEFIT,Claims about signed FM reversal using FM_abs tau → FORBID,
grid_disclosure,YES,Partial ladder / missing tw,GRID_DISCLOSURE_REF ... per inventory,must be present for consolidation tau outputs,Tau compare must cite same partial grid caveats for Tp with sparse tw,Missing tw disclosure compare → FORBID publication-grade,
output_artifact,YES,Sink artifact label,tau_vs_Tp.csv etc.,Sidecar,ties bundle to one main table,Rename without manifest → FORBID,
