evidence_source,question,result,supports,caveat,manuscript_relevance,notes
AX_17B_visual_judgement,Q1_Xeff_final_status,"X_eff retained as P0 dimensionless ratio composite; not top empirical predictor vs invD on audited scores.",EMPIRICAL_SWITCHING_STATE_ORGANIZATION,n15_LOOCV_COMPARISONS,"Define X_eff via P0; prediction narrative favors invD.",Matches columns visually_smoother / numerically_better = invD_chosen.
AX_XEFF_width_audit_18,Q1_Xeff_final_status,"Xeff_chosen equals materialized X_eff; width_chosen equals FWHM on AX domain.",XEFF_RETAINED_AS_DIMENSIONLESS_COORDINATE,Label clarifying parenthetical recommended,"Safe canonical definition sentences.",SAFE_TO_LABEL_17B_AS_XEFF per audit status.
AX_17B_visual_judgement,Q2_invD_final_status,"invD_chosen wins log-log LOOCV for both A targets.",INVD_BEST_TESTED_EMPIRICAL_SCALING_ORGANIZER,n15,"Primary numeric yardstick for invD vs Xeff.",Also lists obvious_outliers_T_K=12 diagnostic only.
AX_19A_report,Q2_invD_definition_scope,"invD tracks T_relax strongly; log(invD) ranks first among tested single predictors of log(A).",EMPIRICAL_INVD_POWERLIKE_SCALING,"abs_corr_T_relax_log_invD ~ 0.989","Dual presentation T plus invD.",Classification INVD_NONTRIVIAL_BEYOND_T.
AX_17B_and_AX18B,Q3_global_winner,"invD_chosen favored globally on numeric + high-T shape metrics.",INVD_BEST_TESTED_EMPIRICAL_SCALING_ORGANIZER,Not uniqueness physics,"Global narrative axis.",18B: invD wins all four high-T windows vs Xeff.
AX_XEFF_width_audit_18,Q4_dimensionless_interpretable,"X_eff is dimensionless I/(w S_peak) composite; invD is inverse denominator structure.","XEFF_AND_INVD_ROLES_DISTINCT","invD = 1/(w*S_peak) wording must match column definitions in dataset","Discussion roles differ: ratio vs inverse-area emphasis.",task formula aligns with denominator reading.
AX_18C_T_function_model_comparison,Q5_best_empirical_predictor,"Linear invD beats linear T and linear Xeff on LOOCV_RMSE in A space for both targets.",INVD_BEST_TESTED_EMPIRICAL_SCALING_ORGANIZER,n15_high_variance_LOOCV,"Results section numeric ordering.",coord_invD_chosen_linear rows.
AX_18D_scaling_inventory,Q5_scaling_organizer,"invD_power best LOOCV among AX-18C scaling templates; beats T_linear.","EMPIRICAL_INVD_POWERLIKE_SCALING_NOT_PHYSICAL_LAW",Endpoint stability not in artifacts,"Scaling subsection bounded language.",Alpha ~0.56 descriptive only.
AX_18B_report,Q6_turnover_highT,"A peaks ~29 K; invD peak aligns; Xeff peak ~25 K; invD wins window composites.",INVD_BEST_TESTED_EMPIRICAL_SCALING_ORGANIZER,z_scored_shape_proxy_not_mechanism,"Turnover paragraph careful wording.",SAFE_TO_SAY_XEFF_ADDS_TURNOVER_INFORMATION = NO in 18B status.
AX_18C_status,Q7_simple_T_baselines,"Best simple T baseline among listed T-only models: T_linear.","SHARED_T_TREND_T_LINEAR_BEST_LISTED",AOBS/ASVD may still be T-reparameterized in broader sense per 18C flags,"T paragraph: linear baseline explicit.",T_quadratic and hinges tested but not best LOOCV.
AX_18D_report,Q8_empirical_power_law,"T_power and Xeff_power do not beat T_linear; invD_power does; no physical law.","EMPIRICAL_ONLY_CLOSURE","Use empirical wording only","Avoid physical-law wording.",Narrow closure statement in 18D.
AX_19A_partial_T_control,Q9_invD_beyond_T,"After T_relax_raw best proxy; invD improves LOOCV beyond T alone; Xeff does not on this diagnostic.",INVD_NONTRIVIAL_BEYOND_TESTED_T_PROXIES,Two-predictor LOOCV fragile; residuals moderate ~0.56,"Partial control / residual framing.",paper_decision row supplies correlations.
AX_synthesis,Q10_allowed_manuscript_claim,"Dual-axis empirical summary: T trend plus invD denominator scaling; descriptive ~0.56 exponents; X_eff retained as ratio label.",SAFE_FOR_MANUSCRIPT_DISCUSSION,Collinearity + n15,"Abstract/results/discussion alignment.",Consolidates 17B/19A guidance.
AX_synthesis,Q11_forbidden_claim,"Physical law; mechanism proof; invD replaces X_eff wholesale; Xeff better turnover than invD.",FORBIDDEN_EXTENSION,"Contradicts 18D/19A/18B status flags","Risk table for reviewers.",Explicit forbid list in manuscript_wording CSV.
