role,path,confidence,caveats,recommended_action
manuscript_and_corrected_old_operational_hub,reports/switching_corrected_canonical_current_state.md,HIGH,Does_not_subsume_entire_Switching_module_story_per_Survey_C,Keep_as_first_human_entry_for_manuscript_authority;link_roadmap_when_created
namespace_technical_map,docs/switching_analysis_map.md,HIGH,Large_downstream_surface_requires_column_family_discipline,Use_as_binding_reference_for_CANON_GEN_SOURCE_vs_EXPERIMENTAL_PTCDF_DIAGNOSTIC
durable_governance_manifest,docs/switching_governance_persistence_manifest.md,HIGH,Pointer_chains_must_stay_current,Refresh_when_authoritative_set_or_quarantine_changes
adopted_narrative_decision,docs/decisions/switching_main_narrative_namespace_decision.md,HIGH,Legal_style_binding_for_manuscript_namespace,Reference_in_all_new_claim_level_prose
phi1_naming_and_blocks,docs/switching_phi1_terminology_contract.md,HIGH,Blocks_ambiguous_Phi1_canon_phrases_per_Survey_C,Enforce_in_captions_and_new_reports
authoritative_artifact_paths,tables/switching_corrected_old_authoritative_artifact_index.csv,HIGH,Must_pair_with_namespace_id_when_citing_evidence,Update_rows_when_reconstruction_completes;never_merge_quarantined_rows_as_authoritative
builder_and_gate_honesty,tables/switching_corrected_old_authoritative_builder_status.csv,HIGH,LIVE_values_must_be_verified_before_release_claims,Use_ALL_REQUIRED_GATES_and_SAFE_TO_keys_as_pre_flight
canonical_MATLAB_registry_row,tables/switching_canonical_entrypoint.csv,HIGH,Points_to_mixed_producer,Always_pair_with_switching_canonical_S_long_column_namespace_when_claiming_columns
claim_boundaries,tables/switching_analysis_claim_boundary_map.csv,MEDIUM_HIGH,Requires_reader_training,Use_in_claim_audits_TASK_010
forbidden_terms,tables/switching_forbidden_ambiguous_phrases.csv;tables/switching_forbidden_conflations.csv,MEDIUM_HIGH,Large_table_count,Point_roadmap_to_these_as_cheat_sheets
quarantine_registry,reports/switching_quarantine_index.md;tables/switching_quarantine_index.csv;tables/switching_misleading_or_dangerous_artifacts.csv,HIGH,Quarantined_not_evidence_for_manuscript,Consult_before_citing_any_figure_named_corrected_old_or_similar
X_eff_and_P0_cross_module,docs/cross_module_switching_relaxation_AX_index.md,MEDIUM_for_Switching_only_readers,Primary_P0_definitions_not_Switching_isolated,Add_Switching_facing_one_liner_link_in_roadmap
factual_flags_survey_lock,docs/switching_canonical_reality.md,MEDIUM,Append_only_scientific_status_may_overlap_narrative,Use_for_structural_flags_not_shortcut_for_manuscript_decomposition
stale_supersession_pointer,reports/switching_stale_governance_supersession.md,MEDIUM,May_supersede_specific_old_reports,Check_when_landing_on_historical_markdown
deprecated_canonical_definition_v1_2,docs/switching_canonical_definition.md,LOW_for_authority_HIGH_for_hazard,DEPRECATED_body_conflicts_narrative_contract_per_Survey_C,Future_approved_editorial_hardening_or_redirect_only_not_delete_here
mixed_producer_script,Switching/analysis/run_switching_canonical.m,HIGH_as_entry_LOW_per_column_without_map,Mixed_output_requires_namespace_per_column_family,Never_cite_phi1_kappa1_from_native_I_as_CORRECTED_CANONICAL_OLD_ANALYSIS_without_boundary
