audit_id,phase,taxonomy,title,description,detection_signal,notes
FP001,pre_execution,BLOCKING_PRE_EXECUTION,Empty or whitespace script argument,"tools/run_matlab_safe.bat resolves missing %1 to the current working directory; pre_execution_guard.ps1 rejects non-file paths. MATLAB is not launched (exit 2).","PRE_EXECUTION_GUARD=FAIL, stderr PRE_EXECUTION_INVALID_SCRIPT, row in tables/pre_execution_failure_log.csv","docs/repo_execution_rules.md pre-execution guard"
FP002,pre_execution,BLOCKING_PRE_EXECUTION,Script path not an existing file,"Guard requires Test-Path leaf; missing or mistyped path blocks launch.","Same as FP001","Switching canonical path must exist per tables/switching_canonical_entrypoint.csv"
FP003,pre_execution,BLOCKING_PRE_EXECUTION,Path not a .m file,"Guard requires extension .m (case-insensitive).","Same as FP001",""
FP004,pre_execution,BLOCKING_PRE_EXECUTION,Path resolution failure in guard,"PowerShell GetFullPath or guard logic throws; logged as path_resolution_failed.","Same as FP001",""
FP005,pre_execution,BLOCKING_PRE_EXECUTION,MATLAB executable missing or not on PATH,"Wrapper calls `matlab -batch` with no pre-check for matlab.exe; OS returns error before user script runs.","Console error from CMD; no run_dir artifacts from Switching script","Not logged to pre_execution_failure_log; distinguish from FP001"
FP006,pre_execution,BLOCKING_PRE_EXECUTION,MATLAB fails before -batch runs user script,"Install/licensing crash, immediate MATLAB process exit; user script never executes.","No Switching run artifacts; wrapper may show AFTER_MATLAB_CALL with nonzero exit","Classify as NO SIGNAL per repo signaling rules"
FP007,validator_policy,BLOCKING_PRE_EXECUTION,Manual validate_matlab_runnable.ps1 workflow abort,"Batch file does not invoke the validator (docs/repo_execution_rules). If a human/automation runs the validator and stops on WARN/NOT_PASS, execution never starts.","No MATLAB call from wrapper","Validator exits 0 even on NOT_PASS; blocking is procedural not exit-code"
FP008,validator_policy,BLOCKING_PRE_EXECUTION,Agent ASCII policy stop,"docs/repo_execution_rules require NON_ASCII_COUNT=0 before run; agent stops without invoking wrapper.","No run artifacts","Policy-only; not enforced by batch"
FP009,silent,SILENT_FAILURE,Parse or load-time error before any runtime line,"If MATLAB cannot parse the .m file, `run()` fails before try/catch in run_switching_canonical.m; no execution_status.csv from script.","No execution_status.csv under run_dir; no execution_probe_top.txt","MATLAB exit nonzero; console may show error — silent relative to signaling contract only"
FP010,silent,SILENT_FAILURE,Error before try block after partial top-level execution,"Lines 1-17: top-level code before `try` (e.g. addpath failure). Catch block does not run; no FAILED status write.","No execution_status.csv from runner","Rare; depends on failure before line 18"
FP011,silent,SILENT_FAILURE,write_execution_marker swallowing failures,"tools/write_execution_marker.m uses empty catch; ENTRY/STAGE markers may be absent with no raised error.","Missing runtime_execution_markers.txt or fallback tables/runtime_execution_markers_fallback.txt despite run","Observability gap only"
FP012,silent,SILENT_FAILURE,MATLAB runs but SCRIPT_ENTERED not reached,"Failure between `try` start and disp SCRIPT_ENTERED in Switching/analysis/run_switching_canonical.m (e.g. restoredefaultpath/addpath/createRunContext resolution errors).","No SCRIPT_ENTERED in diary; may still get FAILED in catch if error is inside try after line 18","If error before line 22: catch writes FAILED if createRunContext eventually available — see FP013"
FP013,silent,SILENT_FAILURE,Signaling contract gap mid-startup,"execution_status.csv PARTIAL written at ~line 67 before execution_probe_top.txt at ~line 70; crash between leaves run_dir + PARTIAL status but no execution_probe_top.txt.","PARTIAL in execution_status.csv; missing execution_probe_top.txt","Violates execution order in docs/repo_execution_rules signaling list"
FP014,silent,SILENT_FAILURE,Relying on MATLAB exit code as success,"docs/repo_execution_rules state MATLAB exit code is not a valid run indicator; wrapper propagates ERRORLEVEL.","Misinterpretation risk","SILENT_FAILURE at interpretation layer"
FP015,partial,PARTIAL_EXECUTION,PARTIAL checkpoint before completion,"Script writes EXECUTION_STATUS=PARTIAL before full pipeline and final SUCCESS row.","execution_status.csv shows PARTIAL","Expected mid-run; becomes inconsistent if process stops before probe or final writes"
FP016,partial,PARTIAL_EXECUTION,Crash or kill after PARTIAL but before SUCCESS,"Killed process after data work; execution_status may remain PARTIAL; tables may be incomplete.","PARTIAL status; missing switching_canonical_* outputs or truncated CSVs",""
FP017,partial,PARTIAL_EXECUTION,Missing run_manifest.json on fallback failure path,"catch ME uses alternate run_dir via mkdir when createRunContext fails in catch helper; may omit manifest vs createRunContext success path.","run_dir exists without run_manifest.json","docs/infrastructure_laws.md / docs/run_system.md require manifest at run root for canonical runs"
FP018,partial,PARTIAL_EXECUTION,Required CSV/MD contract vs subdirectory layout,"run_switching_canonical.m writes tables/*.csv and reports/*.md; if interrupted before first writetable, only status/probe may exist.","execution_status without tables/*.csv or reports/*.md","docs/run_system.md requires at least one CSV and one MD under run_dir tree"
