contract_name,source_file,source_column,role,allowed_use,forbidden_use,caveat,notes
T_K,tables/relaxation/relaxation_RCON_02B_Aproj_vs_SVD_score.csv,temperature_K,Temperature_axis_join_key,"Join scalars by temperature; physics plots versus T.",Treat_as_legacy_A_T_old_numeric,Numeric_Kelvin_matches_RF3R2_index_temperature_within_rounding,
T_K,tables/relaxation/relaxation_AT_canon_lineage_06_scalar_table.csv,T_K,Temperature_axis_Lineage06_strict_mask,"Definition_bridge_tables_strict_subset_only.",Extrapolate_strict_mask_rows_to_full_18K_without_labeling,Integer_K_semantics_Lineage06_subset_not_full_ladder,
T_K,tables/relaxation/relaxation_activity_representation_02_loo_svd_fold_metrics.csv,heldout_T_K,LOO_fold_temperature_axis,"Interpret_fold_rows_relative_to_AR02_protocol.",Join_to_RC_ON_without_fold_context,Folds_are_AR02_not_global_default_replay_rule,
A_obs_canon,tables/relaxation/relaxation_RCON_02B_Aproj_vs_SVD_score.csv,A_obs,Direct_observable_amplitude,"Main_text_transparency_track_per_A_policy.",Call_rank1_optimal_without_caveat,Maps_closure_dictionary_A_obs_RC_ON_bundle,
A_svd_canon,tables/relaxation/relaxation_RCON_02B_Aproj_vs_SVD_score.csv,SVD_score_mode1,SVD_family_member_full_map_reference,"Same_numeric_role_as_m0_svd_when_columns_match_closure; supplement_affine_checks_use_A_proj_nonSVD_separate_alias.",Collapse_family_to_single_ambiguous_column_without_member_label,Contract_is_family_spanned_by_multiple_columns_and_tables_per_alias_CSV,
A_T_canon,tables/relaxation/relaxation_AT_canon_lineage_06_scalar_table.csv,A_T_canon_oriented,Legacy_sigma1_U1_bridge_signed,"Definition_bridge_Lineage06_sigma1_U_row_major.",Numeric_identity_to_missing_A_T_old_export,Prefer_oriented_column_for_contract_signed_story_raw_also_in_table,
A_svd_LOO_canon,tables/relaxation/relaxation_activity_representation_02_loo_svd_fold_metrics.csv,m0_LOO,Operational_LOO_coefficient_per_fold,"Held_out_robustness_narrative_AR02_scope.",Physical_uniqueness_or_substitute_for_RC_ON_bundle_without_label,m0_LOO_header_short_form_vs_dictionary_m0_LOO_SVD_projection,
A_svd_full_canon,tables/relaxation/relaxation_RCON_02B_Aproj_vs_SVD_score.csv,SVD_score_mode1,Full_map_rank1_score_RC_ON_naming,"In_sample_reference_same_column_as_closure_m0_svd_alias.",Silent_substitution_for_LOO_held_out_claims,Leakage_vs_LOO_per_contract_caveat,
A_svd_full_canon,tables/relaxation/relaxation_AT_canon_lineage_06_scalar_table.csv,m0_svd;SVD_score_mode1,Lineage_bundle_duplicate_checks,"Cross_check_numeric_identity_within_lineage_table.",Merge_roles_without_stating_equivalence_scope,m0_svd_matches_SVD_score_mode1_in_closure_where_defined,
A_T_old,MISSING,N_A,Numeric_evidence_absent,"Prose_only_lineage_audit_reference_Lineage05.",Any_numeric_table_join_or_equality_claim,No_repo_column_per_alias_table,
