conversion_id,source_script_path,module,target_matlab_script_path,conversion_type,priority,reason,inputs_to_match,outputs_to_match,required_tolerance,expected_difficulty,recommended_before_task,notes
CV01,scripts/run_relaxation_universal_time_spectrum_23.mjs,Relaxation,Relaxation ver3/run_relaxation_universal_time_spectrum_23_MATLAB.m,parity_replay,P1,RLX-23 uses smoothing and rate estimates on log-time; INFRA-01B parity domain,tables/relaxation/relaxation_time_shape_observables_19_psi_global.csv; relaxation_RCON_02B_time_profile_values.csv,tables/relaxation/relaxation_universal_time_spectrum_23_*.csv; reports/relaxation/relaxation_universal_time_spectrum_23.md,numeric abs tol 1e-10 where linear arithmetic; larger only if grid alignment documented,high,manuscript time-spectrum claims,Do not create this file in INFRA-02; path is illustrative only
CV02,scripts/run_relaxation_plateau_timewarp_22B.mjs,Relaxation,Relaxation ver3/run_relaxation_plateau_timewarp_22B_MATLAB.m,parity_replay,P1,Interpolation and timewarp gain require MATLAB parity before amplitude narrative hardens,relaxation_canonical_timescale_22_*.csv; relaxation_internal_time_correlations_21_joined_table.csv; relaxation_RF3R2_repaired_curve_samples.csv,relaxation_plateau_timewarp_22B_*.csv; relaxation_plateau_timewarp_22B.md,tie-break exact row keys; RMSE deltas within documented grid policy,high,cross-experiment amplitude bridges,RELAXATION_RLX22B_REQUIRES_MATLAB_PARITY PARTIAL for plateau-only wording
CV03,scripts/run_relaxation_slow_tail_robustness_24.mjs,Relaxation,Relaxation ver3/run_relaxation_slow_tail_robustness_24_MATLAB.m,parity_replay,P1,Derivative and smoothing charter requires inspectable MATLAB source,RLX-23 outputs; relaxation_RCON_02B_time_profile_values.csv,relaxation_slow_tail_robustness_24_*.csv; relaxation_slow_tail_robustness_24.md,charter tables exact schema; metric tolerances per smoothing choice doc,high,slow-tail robustness conclusions,Pairs with CV01 numeric lineage
CV04,scripts/run_relaxation_canonical_timescale_22.mjs,Relaxation,Relaxation ver3/run_relaxation_canonical_timescale_22_MATLAB.m,parity_replay,P1,Parametric tau extractions are fitting-adjacent per policy,RLX-20 and RLX-19 inputs per script header,relaxation_canonical_timescale_22_*.csv,fit parameters match within solver tolerance; status flags exact,medium,RLX-22B inputs,Downstream of Psi and QC tables
CV05,scripts/run_cm_sw_rlx_ax_18c_t_scaling_baseline.mjs,CrossModule,scripts/run_CM_SW_RLX_AX_18C_t_scaling_baseline.m,parity_replay,P1,OLS and LOOCV are model-scoring outside MATLAB,AX-17B domain tables referenced by the mjs,AX-18C output CSV and report families as implemented,beta and LOOCV RMSE within 1e-8 relative OLS,high,AX scaling baseline claims,Filename mirrors existing scripts/ cross-module style
CV06,scripts/run_switching_canonical_paper_figures.ps1,Switching,Switching/scripts or scripts/run_switching_canonical_paper_figures_MATLAB.m,full_conversion,P0,Non-MATLAB paper figure emitters violate default unless approved,inputs listed in PS1 header block,PNG and PDF under results/switching/figures/canonical_paper/ plus manifest tables,visual layout not in scope; data series exact match to source tables,high,manuscript Switching figure pack,Export both fig and png from MATLAB per INFRA-01B
CV07,tools/agent24h_render_figures.ps1,Tools,Switching or Tools MATLAB equivalent TBD,full_conversion,P0,CI PNG from CSV without MATLAB fig,alpha_structure.csv and related tables,figures/*.png,scatter series exact; pixel diff not required,medium,any external figure reuse,Or quarantine and mark non-canonical only
CV08,analysis/switching_collapse_kernel_analysis.ps1,Switching,Switching/analysis/run_switching_collapse_kernel_analysis_MATLAB.m,full_conversion,P1,Kernel collapse PNG suite from WinForms,run-scoped inputs per script contract,all panel PNGs in run figure directory,curve samples within floating tolerance on defined grid,very_high,manuscript collapse story,Large surface area; plan staged parity by panel group
CV09,tools/run_kappa2_state_vs_geometry.py,Tools,Tools or Switching MATLAB port TBD,full_conversion,P1,matplotlib kappa2 versus shape export,tables/kappa2_state_vs_geometry.csv,figures/kappa2_vs_shape.png,points and axes data match; image optional,medium,kappa2 reporting,PS1 parallel path exists; pick single authority after parity
CV10,scripts/run_relaxation_phase2_A_canon_lock.py,Relaxation,Relaxation ver3/run_relaxation_phase2_A_canon_lock.m,spotcheck_only,P1,Optional matplotlib layer beside MATLAB lock,Same inputs as paired MATLAB lock,diagnostic PNG or placeholder only,image not part of metric truth,low,Phase2 promotion,Parity is spot-check that numbers do not depend on Python layer
CV11,scripts/print_canonical_verdicts.py,CrossModule,not applicable,no_conversion_needed,P3,Table text projection from existing CSVs,declared input CSVs,stdout or small tables,exact string keys,low,maintenance review,Keep as labeled accelerator
CV12,tools/validate_matlab_runnable.ps1,Maintenance,not applicable,no_conversion_needed,P3,Wrapper preflight for MATLAB scripts,script under test,status only,not applicable,low,CI hygiene,Not a scientific metric path
