script_path,language,exists,module,related_task_or_prefix,role,reads_inputs,writes_outputs,creates_figures,uses_smoothing,uses_derivatives,uses_interpolation,uses_fitting,uses_time_warping,uses_rate_spectrum_logic,uses_reconstruction_or_decomposition,uses_model_selection,scientific_metric_computation,risk_level,matlab_conversion_needed,matlab_parity_needed,safe_to_keep_as_accelerator,notes
.codex_tmp\aging_log_time_scaling_test_native.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,NO,Scratch/temporary; do not use as canonical evidence.
.codex_tmp\generate_relaxation_audit.ps1,PowerShell,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,NO,Scratch/temporary; do not use as canonical evidence.
_legacy\_loocv_tmp.py,Python,YES,Maintenance,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,NO,Scratch/temporary; do not use as canonical evidence.
analysis\aging_time_rescaling_collapse.ps1,PowerShell,YES,Aging,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,HIGH,YES,YES,NO,WinForms chart or bitmap pipeline; scientific visualization outside MATLAB.
analysis\finalize_relaxation_aging_run.ps1,PowerShell,YES,Aging,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,HIGH,YES,YES,NO,WinForms chart or bitmap pipeline; scientific visualization outside MATLAB.
analysis\rewrite_revised_report.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
analysis\run_phi_elastic_mode_test.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
analysis\run_unified_barrier_mechanism.ps1,PowerShell,YES,Switching,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,HIGH,YES,YES,NO,WinForms chart or bitmap pipeline; scientific visualization outside MATLAB.
analysis\switching_analysis_audit.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
analysis\switching_barrier_projection_native.ps1,PowerShell,YES,Switching,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,HIGH,YES,YES,NO,WinForms chart or bitmap pipeline; scientific visualization outside MATLAB.
analysis\switching_collapse_asymmetry_test.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
analysis\switching_collapse_kernel_analysis.ps1,PowerShell,YES,Switching,INFRA_02,figure_generation,varies,varies,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,HIGH,YES,YES,NO,WinForms chart or bitmap pipeline; scientific visualization outside MATLAB.
analysis\switching_relaxation_amplitude_test.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
analysis\switching_ridge_linear_test.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
analysis_new\dynamics\xy\aging_time_rescaling_collapse.ps1,PowerShell,YES,Aging,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
analysis_new\dynamics\xy\finalize_relaxation_aging_run.ps1,PowerShell,YES,Aging,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
analysis_new\dynamics\xy\run_phi_elastic_mode_test.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
analysis_new\switching\xy\run_unified_barrier_mechanism.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
analysis_new\switching\xy\switching_analysis_audit.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
analysis_new\switching\xy\switching_barrier_projection_native.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
analysis_new\switching\xy\switching_collapse_asymmetry_test.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
analysis_new\switching\xy\switching_collapse_kernel_analysis.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
analysis_new\switching\xy\switching_relaxation_amplitude_test.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
analysis_new\switching\xy\switching_ridge_linear_test.ps1,PowerShell,YES,Switching,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
execute_artifact_cleanup.ps1,PowerShell,YES,Unknown,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
reports\functional_form_scan_analysis.ps1,PowerShell,YES,Maintenance,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
reports\subset_stability_analysis.ps1,PowerShell,YES,Maintenance,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
results_old\cross_experiment\runs\run_2026_03_25_041503_temperature_regime_analysis\scripts\_build_temperature_regime_analysis.py,Python,YES,CrossModule,INFRA_02,scientific_metric,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,MEDIUM,YES,YES,NO,
results_old\cross_experiment\runs\run_2026_03_25_041503_temperature_regime_analysis\scripts\BuildTemperatureRegimeArtifacts.ps1,PowerShell,YES,CrossModule,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
run_cleanup.ps1,PowerShell,YES,Unknown,INFRA_02,report_generation,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MEDIUM,YES,YES,NO,Orchestration/audit; inspect for embedded scientific transforms.
scripts\analyze_phi_kappa_canonical.py,Python,YES,CrossModule,INFRA_02,table_audit,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
scripts\build_rf3r2_repaired_replay_object.py,Python,YES,CrossModule,INFRA_02,scientific_metric,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,MEDIUM,YES,YES,NO,
scripts\build_snapshot_simple.ps1,PowerShell,YES,CrossModule,INFRA_02,maintenance,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
scripts\diagnose_tau_zero.py,Python,YES,CrossModule,INFRA_02,table_audit,varies,varies,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,NO,NO,YES,
