"component_name","path","type","suspected_role","notes"
"run_*.m scripts (Switching/analysis subtree)","Switching/analysis/","EXECUTION","Analysis entry scripts","57 files; recursive under Switching/analysis"
"run_*.m scripts (analysis/)","analysis/","EXECUTION","Analysis entry scripts","42 files"
"run_*.m scripts (Relaxation ver3 subtree)","Relaxation ver3/","EXECUTION","Relaxation entry and diagnostics scripts","14 files recursive"
"run_*.m scripts (repository root)",".","EXECUTION","Top-level run and wrapper scripts","30 files at repo root"
"run_*.m scripts (tools subtree)","tools/","EXECUTION","Tooling and test drivers named run_*.m","5 files; roles vary (see per-file rows under tools/)"
"run_*.m scripts (miscellaneous locations)","multiple","EXECUTION","Scattered run_*.m","12 files in junk/, tmp/, ARPES ver1/, GUIs/tests/, Aging/tests/, results_old/, etc.; scripts/ entry listed separately"
"run_*.bat (wrapper)","tools/run_matlab_safe.bat","EXECUTION","MATLAB batch launcher","Only run_*.bat found in repo"
"repository state validator","repo_state_validator.m","VALIDATION","Repo layout/state checks","Root-level validator script"
"MATLAB run template","docs/templates/matlab_run_template.m","UTILITY","Authoring template for run scripts","Template under docs/templates"
"pipeline path setup","Aging/pipeline/stage0_setupPaths.m","UTILITY","Path/bootstrap for aging pipeline","Stage0 naming"
"Aging run context factory","Aging/utils/createRunContext.m","UTILITY","Construct run context for aging runs","Matches createRunContext search"
"Aging results directory helper","Aging/utils/getResultsDir.m","IO","Resolve results directory","Path helper"
"Switching run context factory","Switching/utils/createSwitchingRunContext.m","UTILITY","Construct run context for switching","Paired with Switching canonical layout"
"Switching failure run context","Switching/utils/allocateSwitchingFailureRunContext.m","UTILITY","Failure-path run context allocation","Name suggests failure handling"
"Switching canonical run root","Switching/utils/switchingCanonicalRunRoot.m","UTILITY","Canonical root path for switching runs","Path resolution"
"Switching execution status writer","Switching/utils/writeSwitchingExecutionStatus.m","IO","Write execution status records","Status output"
"Switching module canonical assert","Switching/utils/assertModulesCanonical.m","VALIDATION","Enforce canonical module layout","Assert naming"
"Switching run directory canonical assert","Switching/utils/assertSwitchingRunDirCanonical.m","VALIDATION","Enforce canonical run directory","Assert naming"
"post-entry partial fail probe","tests/infrastructure/post_entry_partial_then_fail_probe.m","VALIDATION","Infrastructure probe","tests/infrastructure"
"post-entry runtime fail probe","tests/infrastructure/post_entry_runtime_fail_probe.m","VALIDATION","Infrastructure probe","tests/infrastructure"
"execution probe script","test_execution_probe.m","VALIDATION","Ad-hoc execution probe","Root-level test script"
"adversarial observable search entry","scripts/run_adversarial_observable_search.m","EXECUTION","Script-folder analysis driver","Only scripts/*.m found"
"_agent24a_result.json","tools/_agent24a_result.json","IO","Cached result artifact","JSON data under tools/"
"_export_agent24f_transition_chart.ps1","tools/_export_agent24f_transition_chart.ps1","EXECUTION","Chart export orchestration","PS1 orchestration"
"agent24a_loocv_compute.ps1","tools/agent24a_loocv_compute.ps1","EXECUTION","LOOCV compute pipeline","PS1"
"agent24b_aging_prediction.ps1","tools/agent24b_aging_prediction.ps1","EXECUTION","Aging prediction orchestration","PS1"
