method_id,file_or_module_primary_path,output_artifacts_typical,observable_quantity_primary,dip_background_fm_surface,fit_based_vs_direct,signed_absolute_handling,short_tw_behavior_notes,tp_tw_coverage_behavior,config_exposure,hard_coded_assumptions_notes,classification_current_vs_other
OB_TRACK_A_STAGE6_SUMMARY,Aging/pipeline/stage6_extractMetrics.m,"vectors AFM_like FM_like arrays summary CSV per pipeline","AFM_like from Dip_area_selected; FM_like from FM_E","Uses fit-selected dip area and tanh RMS FM path; NOT raw dip_signed","Fit-derived summaries from stage5 pauseRuns fields","Track A magnitudes; FM_like not FM_abs","Coverage follows cfg pause inventory and stage5 validity","Full pause grid when pipeline succeeds","Via cfg.agingMetricMode cfg.AFM_metric_main paths","Extrema branch uses AFM_extrema_smoothed not Dip_area_selected","canonical_summary_track_A_not_consolidation_contract"
OB_STAGE4_DIRECT_CORE,Aging/models/analyzeAFM_FM_components.m,"pauseRuns DeltaM_smooth DeltaM_sharp dip_signed AFM_amp FM_step_raw FM_step_mag AFM_RMS","Dip_depth eventually AFM_amp residual path; FM_signed from FM_step_raw","Explicit DeltaM = smooth + sharp decomposition; dip vs FM plateau logic","Direct window metrics on DeltaM(T); optional diagnostics vs fits","FM_signed physical; FM_abs = abs later in stage4 shell","Low-T exclusions via cfg.excludeLowT_* can zero FM plateau validity","All pause temps where extract succeeds","Called via cfg.dip_window_K smoothWindow_K FM_plateau_K excludeLowT_* AFM_metric_main","Naming FM_step_mag holds signed raw in direct path per freeze","current_pipeline_track_B_scalar_source"
OB_STAGE4_ORCHESTRATOR,Aging/pipeline/stage4_analyzeAFM_FM.m,"pauseRuns Dip_depth Dip_depth_source FM_signed FM_abs baseline_* dip_window","Fills Dip_depth from AFM_amp if blank; assigns FM_abs = abs(FM_signed)","Orchestrates direct derivative extrema modes; diagnostics Dip_area_direct","Mode-dependent; direct branch calls analyzeAFM_FM_components","FM_abs always magnitude; FM_signed preserved on pauseRuns","Short tw rows still pass if finite tw>0 unless upstream filtered","Depends on cfg.agingMetricMode branch taken","cfg.agingMetricMode direct|derivative|extrema_smoothed plus inherited AFM_metric_main","Fallback Dip_depth_source unset vs afm_amp_residual labels branch","current_pipeline_router"
OB_STAGE4_DERIVATIVE_MODE,Aging/models/analyzeAFM_FM_derivative.m,"pauseRuns fields from derivative-assisted decomposition","Derivative-assisted scalars per run","derivative AFM FM pathway distinct from direct plateau split","Derivative smoothing pipeline not Gaussian dip fit","Signed FM fields per derivative helper outputs","Same cfg windows influence usable plateaus","Follows derivative numerical stability","Selected only when cfg.agingMetricMode derivative","Uses DeltaM_signed when present else DeltaM","diagnostic_or_alternate_branch"
OB_STAGE4_EXTREMA_MODE,Aging/models/analyzeAFM_FM_extrema_smoothed.m,"AFM_extrema_smoothed FM_extrema_smoothed","Smoothed extrema scalars","Extrema on smoothed curve not same as residual dip depth","Direct feature extraction on smoothed data","Magnitude-style extrema outputs","May differ sensitivity at short tw vs plateau methods","stage6 uses abs(AFM_extrema_smoothed) when mode active","cfg.agingMetricMode extrema_smoothed","Distinct summary column population in stage6 vs Dip_depth","alternate_branch_track_A_feed"
OB_STAGE5_GAUSSIAN_DIP,Aging/pipeline/stage5_fitFMGaussian.m,"pauseRuns Dip_area_fit FM_E Dip_area paths","Gaussian dip area FM_E RMS window fits","Fits dip and step models on windows","Explicit nonlinear fits","Fit magnitudes FM_E not FM_signed plateau raw","Fit windows may drop validity at problematic plateaus","Needed for model mode Track A selections","Invoked when pipeline reaches stage5","Couples to cfg controlling fit windows","canonical_for_track_A_fit_lineage_not_FiveColumn_Dip_depth"
OB_STRUCTURED_EXPORT_WIDE,Aging/analysis/aging_structured_results_export.m,"observable_matrix.csv observables.csv DeltaM_map SVD bundle","Wide matrix includes Dip_depth FM_abs FM_step_mag Dip_T0 Dip_sigma etc","Embeds stage4 outputs per chosen Tp_ref curve bundle","Exports computed scalars already produced upstream","FM_step_mag kept in observable_matrix; stripped from observables.csv narrow export","Short tw curves included if present in extracted curves","Single Tp_ref slice multi tw unless aggregate orchestrator","preferredTpK tpTolK dataset list loop","Requires multi dataset harmonization","current_canonical_materialization_for_matrix_audits"
OB_THIN_CONSOLIDATION_FIVE_COL,Aging/analysis/run_aging_observable_dataset_consolidation.m,"tables/aging/aging_observable_dataset.csv plus sidecar status","Tp tw Dip_depth FM_abs source_run identity mapping","No recomputation; carries stage4 semantics forward","Non-fit rename filter duplicate-key guard","FM_abs magnitude only in CSV; FM_signed dropped","Cannot represent sign reversal in fifth column","Filtered finite rows tw>0 nonempty source_run","Reads consolidation_structured_run_dir.txt pointer","Requires contract CSV mapping tables present","current_contract_sink_reader_default_target"
OB_TRI_DIAGNOSTICS_FAMILY,Aging/analysis/aging_tri_clock_consistency_test.m,"multiple tau CSV figures under run_dir","Uses consolidated Dip_depth vs FM pathways indirectly via cfg paths","Clock collapse diagnostics multi modal","Mixture fits and stats on exported tau tables","Reads numeric magnitudes from upstream","Independent of single tw sign row grain","Temperature sweeps depend on chosen tau inputs","Heavy cfg dipRunName datasetRunName patterns","Hard-coded default dataset run names in parts of aging tests","diagnostic_exploration"
OB_LOWT_FM_DIAGNOSTIC,Aging/analysis/run_aging_lowT_6_10_fm_fit_vs_direct_diagnostic.m,"diagnostic tables FM_abs FM_signed NaN causality","Side-by-side FM_abs FM_signed Dip_depth at low T","Explains NaN FM_abs while Dip finite","Direct reads from pipeline pauseRuns extracts","Explicitly compares signed vs abs availability","Documents short/low-T plateau collapse causing FM_abs NaN","Targets Tp 6 and 10 K rows specifically","Inventory driven diagnostic harness","Does not repair extraction","diagnostic_archival_findings"
OB_F3B_SHORT_TW_SIGN_AUDIT,run_aging_F3b_FM_signed_short_tw_rescue.m,"inventory CSV reports FM sign alignment","FM_step_mag signs vs sidecar audit columns","Sign audit parallel to five-column FM_abs","Non-fit table joins","Reads signed plateau proxy FM_step_mag not FM_abs alone","Explicit grid includes tw=3 s across Tp grid","Fixed tpCandidates twCandidates enumerations","Hard-coded aggregate observable_matrix path in script body","Does not write consolidation contract row semantics","diagnostic_replay_style_audit"
OB_LEGACY_ANALYZE_AGING_MEMORY,Aging/analyzeAgingMemory.m,"legacy maps RMS derivative stacks","Derivative RMS aging maps","Smoothing derivative stacks separate decomposition","Derivative pipeline distinct from stage4 module","Signed DeltaM derivatives","May blur pointwise FM sign at grid resolution","Full temperature maps","Older cfg patterns","Overlaps conceptual ground with derivative mode","archival_parallel_concept"
OB_SHAPE_VARIATION_ANALYSIS,Aging/analysis/aging_shape_collapse_analysis.m,"shape scaling CSV under run","Rank1 shape coefficients vs Tp","Shape modes not dip scalar contract","PCA style summaries on exported curves","Uses magnitudes from scaled curves","Depends on curve ensemble not single tw sign","Multi Tp when curves exist","cfg-driven typical aging analysis","Separate code path from tau logistic fits","exploratory_diagnostic"
OB_OBSERVABLE_IDENTIFICATION_AUDIT,Aging/analysis/aging_observable_identification_audit.m,"recommendation ranking CSV","Classifies observable candidates per matrix export","Meta audit not producer","non-fit ranking","Mixed","N/A","Reads exported structured tables","audit harness parameters","Does not emit physics observables itself","diagnostic_governance"
OB_CLOCK_RATIO_DOWNSTREAM_ONLY,Aging/analysis/aging_clock_ratio_analysis.m,"table_clock_ratio correlation_summary","Loads tau_dip tau_FM from prior CSVs not raw DeltaM","Ratio construction only","Combines prior tau extractions","N/A","Never touches FM sign at raw layer","Temperature union of tau tables","cfg dipRunName fmRunName bridge paths","Requires compatible tau file pairing","analysis_downstream_comparator"
