observable,test type,metric,result,verdict,interpretation
"None (single scalar candidate)","Repository mapping audit classification","classification","Phi1: NOT MAPPED AS A SINGLE NUMERIC PROXY","FAILED","No one-number observable defines Phi1 shape robustly"
"kappa1-predicted Phi1 term (indirect)","Residual-strip predictive replacement","aggregate_LOOCV_RMSE (rank1_kappa1_Phi1 vs PT-only)","0.011018 vs 0.053518 (n=12)","PARTIAL","Observable-side features can predict kappa1 amplitude, then reconstruct kappa1*Phi1; still requires Phi1 shape"
"PT tail width + S_peak (for kappa1 amplitude)","LOOCV regression to kappa1","LOOCV_RMSE","0.0184739 (best linear model)","PARTIAL","Strong indirect proxy for Phi1 amplitude, not for Phi1 field"
"S_peak","Correlation with kappa1 amplitude","Pearson/Spearman","Pearson 0.9678; Spearman 0.9650","PARTIAL","Tracks amplitude strongly; does not encode Phi1 x-shape"
"q90_I","Correlation + LOOCV for kappa1","Pearson and LOOCV_RMSE","Pearson 0.7784; LOOCV 0.0415046 (single predictor)","PARTIAL","Upper-threshold level contributes but is weaker than joint proxy"
"tail width (q90-q50)","Correlation + LOOCV for kappa1","Pearson and LOOCV_RMSE","Pearson 0.6649; LOOCV 0.049813 (single predictor)","PARTIAL","Width alone insufficient; useful with S_peak"
"tail_mass_quantile_top12p5","Correlation + LOOCV for kappa1","Pearson and LOOCV_RMSE","Pearson -0.0936; LOOCV 0.0619433","FAILED","Tail-mass scalar does not map Phi1 amplitude"
"local current shift deltaI","Kernel reconstruction / deformation test","Median corr(deltaS,tangent)","-0.4760 (rank-2 reference corr 0.9844)","FAILED","Phi1 residual is not a simple local shift of PT backbone"
"nonlinear Scdf response","Kernel reconstruction test","Mean RMSE","0.031210 (vs rank-1 0.008913)","FAILED","Phi1 cannot be reduced to low-order nonlinear response of Scdf alone"
"map-language symmetric ridge correction","Semantic + replacement consistency","Cross-source consistency","Consistent across latent_to_observable_replacement_table, paper dictionary, and experimental report","DIRECT","Phi1 has a direct qualitative observable signature on maps (broad symmetric correction)"
"ridge width/asymmetry family","Family-level signature test","Comparative replacement evidence","Width/asymmetry scalars help for kappa/alpha channels but do not uniquely define Phi1","PARTIAL","Observable family captures aspects of the mechanism but not full Phi1 field"
