script_path,module,output_path_or_family,output_type,related_task,output_role,canonical_candidate,manuscript_candidate,current_status,requires_matlab_parity,requires_matlab_conversion,notes
scripts/run_relaxation_plateau_timewarp_22B.mjs,Relaxation,tables/relaxation/relaxation_plateau_timewarp_22B_*.csv,table,RLX-22B,diagnostic_synthesis,NO,NO,provisional,YES,YES,Also reports/relaxation/relaxation_plateau_timewarp_22B.md; depends on RLX-22 and RF3R2 sample tables
scripts/run_relaxation_plateau_timewarp_22B.mjs,Relaxation,reports/relaxation/relaxation_plateau_timewarp_22B.md,report,RLX-22B,diagnostic_synthesis,NO,NO,provisional,YES,YES,ASCII report; claims gated in-script to not manuscript-ready for amplitude
scripts/run_relaxation_universal_time_spectrum_23.mjs,Relaxation,tables/relaxation/relaxation_universal_time_spectrum_23_*.csv,table,RLX-23,rate_spectrum,NO,NO,provisional,YES,YES,Includes rate_profiles classification robustness summaries per INFRA-01B parity domain
scripts/run_relaxation_universal_time_spectrum_23.mjs,Relaxation,reports/relaxation/relaxation_universal_time_spectrum_23.md,report,RLX-23,rate_spectrum,NO,NO,provisional,YES,YES,References READY_FOR_MANUSCRIPT flags internal to chain
scripts/run_relaxation_slow_tail_robustness_24.mjs,Relaxation,tables/relaxation/relaxation_slow_tail_robustness_24_*.csv,table,RLX-24,slow_tail_charter,NO,NO,provisional,YES,YES,Derivative method comparisons smoothing edge tests; feeds charter CSV
scripts/run_relaxation_slow_tail_robustness_24.mjs,Relaxation,reports/relaxation/relaxation_slow_tail_robustness_24.md,report,RLX-24,slow_tail_charter,NO,NO,provisional,YES,YES,Cross-references RLX-23; policy text on manuscript claims
scripts/run_relaxation_canonical_timescale_22.mjs,Relaxation,tables/relaxation/relaxation_canonical_timescale_22_*.csv,table,RLX-22,timescale_extraction,NO,NO,provisional,YES,YES,Exp/KWW style outputs; fit families and correlations
scripts/run_relaxation_internal_time_correlations_21.mjs,Relaxation,tables/relaxation/relaxation_internal_time_correlations_21_*.csv,table,RLX-21,correlation_audit,NO,NO,provisional,YES,YES,Joins prior RLX-19/20 lineage outputs
scripts/run_relaxation_internal_time_correlations_21.mjs,Relaxation,reports/relaxation/relaxation_internal_time_correlations_21.md,report,RLX-21,correlation_audit,NO,NO,provisional,YES,YES,Reads policy markdown from earlier RLX stages only
scripts/run_relaxation_time_shape_QC_20_audit.mjs,Relaxation,stdout JSON only,console,RLX-20,qc_console,NO,NO,diagnostic,NO,NO,No repo writes; console-only table inventory style accelerator
scripts/run_relaxation_A_old_new_reconciliation_15_compute.mjs,Relaxation,tables/relaxation/relaxation_A_old_new_reconciliation_15_numeric_comparison.csv,table,RLX-15,reconciliation,NO,NO,provisional,YES,YES,Numeric compare of legacy versus RF3R2 scalar inputs
scripts/run_cm_sw_rlx_ax_18c_t_scaling_baseline.mjs,CrossModule,tables/cross_module (per script run) / reports/cross_module,table_and_report,AX-18C,scaling_baseline,NO,NO,provisional,YES,YES,OLS and LOOCV; confirm output folder from script when running
scripts/run_switching_canonical_paper_figures.ps1,Switching,results/switching/figures/canonical_paper/*.png,figure,Switching paper pack,publication_style,YES,YES,provisional,YES,YES,Non-MATLAB PNG/PDF; requires explicit approval or MATLAB replot per INFRA-01B
scripts/run_switching_canonical_paper_figures.ps1,Switching,results/switching/figures/canonical_paper/*.pdf,figure,Switching paper pack,publication_style,YES,YES,provisional,YES,YES,Same lineage as PNG; parity expected against MATLAB fig+png pipeline
tools/agent24h_render_figures.ps1,Tools,figures/*.png,figure,Agent24H,ci_sandbox,NO,NO,provisional,YES,YES,Comment in script: PNG from CSV without MATLAB; not default canonical figure path
tools/agent24b_aging_prediction.py,Tools,figures/R_vs_prediction.png,figure,Aging agent24b,visual_summary,NO,NO,provisional,YES,YES,Copies may land under repo figures/; matplotlib path
tools/run_kappa2_state_vs_geometry.py,Tools,figures/kappa2_vs_shape.png,figure,Kappa2 geometry,visual_summary,NO,NO,provisional,YES,YES,Scientific scatter diagnostic outside MATLAB
scripts/run_relaxation_phase2_A_canon_lock.py,Relaxation,figures or placeholder text under run dir,figure,Phase2 canon lock,optional_diagnostic,NO,NO,provisional,YES,YES,matplotlib optional; companion to MATLAB lock runner
analysis/switching_collapse_kernel_analysis.ps1,Switching,run-scoped figures/*.png,figure,Collapse kernel,scientific_viz,NO,NO,provisional,YES,YES,WinForms chart SaveImage; many panel PNGs under run output tree
analysis/switching_barrier_projection_native.ps1,Switching,run-scoped barrier PNGs,figure,Barrier projection,scientific_viz,NO,NO,provisional,YES,YES,Multiple SaveImage exports per audit flow
