figure_family,source_type,path,likely_input_tables,compatible_with_canonical_SP012,should_reproduce_for,reason
collapse,script,Switching/analysis/switching_full_scaling_collapse.m,switching_alignment_samples.csv; switching_full_scaling_parameters.csv; switching_full_scaling_metrics.csv,PARTIAL,diagnostic_only,Legacy full-scaling collapse recipe exists but depends on legacy alignment/full-scaling artifacts.
X_eff,script,Switching/analysis/switching_effective_observables.m,switching_effective_observables_table.csv; switching_effective_coordinate_x.csv; switching_canonical_observables.csv,PARTIAL,supplement,Defines effective X(T)=I_peak/(W_I*S_peak); treat as effective gauge coordinate only.
X_components,script,scripts/run_switching_P0_effective_observables_numeric_materialization.ps1,switching_canonical_S_long.csv; switching_P0_effective_observables_values.csv,YES,supplement,Materializes I_peak/S_peak/W_I and X_eff values from canonical S-long.
collapse,script,scripts/run_switching_P0_old_collapse_freeze.ps1,switching_P0_old_collapse_freeze_metrics.csv; switching_P0_old_collapse_freeze_definition.csv,YES,main_text,P0 freeze codifies canonical old W_I collapse in primary domain with explicit claim boundaries.
collapse,script,scripts/run_switching_old_WI_recipe_replay.ps1,switching_canonical_S_long.csv; switching_old_WI_recipe_replay_values.csv; switching_old_WI_recipe_replay_collapse_metrics.csv,YES,diagnostic_only,Replays old W_I width recipe on canonical S map for recovery diagnostics.
collapse,script,scripts/run_switching_old_collapse_deep_replay_audit.ps1,switching_old_WI_recipe_replay_collapse_metrics.csv; switching_full_scaling_metrics.csv,PARTIAL,diagnostic_only,Deep replay audit tracks missing legacy artifacts and collapse metric comparability.
X_eff,script,scripts/run_switching_oldX_functional_replay_audit.ps1,switching_canonical_S_long.csv; switching_canonical_observables.csv; switching_oldX_replay_metrics.csv,YES,diagnostic_only,Old-X functional replay audit with explicit no-X_canon boundary.
asymmetry_LR,script,scripts/run_switching_P1_asymmetry_LR_replay.ps1,switching_canonical_S_long.csv; switching_P0_effective_observables_values.csv; switching_P1_asymmetry_LR_values.csv,YES,supplement,P1 asymmetry/LR replay closed and compatible with canonical P0 inputs.
T22_crossover,script,scripts/run_switching_P2_T22_internal_crossover_audit.ps1,switching_P0_old_collapse_freeze_metrics.csv; switching_P0_effective_observables_values.csv; switching_P1_asymmetry_LR_values.csv; switching_P2_T22_crossover_metrics.csv,YES,supplement,P2 22K internal crossover kept in primary domain and 32/34K diagnostic-only.
S_map_cuts,script,Switching/analysis/run_switching_canonical_map_visualization.m,switching_canonical_S_long.csv,YES,main_text,Canonical measured S(I,T) map heatmap and panelized channel cuts.
collapse,script,Switching/analysis/run_switching_canonical_collapse_visualization.m,switching_canonical_S_long.csv; switching_canonical_phi1.csv; switching_mode_amplitudes_vs_T.csv,YES,main_text,Canonical collapse hierarchy visualization with measured/predicted/residual panels.
collapse,script,Switching/analysis/run_switching_canonical_ptcdf_collapse_overlay.m,switching_canonical_S_long.csv; switching_canonical_phi1.csv; switching_mode_amplitudes_vs_T.csv,YES,supplement,Canonical CDF_pt collapse overlays suitable for supplemental diagnostics.
transition_highT,script,Switching/analysis/run_switching_canonical_transition_highT_diagnostics.m,switching_canonical_collapse_hierarchy_error_vs_T.csv; switching_canonical_input_gate_status.csv,YES,diagnostic_only,Bounded high-T diagnostics keeps 32/34K outside primary collapse claims.
other,report_reference,reports/maintenance/switching_boundary_remediation_plan_2026_04_25.md,switching_canonical_collapse_hierarchy_status.csv; switching_P0_old_collapse_freeze_metrics.csv,YES,diagnostic_only,Documents boundary that width-based X is advisory and non-canonical claim surface.
old_output,report_reference,scripts/run_switching_old_collapse_deep_replay_audit.ps1::results_old/switching/runs/run_2026_03_12_234016_switching_full_scaling_collapse/tables/switching_full_scaling_metrics.csv,switching_full_scaling_metrics.csv,PARTIAL,diagnostic_only,Legacy output location is referenced by audit but artifact is absent in this workspace.
old_output,report_reference,scripts/run_switching_P1_asymmetry_LR_replay.ps1::results_old/switching/runs/run_2026_03_13_152008_switching_effective_observables/tables/switching_effective_observables_table.csv,switching_effective_observables_table.csv,PARTIAL,diagnostic_only,Legacy effective-observables table path is referenced for parity checks.
