existing_name,name_type,appears_in,source_field_or_artifact,component_role,current_meaning,decomposition_known,tau_known,sign_policy_known,why_name_is_or_is_not_clear,ambiguity_risk,notes
Track A,route_label,docs and stage6 path,state.summary AFM_like FM_like lineage,summary_track,"Summary figure contract using fit-selected dip area and tanh RMS FM window per freeze",YES,NO,N/A,"Clear as high-level lane but not a column name in consolidation",MEDIUM,"Does not state cfg agingMetricMode or tau"
Track B,route_label,docs consolidation contract,aging_observable_dataset.csv columns,reader_track,"Stage4-style scalars renamed into five-column reader not Track A substitutes",YES,NO,PARTIAL,"Clear versus Track A in governance unclear in code grep alone",MEDIUM,"Also called consolidation style in freeze"
C_DIP_DEPTH_B,component_id,F7V F7X bridge index,aging_observable_dataset Dip_depth column mapped to stream,AFM_DIP,"Opaque F7V id for consolidated dip depth stream in bridge tables",PARTIAL,NO,PARTIAL,"Id suffix _B hints Track B but not direct vs derivative or tau method",HIGH,"F7X materialized from consolidation CSV only"
C_FM_ABS_B,component_id,F7V F7X bridge index,aging_observable_dataset FM_abs column,FM,"Opaque id for consolidated FM magnitude stream",PARTIAL,NO,YES,"States magnitude lane but not plateau extraction details",HIGH,"Eight cells NaN in F7X source slice per bridge long"
AFM_like,field_name,stage6_extractMetrics pause summary,Derived from Dip_area_selected per header,AFM_DIP_summary,"Fit-summary dip area proxy not stage4 Dip_depth",YES,NO,N/A,"Name suggests AFM family but hides fit lineage",HIGH,"Router forbids swap into Dip_depth"
FM_like,field_name,stage6_extractMetrics pause summary,Derived from FM_E tanh window,FM_summary,"Fit-summary FM energy proxy not FM_abs",YES,NO,N/A,"Like suffix signals summary not identity to FM_abs",HIGH,"Freeze distinct from FM_abs"
Dip_depth,field_name,pauseRuns structured export consolidation,Dip_depth column or pauseRuns.Dip_depth,AFM_DIP,"Stage4 dip scalar contract column may equal AFM_amp when filled by orchestrator",YES,NO,PARTIAL,"Depth word clear source path needs Dip_depth_source",MEDIUM,"Tau dip reader uses this column name"
Dip_depth_source,field_name,pauseRuns stage4 orchestrator,run.Dip_depth_source string,AFM_DIP_diagnostic,"Labels whether Dip_depth came from afm_amp_residual or unset etc",YES,NO,N/A,"Clear when populated often missing in consolidation five-column alone",MEDIUM,"Sidecar recommended in freeze doc"
dip_signed,field_name,analyzeAFM_FM_components diagnostic layer,DeltaM_signed minus smooth conceptual,signed_dip,"Continuous diagnostic sharp dip layer on T grid not CSV contract column",YES,NO,YES,"Signed semantics clear not same as exported Dip_depth",MEDIUM,"Router lists dip_signed under direct core"
AFM_amp,field_name,direct decomposition pauseRuns,analyzeAFM_FM_components output path,AFM_amplitude,"Residual dip amplitude style metric may bind Dip_depth",YES,NO,CONTEXT,"Amp clear magnitude role in orchestrator can become Dip_depth",MEDIUM,"Orchestrator copies to Dip_depth when field empty"
