"check","result","detail"
"CONTRACT_READ","YES","Separation contract and canonical synthesis/coverage/targeted-completion artifacts inspected."
"CANONICAL_DECOMPOSITION_ONLY","YES","Final interpretation uses canonical_decomposition namespace only."
"LEGACY_EVIDENCE_EXCLUDED","YES","No legacy_old values, correlations, or claims used as evidence."
"NEW_ANALYSIS_RUN","NO","Synthesis-only writing pass; no rerun executed."
"FINAL_CANONICAL_MODE_INTERPRETATION_WRITTEN","YES","Final canonical mode interpretation report and claims table written."
"PT_CDF_BACKBONE_INTERPRETATION_FINALIZED","YES","PT_CDF_backbone finalized as foundational reference layer."
"PHI1_CANON_INTERPRETATION_FINALIZED","YES","Phi1_canon map effect finalized with bounded high-current/tail-weighted interpretation."
"KAPPA1_CANON_INTERPRETATION_FINALIZED","YES","kappa1_canon amplitude/observable interpretation finalized with bounded caveats."
"PHI2_CANON_INTERPRETATION_FINALIZED","YES","Phi2_canon subleading map contribution finalized from canonical-safe completion artifacts."
"KAPPA2_CANON_INTERPRETATION_FINALIZED","YES","kappa2_canon mixed residual-burden interpretation finalized with scale caveat."
"PHI3_DIAG_INTERPRETATION_FINALIZED","YES","Phi3_diag/kappa3_diag finalized as diagnostic-only components."
"FULL_CROSS_EXPERIMENT_MECHANISM_CLAIMED","NO","Cross-experiment full mechanism claim explicitly excluded."
"SAFE_TO_START_CANONICAL_REPLAY","YES","Current bounded canonical interpretation is complete and replay-safe gate is open."
