component,old_behavior,canonical_requirement,decision,rationale,required_for_rerun
allowed_temperature_set,"Historical robustness operated on the source temperature grid after admissibility filtering.","Base temperature candidates must come from the selected TRUSTED_CANONICAL Switching run table (switching_canonical_S_long.csv).",REPLACE_WITH_CANONICAL_EQUIVALENT,"Preserves grid-based intent while binding to canonical run trust instead of legacy run IDs.",YES
boundary_exclusions,"Boundary audit identified 4 K and 30 K as boundary-effect temperatures and recommended exclusion from model-facing interpretation.","Exclude T_K=4 and T_K=30 from acceptance metrics; keep them as diagnostic-only boundary checks.",PRESERVE_OLD_BEHAVIOR,"Directly preserves documented boundary-effect rule from Switching evidence artifacts.",YES
high_temperature_exclusion_rule,"Filtered-collapse logic used forcedRemoveTemps_K=34 and excluded high-T rows when width was missing with peak-at-lowest-current or low-amplitude conditions.","Apply explicit high-T admissibility rule before acceptance: forced remove 34 K; for T_K>=30 exclude rows with width_missing and (peak_at_lowest_current OR low_amplitude).",PRESERVE_OLD_BEHAVIOR,"This is the explicit pre-canonical physics guard already encoded in Switching robustness evidence.",YES
transition_band_handling,"Historical outputs reported temperature-region sensitivity (mid_T and low_T failures) but did not impose a universal hard transition cutoff.","Require stratified reporting for the 22-24 K transition band; no automatic exclusion unless boundary/admissibility rules fail.",REPLACE_WITH_CANONICAL_EQUIVALENT,"Retains scientific caution near transition while avoiding unsupported hard cuts.",YES
allowed_parameter_perturbations,"Stage1 canonical methods table included only canonical-equivalent perturbations.","Allowed perturbations for acceptance are restricted to canonical-equivalent methods: I_peak {max_sample,max_parabolic_local}, width {fwhm_linear,fwhm_nearest,fwhm_fine_interp}, S_peak {max_sample,max_parabolic_local}.",PRESERVE_OLD_BEHAVIOR,"Preserves the original robustness intent: test estimator sensitivity without changing observable class.",YES
rejected_parameter_perturbations,"Stage1 explicitly excluded non-equivalent definitions and variant-specific x scaling.","For acceptance, reject {com,dsdi_peak,halfmax_mid,rms,iqr,asymmetric,local_avg,local_median,variant-specific x scaling}.",PRESERVE_OLD_BEHAVIOR,"Maintains canonical-equivalence boundary between robustness and redefinition of observables.",YES
canonical_data_source,"Old robustness source-lock referenced run_2026_03_10_112659_alignment_audit.","Canonical robustness input must be selected from tables/switching_run_trust_classification.csv with classification=TRUSTED_CANONICAL (e.g., run_2026_04_03_000147_switching_canonical).",REPLACE_WITH_CANONICAL_EQUIVALENT,"Resolves input mismatch while staying inside current canonical system.",YES
forbidden_input_sources,"Historical evidence was spread across reports/tables_old and missing legacy run folders.","Execution inputs must not be loaded from tables_old, root-level tables, or non-trusted legacy runs.",REPLACE_WITH_CANONICAL_EQUIVALENT,"Separates historical evidence (documentation) from canonical execution inputs.",YES
fixed_coordinate_and_normalization,"Pre-canonical Stage1 used fixed canonical collapse coordinate and fixed normalization across variants.","Primary acceptance must be invariant in canonical function-space model (no coordinate-collapse perturbation). If auxiliary collapse diagnostics are reported, coordinate/normalization must be fixed and not swept.",REPLACE_WITH_CANONICAL_EQUIVALENT,"Aligns with docs/switching_canonical_definition.md while preserving comparability intent from Stage1.",YES
stability_metric_bundle,"Stage1/Stage1B used variant-vs-canonical corr/rmse/relative-deviation plus forensic diagnostics.","Mandatory metrics for canonical robustness report: corr_vs_canonical, rmse_abs, median_rel_dev, worst_rel_dev, and Stage1B forensic diagnostics (grid/undersampling and kappa sensitivity decomposition).",REPLACE_WITH_CANONICAL_EQUIVALENT,"Carries forward scientific meaning of old conclusions into canonical reporting.",YES
acceptance_criteria,"Historical verdicts were produced from Stage1 and Stage1B tables/reports.","Acceptance requires all: canonical input confirmed, execution signaling valid, and canonical thresholds satisfied on allowed perturbations (I_peak>=0.90, width>=0.85, S_peak>=0.90, kappa1>=0.80, collapse ratio in [0.67,1.50]).",REPLACE_WITH_CANONICAL_EQUIVALENT,"Combines existing threshold policy with restored canonical-equivalent perturbation scope.",YES
measurement_robustness_metrics,"Measurement robustness artifacts used Pearson/Spearman/NRMSE/trend checks across measurement definitions.","Treat measurement-definition robustness as a separate contract from parameter robustness acceptance.",REMOVE_AS_NONCANONICAL,"Prevents conflating measurement-family changes with canonical parameter robustness gating.",NO
execution_entry_precondition,"Recent failure showed wrapper execution did not enter target script.","Rerun allowed only if wrapper executes requested script path and execution signaling artifacts are generated from that script run.",REPLACE_WITH_CANONICAL_EQUIVALENT,"Execution validity is a hard prerequisite for any scientific robustness claim.",YES
artifact_contract_precondition,"Recent run failed required output artifact contract.","Rerun allowed only when required robustness tables/report/status fields are produced with canonical naming contract.",REPLACE_WITH_CANONICAL_EQUIVALENT,"Prevents false-positive completion without contract artifacts.",YES
