risk_id,confusing_name_or_pattern,affected_names,confusion_type,why_it_matters,observed_source,severity,possible_resolution,notes
RISK_TRACK_AB,Track A / Track B labels,"Track A, Track B, AFM_like, FM_like, Dip_depth, FM_abs","Route label hides producer and tau method","Readers may assume one track implies one tau or one decomposition; Track A summaries are not consolidation inputs per freeze.","docs/aging_measurement_definition_freeze.md; docs/aging_observable_branch_router.md",HIGH,"Display and machine ids include branch_family decomposition_class tau_status","No code rename required at survey stage"
RISK_C_PREFIX,C_DIP_DEPTH_B C_FM_ABS_B style ids,"C_DIP_DEPTH_B, C_FM_ABS_B, STREAM_*","Opaque id suffix does not encode stage4 mode or tau","Bridge index uses component_id that does not state derivative vs direct or curvefit vs none.","tables/aging/aging_F7V_component_semantic_contracts.csv; tables/aging/aging_F7X_bridge_component_index.csv",HIGH,"Machine id includes decomposition_path_id producer fit_direct_class","F7X2 survey recommendation only"
RISK_FM_ABS_MAGNITUDE,FM_abs magnitude-only,"FM_abs, FM_signed, FM_step_mag","Sign collapsed vs preserved","Reversal physics not visible in FM_abs or FM tau input.","docs/aging_measurement_definition_freeze.md; aging_fm_timescale_analysis.m metadata FM_abs",HIGH,"Explicit ABS_ONLY tag parallel signed columns when needed","Guardrail GR_FM_ABS_AS_SIGNED_FM"
RISK_FM_STEP_MAG_LABEL,FM_step_mag name,"FM_step_mag, FM_step_raw","Label says mag value can be signed","Misleading _mag causes false magnitude-only assumptions.","docs/aging_measurement_definition_freeze.md; stage4_analyzeAFM_FM.m FM_signed assignment",HIGH,"Rename in future contract only with freeze coordination; interim display says signed_plateau_raw","Legacy column name"
RISK_AGING_METRIC_MODE,agingMetricMode direct model fit,"direct, model, fit cfg values","Sounds like stage5 fit but routes same stage4 analyzer","Three strings hit analyzeAFM_FM_components path not Gaussian fit; confuses config vocabulary with stage5.","stage4_analyzeAFM_FM.m case direct model fit",MEDIUM,"decomposition_class=DIRECT cfg_mode token separate from STAGE5_FIT","Router doc quick table notes this"
RISK_TAU_NOT_DECOMP,tau outputs vs decomposition fields,"tau_vs_Tp, tau_FM_vs_Tp, Dip_depth, FM_abs","Tau is downstream artifact not a stage4 column","Analyst may label tau column as if it were another observable from same row without extraction method.","aging_timescale_extraction.m; aging_F7U_tau_method_inventory.csv",HIGH,"Separate tau_method_id dimension and tau_* display prefix","F7G writer_family_id distinguishes"
RISK_RATIO_PRIOR_TAU,R_age and clock tables,"R_age, table_clock_ratio, tau_FM_seconds, tau_dip_seconds","Ratio is not raw component","Clock ratio combines prior tau CSVs misaligned if runs differ.","aging_clock_ratio_analysis.m loadTauTable",HIGH,"Machine id states input=tau_FM/tau_dip ratio=downstream","WF_CLOCK_RATIO_R_AGE metadata"
RISK_DIP_DEPTH_SOURCE,Dip_depth without Dip_depth_source,"Dip_depth, Dip_depth_source, AFM_amp","Same numeric column can bind from AFM_amp fallback","Source ambiguity unless sidecar or pauseRuns field carried.","stage4_analyzeAFM_FM.m Dip_depth empty branch",MEDIUM,"Always surface Dip_depth_source in exports when present","Stage E sidecar optional per freeze doc"
RISK_TRACKA_VS_CONSOL,AFM_like FM_like vs consolidation,"AFM_like, FM_like, Dip_depth, Dip_area_selected, FM_E","Homophone-style collision across tracks","Freeze forbids substituting Track A for Track B names.","docs/aging_measurement_definition_freeze.md",CRITICAL,"Never alias; bridge rows dual_track","F7W no substitution guardrails"
RISK_NARROW_EXPORT_STRIP,observables.csv vs observable_matrix,"observables.csv, FM_step_mag","Sign column dropped in narrow export","Users of observables.csv alone lose signed plateau path.","aging_measurement_definition_freeze.md excerpt aging_structured_results_export",MEDIUM,"Document required join to observable_matrix for sign audits",""
