domain,default_language,allowed_non_default,figure_allowed,required_outputs,parity_required,canonical_or_manuscript_allowed,applies_to_modules,notes
table_only_audit,MATLAB,"Node JavaScript Python other non-MATLAB when clearly labeled as table or audit only",NO,Task-dependent CSV markdown or tables usually under results or tables,NO,YES for procedural audit artifacts,ALL_MODULES,Accelerators must not emit scientific or publication figures unless user approves that task.
status_report_generation,MATLAB,Scripted generators for CSV or markdown status when labeled,NO,Status CSV or markdown per task; no unapproved figure files from non-MATLAB,YES if embedded metrics are non-MATLAB,YES with clear provenance,ALL_MODULES,Embedded science metrics follow provisional rule until parity documented.
scientific_metric_computation,MATLAB,Non-MATLAB allowed only as provisional accelerators,NO,Numeric outputs per task; not .fig or .png from non-MATLAB unless user approves figure task,YES for non-MATLAB paths before canonical use,ONLY with parity or MATLAB replication,ALL_MODULES,Switching Relaxation Aging MT and cross-module analyses share this gate.
derivative_smoothing_rate_spectrum,MATLAB,Non-MATLAB only with explicit MATLAB parity or review,NO for non-MATLAB figure pipelines,YES for MATLAB figures .fig and .png unless user overrides that task,YES for any non-MATLAB implementation,NO until MATLAB parity or review,ALL_MODULES,MATLAB-first; includes universal spectrum style diagnostics.
fitting_timewarp_interpolation,MATLAB,Non-MATLAB only with parity or review before promotion,NO for unapproved non-MATLAB figures,YES .fig and .png default for scientific figures,YES for non-MATLAB,NO until parity,ALL_MODULES,Time-warp and fit workflows must be inspectable in MATLAB for canonical use.
reconstruction_or_decomposition,MATLAB,Non-MATLAB only with parity or review,NO for unapproved non-MATLAB figures,YES .fig and .png for figure tasks,YES for non-MATLAB,NO until parity,ALL_MODULES,Examples include SVD or basis reconstructions; parity before manuscript claims.
model_selection,MATLAB,Non-MATLAB only with parity-validated or reviewed criteria,NO for unapproved non-MATLAB figures,Outputs per charter; figures follow .fig and .png rule,YES when selection logic is non-MATLAB,ONLY MATLAB-first or parity-validated selection records,ALL_MODULES,Model or mode selection must be defensible in MATLAB lineage for canonical evidence.
figure_generation,MATLAB,NO non-MATLAB for scientific figures unless user approves that task,YES when task is an approved scientific figure task,.fig and .png unless user overrides that specific task,NO for default MATLAB pipeline,YES when MATLAB or approved path and export rules met,ALL_MODULES,Non-MATLAB figure generation is disallowed unless explicit per-task user approval.
publication_review_figure_generation,MATLAB,NO non-MATLAB unless user explicitly approves that task,YES,.fig and .png plus docs/visualization_rules.md and docs/figure_style_guide.md,YES if non-MATLAB preprocessing feeds the figure,YES when rules satisfied,ALL_MODULES,Applies to paper talk thesis and review bundles across modules.
canonical_source_of_truth,MATLAB,Non-MATLAB only after documented parity or review,YES in MATLAB unless user approved another language for that task,.fig and .png for figure artifacts when figures are part of evidence,YES if stack includes non-MATLAB computation,MATLAB-native or parity-validated stacks only,ALL_MODULES,Maintenance and infrastructure scripts still subject to honest labeling of provenance.
manuscript_evidence,MATLAB,Non-MATLAB only after parity validation,YES in MATLAB default,.fig and .png for scientific figure tasks,YES for non-MATLAB numerical claims,ONLY MATLAB or parity-validated,ALL_MODULES,Cross-module claims require explicit trace from inputs to figures and tables.
cross_module_analysis,MATLAB,Non-MATLAB only with documented parity and explicit cross-module lineage,NO for unapproved non-MATLAB figures,Same as figure policy for any figures; tables per task,YES for non-MATLAB with cross-module dependencies,ONLY with explicit lineage and parity where needed,ALL_MODULES,Examples include CM SW RLX AX style analyses; label module inputs and transforms.
