blocker_id,source_artifact,current_status,blocks_metadata_verification,blocks_model_use,blocks_R_age_or_clock_ratio,resolution_required,resolution_action_type,notes
FM_tau_lineage_resolution_for_model_use,aging_F7O_series_open_items.csv; aging_F7O_A_fm_metadata_columns.csv; aging_F7O_B_fm_metadata_columns.csv,OPEN_VERIFIED_OUTPUTS_STILL_FLAGGED,NO,YES,YES,YES,LINEAGE_GOVERNANCE_TASK_OR_CHARTER,Tau_FM rows remain NO_UNLESS_LINEAGE_RESOLVED until explicit lineage closure or scoped charter.
FM_convention_resolution,aging_F7O_series_open_items.csv; F7O closure summary,lineage_status REQUIRES_DATASET_PATH_AND_FM_CONVENTION_RESOLUTION on verified outputs,NO,YES,YES,YES,CONVENTION_SPEC_AND_METADATA_REFRESH,Defines observable identities and writer semantics for FM tau beyond conservative placeholders.
datasetPath_identity_and_branch_provenance,aging_F7N_candidate_input_paths.csv; aging_F7O_series_branch_matrix.csv,DUAL_VERIFIED_BRANCHES_NO_SINGLE_CANONICAL,NO,YES,YES,YES,BRANCH_POLICY_AND_OR_CANONICAL_DECLARATION,F7O verifies each branch separately; does not unify dataset identity for downstream single-stream ratios.
dipTauPath_identity_and_branch_alignment,aging_F7N_fm_run_plan.csv; aging_F7O_A/B real_output_verification.csv,BRANCH_ALIGNED_PAIRS_DOCUMENTED_RUN_SPECIFIC,NO,YES_IF_MISPAIRED,YES_IF_MISPAIRED,YES,PAIRING_DISCIPLINE_AND_RUN_MANIFEST,Must match dataset branch per F7N; wrong pairing is a lineage defect not fixed by F7O metadata closure.
failedDipClockMetricsPath_shared_archival_auxiliary_policy,aging_F7N_fm_tau_metadata_readiness.md; aging_F7O_series_branch_matrix.csv,SHARED_RESULTS_OLD_005134_FILE_BOTH_RUNS_CROSS_EPOCH_VS_DIP_TAU,NO,CONDITIONAL_STRICT_LINEAGE,CONDITIONAL_STRICT_LINEAGE,OPTIONAL_STRICT,REGENERATE_OR_DOCUMENT,Adequate for F7O metadata smoke with run_notes; strict per-branch regen remains optional open item.
need_or_not_need_per_branch_failed_dip_clock_metrics_regeneration,aging_F7O_series_open_items.csv,OPEN_OPTIONAL_STRICT_LINEAGE,NO,NO_FOR_METADATA_SMOKE,YES_IF_STRICT_AUX_REQUIRED,CONDITIONAL,CONDITIONAL_REGENERATION_RUN,Only required if governance demands auxiliary aligned to each branch dip epoch.
canonical_status_non_canonical_pending_lineage,aging_F7O_A/B_fm_metadata_columns.csv; aging_F7O_series_closure_summary.csv,non_canonical_pending_lineage ON_VERIFIED_ROWS,NO,YES,YES,YES,LINEAGE_CLOSURE_OR_SCOPED_NON_CANONICAL_USE,F7O explicitly does not promote to canonical.
model_use_allowed_NO_UNLESS_LINEAGE_RESOLVED,aging_F7O_A/B_fm_metadata_columns.csv,NO_UNLESS_LINEAGE_RESOLVED,NO,YES,YES,YES,LINEAGE_RESOLUTION_AND_COLUMN_REFRESH,Conservative encoding blocks treating tau_FM as model-authorized.
lineage_status_REQUIRES_DATASET_PATH_AND_FM_CONVENTION_RESOLUTION,aging_F7O_A/B_fm_metadata_columns.csv,REQUIRES_DATASET_PATH_AND_FM_CONVENTION_RESOLUTION,NO,YES,YES,YES,LINEAGE_AND_CONVENTION_TASK,Paired with FM_convention_resolution row.
22row_vs_30row_branch_policy_without_ranking,aging_F7O_B_vs_A_metadata_comparison.csv; aging_F7O_series_open_items.csv,NO_RANKING_COVERAGE_DIFFERS_BY_INPUT,NO,NO_BY_ITSELF,YES_IF_RATIO_MERGES_BRANCHES_WITHOUT_POLICY,NO,BRANCH_SCOPED_RATIO_OR_EXPLICIT_MERGER_RULE,Policy forbids ranking; dual branches remain unless canonical selection is later chartered (not in F7P).
R_age_clock_ratio_may_not_inherit_unresolved_tau_FM_lineage,aging_F7O_series_status.csv (F7O_SAFE_FOR_R_AGE_OR_CLOCK_RATIO=NO),RATIO_WRITER_NOT_CHARGED_LINEAGE_CLOSED,NO,N_A,YES,YES,RATIO_INPUT_MANIFEST_OR_POST_LINEAGE_RUN,F7O closed metadata verification not lineage inheritance for ratios.
legacy_default_paths_in_aging_fm_timescale_analysis,aging_F7N_fm_cfg_field_inventory.csv,DEFAULT_PATHS_BROKEN_WITHOUT_EXPLICIT_CFG,NO,YES_IF_DEFAULT_USED,YES_IF_DEFAULT_USED,YES_FOR_NAIVE_RUNS,ALWAYS_EXPLICIT_CFG_OR_CODE_DEFAULT_REPAIR,Does not block verified F7O runs that used explicit cfg; blocks careless reruns.
