pipeline_step,question,current_behavior,primary_file,primary_lines,secondary_file,secondary_lines,physical_note,confidence
raw_data_loading,How raw data is loaded,"Enumerates *.dat files, parses type/temperature/field from filename, then reads table columns timestamp/temperature/field/moment with detectImportOptions/readtable.","C:/Dev/matlab-functions/Relaxation ver3/getFileList_relaxation.m","16-73","C:/Dev/matlab-functions/Relaxation ver3/importFiles_relaxation.m","41-69","Standard ingestion; relies on filename conventions for metadata.",high
time_axis_definition,How time axis is defined,"For each trace, sort/unique timestamp and set t = tRaw - first finite timestamp; if epoch-ms or ms cadence detected then divide by 1000.","C:/Dev/matlab-functions/Relaxation ver3/importFiles_relaxation.m","85-107",,,"Deterministic and clear but tied to first recorded sample, not explicit field-off event.",high
t0_choice_data_axis,How t0 for stored time axis is chosen,"t0 is always first finite sample in each file.","C:/Dev/matlab-functions/Relaxation ver3/importFiles_relaxation.m","97-106","C:/Dev/matlab-functions/Relaxation ver3/relaxation_config_helper.m","31-38","Physical meaning depends on acquisition start; not guaranteed post field removal.",high
t0_choice_fit_window,How fit start is chosen,"Primary: start where |H| drops below threshold and remains low. Fallback: index of minimum dM/dt then use next 20% of run.","C:/Dev/matlab-functions/Relaxation ver3/pickRelaxWindow.m","47-79;84-103","C:/Dev/matlab-functions/Relaxation ver3/fitAllRelaxations.m","77-98","Field-based branch is physically motivated; derivative fallback is heuristic.",high
window_choice,How fit window is chosen,"Uses pickRelaxWindow output [t_start,t_end], then optional fractional trim via fitWindow_extraStart_percent and fitWindow_extraEnd_percent.","C:/Dev/matlab-functions/Relaxation ver3/fitAllRelaxations.m","83-112","C:/Dev/matlab-functions/Relaxation ver3/main_relaxation.m","39-40;153-155","Clear in code; fallback window length is hardcoded 20% in picker.",high
normalization_mass,How magnetization normalization is handled,"Optional mass normalization M/(mass*1e-3) when SAMPLE_MASS header was parsed and normalizeByMass is true.","C:/Dev/matlab-functions/Relaxation ver3/importFiles_relaxation.m","24-39;109-112","C:/Dev/matlab-functions/Relaxation ver3/main_relaxation.m","31;106-107","Physically meaningful (emu/g) when mass is valid.",high
normalization_units,Additional unit conversion,"Optional conversion from emu (or emu/g) to mu_B/Co using fixed stoichiometric constants.","C:/Dev/matlab-functions/Relaxation ver3/main_relaxation.m","116-126","C:/Dev/matlab-functions/Relaxation ver3/run_relaxation_canonical.m","133-143","Physically meaningful unit transform.",high
observable_log,What observable is computed in log model,"Fits M(t)=M0-S*log(t) by linear least squares on [1,-log(t)] and reports S.","C:/Dev/matlab-functions/Relaxation ver3/fitLogRelaxation.m","2;33-44;54-59","C:/Dev/matlab-functions/Relaxation ver3/fitAllRelaxations.m","224-228","S corresponds to -dM/dlog(t) only under the chosen model.",high
observable_kww,What observable is computed in KWW model,"Fits Minf + dM*exp(-(t/tau)^n) with weighted lsqcurvefit and reports Minf,dM,tau,n.","C:/Dev/matlab-functions/Relaxation ver3/fitStretchedExp.m","55;81-95;130","C:/Dev/matlab-functions/Relaxation ver3/fitRelaxationModel.m","20-43","Different observable family than log S; mixed output semantics.",high
observable_table_output,How final observable table is formed,"Per trace table stores Temp,Field,Minf,dM,M0,tau,n,R2,S,model_type,t_start,t_end; fallback no-relax sets tau=Inf,n=1,S=NaN.","C:/Dev/matlab-functions/Relaxation ver3/fitAllRelaxations.m","180-186;242-249","C:/Dev/matlab-functions/Relaxation ver3/run_relaxation_canonical.m","211-215","Schema is explicit but combines model-specific parameters with NaNs.",high
canonical_execution_path,Current canonical path,"run_relaxation_canonical uses config helper defaults, imports data, runs fitAllRelaxations with threshold and model family, and writes outputs.","C:/Dev/matlab-functions/Relaxation ver3/run_relaxation_canonical.m","74-76;110-111;163-166;195-302",,,"Operational path is clear.",high
