metadata_field,required_for,mandatory,definition,allowed_values_or_examples,source_or_derivation,missing_risk,notes
tau_domain,tau_output authoritative display,YES,Stable token for which curve family produced tau_effective_seconds,DIP_DEPTH_CURVEFIT FM_ABS_CURVEFIT (baseline closure); legacy DIP_MEMORY_CURVEFIT maps to dip row in domain_map,aging_baseline_tau_disclosure_closure_01_domain_map.csv; aging_tau_metadata_gate_01,mislabel dip vs FM in joins,R-TAU-001
tau_method,tau_output,YES,Recipe class for effective tau and diagnostics,CURVEFIT_ZOO consensus_median_log half_range_primary,F7X5 schema; builders buildConsensusTau buildEffectiveFmTau,cannot audit which rule produced headline tau,F7X5 tau_method
tau_input_object,tau_output,YES,Consolidated column driving tw-axis fit,Dip_depth; FM_abs,F7X5; aging_timescale_extraction / aging_fm_timescale_analysis,wrong branch or Track A substitution,
producer_script,tau_output,YES,MATLAB path of writer,Aging/analysis/aging_timescale_extraction.m Aging/analysis/aging_fm_timescale_analysis.m,F7X5 producer_script,rerun not defined,
source_artifact,tau_output,YES,Basename of written tau table,tau_vs_Tp.csv tau_FM_vs_Tp.csv,Scripts save_run_table paths,wrong run file paired,
source_run,tau_output lineage,YES when machine lineage required,Run id or folder token tying row to a consolidation build,same as aging_observable_dataset source_run column where applicable; run_dir name,Track B consolidation inventory,orphan row vs dataset,
lineage_status,tau_output ratio_input,YES,Completeness of dataset and linkage gate state,COMPLETE PARTIAL MISSING REQUIRES_DATASET_PATH_AND_DIP_BRANCH_RESOLUTION,F7I F7G aging_tau_metadata_gate_01,multipath and ratio eligibility unclear,
grain,tau_output,YES,Aggregation level,per_Tp_summary,F7X5 grain,reader expects wrong row grain,
units,tau_output,YES,Physical dimension of tau columns,seconds for tau_effective_seconds,F7X5 tau_units,unit error downstream,
builder_rule,tau_output,YES,Normative summary of effective builder,dip: median log10 trusted; fm: half_range primary else median log10 trusted,aging_F7X4_tau_effective_seconds_resolution.csv; code comments,two algorithms confused under same column name,B-003 core
trusted_component_tau_fields,tau_output when multi-component,YES when consensus path,tau_logistic_half_seconds tau_stretched_half_seconds tau_half_range_seconds etc as present,Output table columns from extraction scripts,cannot verify spread or exclusions,
consensus_methods,tau_output,YES,Disclosure of which methods fed effective,tau_consensus_methods text or half_range_primary semantic,F7X4 resolved companion; tau_consensus_methods column,singleton tau_effective_seconds without method list,
pairing_key,tau_output ratio planning,YES for ratio lane,Stable merge key for paired tau tables,Tp required,F7X5 ratio_inputs aging_clock_ratio_analysis,undefined ratio at misaligned Tp,
source_dataset_id,tau_output consolidation trace,YES when comparing runs,Identifier tying tau row to a specific aging_observable_dataset build,hash or path stamp optional; source_run column minimum,aging_observable_dataset.csv,cross-run substitution,
grid_disclosure,tau_output interpretation,YES when Tp grid asymmetric,Statement of tw ladder completeness including tw=3 gaps,PARTIAL_GRID Tp 30/34 missing tw=3 per aging_dip_fm_tw_inventory_01,inventory report,symmetric short-time claims without caveat,
sign_or_magnitude_disclosure,tau_output Dip/FM,YES,Dip_depth signed cells vs FM_abs ABS_ONLY,Dip_depth sign at flagged cells; FM_abs ABS_ONLY,F7X5 sign_policy; dip inventory,misread FM as signed behavior,
