claim_id,claim_text,supported,support_level,required_caveat,forbidden_extension,manuscript_safe,notes
C01,"On the strict n=15 AX ladder invD_chosen is a stronger empirical predictor of the primary A targets than Xeff_chosen under the audited LOOCV / log-log metrics.",YES,STRONG_EMPIRICAL_MULTIPLE_AUDITS,n15_diagnostic_not_confirmatory,"invD is uniquely correct physics; Xeff is wrong",YES_WITH_CAVEATS,AX_17B judgement; AX_18C coord rows; AX_19A ranks.
C02,"invD_power (empirical log-log template in AX-18C) achieves lower LOOCV_RMSE in A space than T_linear for both targets.",YES,STRONG_PER_AX18CD,Alpha descriptive only; endpoint stability not recorded,"Universal power law in invD",YES_WITH_CAVEATS,AX_18D inventory invD_power rows.
C03,"T_power and Xeff_power single-term templates do not beat T_linear on the same AX-18C scoring rule.",YES,STRONG_PER_AX18D,Template class specific,"Therefore Xeff or T never matter",YES_WITH_CAVEATS,Does not exclude linear-in-Xeff models (different class).
C04,"Physical scaling law or mechanism for A(invD) is established.",NO,NONE,EMPIRICAL_ONLY,"Established scaling law; proves mechanism",NO,AX_18C/18D flags.
C05,"invD replaces X_eff as the dimensionless paper variable without qualification.",NO,NONE,X_eff remains canonical ratio label per P0,"invD supersedes X_eff identity",NO,AX_18B SAFE_TO_SAY_INVD_REPLACES_XEFF = NO; AX_19A guidance.
C06,"X_eff explains high-T turnover / peak alignment better than invD on audited shape metrics.",NO,NONE,invD aligns peak with A ~29 K vs Xeff ~25 K offset,"X_eff unique turnover physics",NO,AX_18B shape judgement and status.
C07,"After linear control for best T proxy (T_relax_raw) log(invD) still improves log(A) LOOCV vs T alone; log(Xeff) does not on AX-19A partial table.",YES,MODERATE_SINGLE_AUDIT_CLASS,n15; two-predictor instability,"No residual structure remains",YES_WITH_CAVEATS,AX_19A partial_T_control.csv binary flags.
C08,"Temperature retains incremental information beyond invD (best T adds beyond invD in AX-18C; best_T_improves_beyond_invD in AX-19A).",YES,STRONG_EMPIRICAL,Strong collinearity with invD,"T is independent of invD",YES_WITH_CAVEATS,Do not overstate independence.
C09,"Empirical invD_power exponents are approximately 0.56 for both targets (0.562460847 and 0.558279495).",YES,NUMERIC_FROM_AX18D_TABLE,n15; not a material constant,"Exponent is universal constant",YES_WITH_CAVEATS,AX_18D status reproduces decimals.
C10,"All simple scaling laws are ruled out.",NO,NONE,Too broad; invD_power beats T_linear,"Everything ruled out",NO,AX_18D ALL_SIMPLE_SCALING_LAWS_RULED_OUT = NO.
C11,"No tested candidate establishes a physical scaling law.",YES,STRONG_PER_AX18D,Tested set bounded,"No scaling discussion allowed",YES_WITH_CAVEATS,Preferred narrow closure phrase.
