family_id,representative_scripts,representative_tables,representative_reports,status_verdicts,what_found,safe_claims,unsafe_claims,next_task,missing_expected_paths
CANONICAL_FOUNDATION,Switching/analysis/run_switching_canonical.m; Switching/analysis/run_switching_PT_consistency_audit.m; Switching/analysis/run_switching_decomposition_foundation_audit.m,tables/switching_main_narrative_namespace_decision.csv; tables/switching_allowed_evidence_by_use_case.csv; durable promoted CSVs from canonical run,docs/decisions/switching_main_narrative_namespace_decision.md; docs/switching_analysis_map.md,COMPLETE documentation contract; producer run-dependent for promoted tables,Explicit namespace decision: manuscript backbone = CORRECTED_CANONICAL_OLD_ANALYSIS; CANON_GEN_SOURCE for S; PT/CDF diagnostic separated.,Namespace-qualified citations for S provenance and corrected-old narrative scope.,Equating CANON_GEN PT/CDF with manuscript backbone; bare canonical backbone language.,Maintain promoted canonical tables + run identity sidecars.,
CANONICAL_MAP_SPINE,scripts/run_switching_canonical_map_spine.ps1,tables/switching_canonical_identity.csv; correlation spine outputs as run,reports/switching_corrected_canonical_current_state.md (if present); spine header CURRENT_STATE_ENTRYPOINT,COMPLETE script inventory; SAFE_TO_COMPARE_TO_RELAXATION NO in spine verdict pattern,Spine correlates canonical S_long columns with declared namespaces; no scaling physics.,Column-level safe use for map spine diagnostics per script header warnings.,Treating spine output as corrected-old backbone evidence.,Keep CURRENT_STATE report aligned with spine entrypoint when regenerated.,
GEOCANON_RIDGE,Switching/analysis/run_switching_geocanon_descriptor_audit.m; Switching/analysis/run_switching_geocanon_partial_status_diagnosis.m; Switching/analysis/run_switching_geocanon_T1_weighted_ridge_lock.m,tables/switching_geocanon_descriptor_*.csv; tables/switching_geocanon_T1_weighted_ridge_status.csv; tables/switching_geocanon_partial_status_diagnosis.csv,reports/switching_geocanon_descriptor_audit.md; reports/switching_geocanon_partial_status_diagnosis.md; reports/switching_geocanon_T1_weighted_ridge_lock.md,PARTIAL descriptors; T1 ridge lock YES; interpretation NO; Relaxation compare NO,Multiple ridge-center variants diagnosed; weighted primary locked; geocanon interpretation still blocked at T1.,T1 weighted ridge primary lock; comparator variants diagnostic-only per status.,Universal geocanon interpretation or Relaxation comparison.,Complete T2 width-frame durable index + interpretation gate review.,
GEOCANON_WIDTH_FRAME,T2 width-frame consumers per T1 status (follow-on gates; not separately indexed here),N/A_pending_T2_promotion,Blocked until T2 frame artifacts indexed,OPEN gate-driven,Proceed flag exists to T2 in T1 status; dedicated durable width-frame index still thin in this audit.,N/A,Premature width-frame physical closure without T2 artifacts.,Produce/refresh T2 durable tables under explicit namespace.,
COORDINATE_IDENTIFIABILITY,Switching/analysis/run_switching_coordinate_identifiability_audit.ps1,tables/switching_coordinate_identifiability_status.csv; tables/switching_coordinate_identifiability_*_inventory.csv,reports/switching_coordinate_identifiability_audit.md (when produced),PARTIAL SAFE_TO_TEST_SCALING_COORDINATES YES (audit) vs NO (map spine) — resolve before scaling claims,Coordinate screening vs identifiability audits exist; scaling-coordinate readiness is gate-dependent.,Finite-coordinate identifiability checks where audit completed successfully.,Ignoring divergent SAFE_TO_TEST_SCALING_COORDINATES verdicts across gates.,Publish reconciliation note when scaling-coordinate readiness conflicts across gates.,
COLLAPSE_COORDINATES,Switching/analysis/run_switching_phase4B_C01_X_like_panel_orientation_lock.m; run_switching_phase4B_C02_collapse_like_panel_range_lock.m; run_switching_phase4B_C02B_primary_collapse_variant_audit.m,tables/switching_phase4B_C02B_*.csv; tables/switching_phase4B_C02B_status.csv,reports/switching_phase4B_C02B_primary_collapse_variant_audit.md; reports/switching_phase4B_C02B_review.md,COMPLETE Phase4B C02B slice per review; QA not physics interpretation,Primary collapse variants catalogued; defects/residuals QA; SAFE_TO_INTERPRET_PHYSICS NO.,Collapse variant QA parity vs references; registry semantic boundaries.,Physics interpretation of C02B QA panels (flagged NO).,Promote only after slice gates; keep QA vs physics separation.,
CORRECTED_OLD_REPLAY_OR_NARRATIVE,Switching/analysis/run_switching_corrected_old_authoritative_builder.m; docs/switching_analysis_map.md (CORRECTED_CANONICAL_OLD_ANALYSIS),tables/switching_corrected_old_authoritative_artifact_index.csv; tables/switching_phi1_terminology_registry.csv,docs/switching_phi1_terminology_contract.md; docs/switching_pre_replay_contract_reset.md,COMPLETE governance separation; replay artifacts run-scoped,Phi1 terminology registry + authoritative artifact index constrain manuscript vs diagnostic filenames.,Manuscript Phi1 uses corrected-old authoritative paths per registry.,Equating switching_canonical_phi1.csv filename with manuscript Phi1.,Refresh authoritative index when new replay runs promoted.,
LEGACY_ONLY,Switching/analysis/switching_full_scaling_collapse.m; analysis/switching_barrier_distribution_from_map.m (OLD_* namespaces),Legacy alignment-era outputs under results_old/tables_old as applicable,Namespace sections in docs/switching_analysis_map.md,REFERENCE_ONLY unless replayed under CORRECTED_CANONICAL_OLD_ANALYSIS,Historical OLD_* pipelines documented; must not be called canonical backbone without namespace.,Legacy pipelines reproducible under explicit OLD_* labels.,Calling OLD_* outputs current manuscript evidence without replay.,Keep replay scripts labeled; no silent promotion.,
DIAGNOSTIC_ONLY,CANON_GEN PT/CDF columns per EXPERIMENTAL_PTCDF_DIAGNOSTIC contract,switching_canonical_S_long PT_pdf/CDF_pt columns governed as diagnostic,Contract text isolating EXPERIMENTAL_PTCDF_DIAGNOSTIC,ALLOWED diagnostics only for backbone narrative,PT/CDF from CANON_GEN not selected as main backbone under narrative decision.,PT/CDF usable as labeled diagnostic experiments.,Promoting diagnostic PT/CDF to main narrative.,Keep diagnostic figures supplementary.,
SUPERSEDED_OR_UNSAFE,tables/switching_stale_governance_supersession.csv (stale rows),reports/switching_stale_governance_supersession.md,reports/switching_stale_governance_supersession.md,Use supersession table before citing stale governance rows,Stale governance rows flagged; follow supersession CSV.,Prefer current rows in supersession-indexed artifacts.,Citing superseded governance without checking supersession.,Resolve Phase5A bundle before Phase5B atomic staging.,
