quantity_type,metadata_field,required,plain_language_reason,example,failure_mode_if_missing,basis,notes
decomposition component,entity_kind,YES,Tells user decomposition vs downstream layer,object,"Wrong dataset layer assumptions",F7X5 schema entity_kind,
decomposition component,stage_or_route,YES,Identifies stage4 mode vs later stages,stage4_direct_family,"Ambiguous FM or dip identity",F7X5 stage_or_route,
decomposition component,object_name,YES,Which column or pauseRuns field,Dip_depth,"Cannot join to rules inventory",F7X5 object_name,
decomposition component,producer_script,YES,Reproducibility anchor,Aging/pipeline/stage4_analyzeAFM_FM.m,"Cannot audit lineage",F7X5 producer_script,
decomposition component,sign_policy,CONDITIONAL,FM family magnitude vs signed,SIGNED_ONLY vs ABS_ONLY,"FM_abs mistaken for signed FM",F7X5 sign_policy,
processed observable,stage_or_route,YES,Distinguishes stage5 interface vs stage6 summary,stage5_fit_interface,"Fit vs summary confusion",F7X5 contract_scope_matrix,
processed observable,fit_dependency,CONDITIONAL,Marks PARTIAL callee risk,PARTIAL,"Over-claim closed-form fit kernel",F7X5 R-FIT-002,
processed observable,producer_script,YES,Which stage wrote the field,stage5_fitFMGaussian.m,"Cannot trace provenance",F7X5 producer_script,
bridge component,bridge_row_id,YES,Stable bridge identifier,C_FM_ABS_B,"Cannot pair streams safely",F7X5 R-BRI-001,
bridge component,branch_family,YES,Which consolidation or track family,TRACK_B_CONSOLIDATION,"Wrong pairing semantics",F7X6 PN-007,
bridge component,allowed_use,YES,Must read bridge_only,bridge_only,"Physics substitution error",F7X5 bridge scope row,
bridge component,sign_policy,CONDITIONAL,FM abs bridge ABS semantics,ABS_ONLY,"Sign policy mismatch",F7X5 forbidden terms FM_abs bridge,
tau output,tau_domain,YES,Which curve family extracted,DIP_CURVEFIT,"Compare incompatible tau summaries",F7X5 R-TAU-001,
tau output,tau_method,YES,Which recipe consensus vs half range,CURVEFIT_ZOO,"Wrong uncertainty mental model",F7X5 tau_method,
tau output,tau_input_object,YES,Which observable fed the curve,Dip_depth,"Wrong branch tau extracted",F7X5 tau_input_object,
tau output,producer_script,YES,Which writer built row,aging_timescale_extraction.m,"Cannot reproduce",F7X5 producer_script,
tau output,grain,YES,Per curve vs per T summary,per_curve,"Tau reader mismatch",F7X5 grain,
tau output,lineage_status,YES,Whether pairing inputs complete,COMPLETE vs PARTIAL,"Hidden lineage gaps",F7X5 lineage_status,
tau output,tau_consensus_methods,CONDITIONAL,Disclosure for tau_effective_seconds legacy,half_range_vs_consensus_string,"tau_effective_seconds misread",F7X5 R-TAU-002 B-003,
ratio output,ratio_inputs,YES,Which tau artifacts columns fed ratio,tau_FM_seconds tau_dip_seconds,"Ratio interpreted as raw measurement",F7X5 ratio_inputs,
ratio output,downstream_status,YES,Marks combinator not decomposition,COMBINATOR,"Wrong error propagation instinct",F7X5 downstream_status,
ratio output,lineage_status,YES,Paired tau files lineage gate,COMPLETE,"Invalid comparative claim",F7T pairing narrative,
diagnostic object,producer_script,YES,Audit script identity,run_aging_F3b_FM_signed_short_tw_rescue.m,"Diagnostic mistaken for production contract",F7X7 guide diagnostics,
diagnostic object,allowed_use,YES,Marks diagnostic_only when applicable,diagnostic_only,"Feature used outside audit scope",F7X6 excluded routes diagnostic,
Track A / B reference,paired_object_list,YES,Concrete objects not lane alone,AFM_like FM_like,"Lane mistaken for quantity",F7X5 R-TRK-001,
Track A / B reference,stage_or_route,YES,Stage for summaries vs consolidation,stage6_Track_A vs Track_B reader,"Wrong substitution story",F7X5 scope matrix Track rows,
