rule_id,detection_pattern_or_condition,default_severity,promotes_to_hard_fail_when,linter_message,remediation_hint,maps_to_forbidden_term,materialized_from
SW_LINT_001,bare word canonical without namespace_id column_class or path,WARN,authority_claim_publication_or_registry_write,bare_canonical_ambiguous,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,bare canonical / canonical without qualifier,taxonomy plus forbidden_terms
SW_LINT_002,bare old or old analysis without LEGACY_OLD_TEMPLATE or replay scope,WARN,manuscript_claim_using_legacy_only,old_analysis_ambiguous,Declare LEGACY_OLD_TEMPLATE vs CORRECTED_CANONICAL_OLD_ANALYSIS vs replay runner id,old analysis,forbidden_terms
SW_LINT_003,bare corrected-old prose without artifact index row,WARN,authority_table_write_or_manuscript_cite,corrected_old_shorthand_unqualified,Use CORRECTED_CANONICAL_OLD_ANALYSIS namespace_id plus authoritative index row,corrected-old,forbidden_terms
SW_LINT_004,phrase canonical backbone,WARN,manuscript_backbone_claim_without_CORRECTED_id,canonical_backbone_collision,Expand backbone_object plus namespace_id SPEAK_cdf vs EXPERIMENTAL vs CORRECTED PT,canonical backbone,forbidden_terms
SW_LINT_005,phrase canonical Phi or canonical kappa without file path,WARN,corrected_old_phi_substitution,canonical_phi_kappa_collision,Cite switching_canonical_phi1.csv vs switching_corrected_old_authoritative_phi1.csv explicitly,canonical Phi / canonical kappa,forbidden_terms
SW_LINT_006,phrase canonical residual without S_minus_formula,residual_map_authority_claim,canonical_residual_collision,State residual equals S minus WHICH backbone plus namespace_id,canonical residual,forbidden_terms
SW_LINT_007,phrase paper figures or paper-facing without tier flag,WARN,staged_as_submission_ready,paper_figures_readiness_implied,Tag staged_figure_candidate vs manuscript_locked tier,paper figures,forbidden_terms
SW_LINT_008,token X_canon or collapse_canon or Phi_canon or kappa_canon,HARD_FAIL_ON_WRITE_TO_PUBLISH_PATH,attempt_publish_or_registry_promotion,artifact_policy_forbidden_alias_stem,Replace with X_eff gauge id or overlay diagnostic naming per policy,X_canon collapse_canon Phi_canon kappa_canon,artifact_policy plus forbidden_terms
SW_LINT_009,PTCDF or P_T_CDF shorthand as CORRECTED backbone,WARN,always_escalate_if_manuscript_backbone,ptcdf_as_corrected_authority,S_tag EXPERIMENTAL_PTCDF_DIAGNOSTIC never CORRECTED backbone without bridge,PTCDF as corrected-old authority,forbidden_terms
SW_LINT_010,geocanon treated as residual backbone equivalence,WARN,manuscript_residual_claim_using_descriptor_only,geocanon_residual_canon_confusion,Separate GEOCANON_DESCRIPTOR from OLD_RESIDUAL_DECOMP backbone claims,geocanon as residual canon,forbidden_terms
SW_LINT_011,mixed producer artifact row without source_column_class,WARN,promotion_to_manuscript_or_registry_authority,missing_column_class_on_mixed_file,Require source_column_class for switching_canonical_S_long.csv,mixed producer rows,materialization objective 4
SW_LINT_012,classification status stale NO row cited as current existence without supersession,WARN,existence_or_build_block_claim,stale_row_without_supersession,Read CURRENT_* rows and switching_stale_governance_supersession,stale status rows,materialization objective 4
SW_LINT_013,switching_canonical_S_long.csv referenced as single semantic family,WARN,registry_row_collapses_columns,s_long_requires_split_registry_rows,Emit REG001 style split rows per column family,mixed producer discipline,taxonomy CANON_GEN_MIXED_PRODUCER
SW_LINT_014,replay script output promoted to CANON_GEN_SOURCE without frozen_run_anchor,WARN,registry_authoritative_mark,replay_promoted_to_canonical_source,Tag replay_safe_flag YES only per allowed_use_matrix,replay promotion,materialization rules
SW_LINT_015,final canonical wording,HIGH_WARN,public_figure_or_title,final_canonical_absolute_tone,Use frozen registered artifact row language per taxonomy,final canonical,forbidden_terms
SW_LINT_016,CANON_GEN umbrella grep hit without SOURCE vs EXPERIMENTAL split,WARN,documentation_or_contract_authoring,cangen_umbrella_without_split,Prefer CANON_GEN_SOURCE vs EXPERIMENTAL explicit,CANON_GEN umbrella,synthesis guidance
SW_LINT_017,diagnostic_quarantine_flag NO while claiming EXPERIMENTAL backbone in prose,WARN,manuscript_paragraph_emits_backbone_language,quarantine_flag_mismatch_family,Set diagnostic_quarantine_flag YES for PT/CDF diagnostic scripts,PTCDF quarantine,policy
SW_LINT_018,cross-module readiness inferred from Switching artifact alone,WARN,cross_repo_claim,cross_module_comparison_blocked,Declare boundary per switching_pre_replay_contract_reset principle 3,cross-module gate,user objective 2 matrix
SW_LINT_019,attempt_authoritative_write_without_registry_row_and_builder_gate,HARD_FAIL_ON_TOOLING,CI_gate_or_explicit_authority_pipeline,unsafe_authority_promotion,Require artifact index row plus builder_status match,HARD_FAIL_RESERVED,materialization status
