field_name,required,field_type,allowed_values_or_source,description,example_value,validation_rule,notes
artifact_path,YES,string,repo-relative POSIX path under workspace root,Canonical path to the artifact file this sidecar describes.,tables/switching_semantic_materialized_artifact_registry.csv,Must exist at validation time if replay_safe or canonical_safe is asserted; relative path only.,Join with workspace root; reject absolute paths outside repo.
artifact_type,YES,string,registry artifact_type column or controlled vocabulary from switching_semantic_materialized_artifact_registry,Taxonomic kind of artifact (table|report|figure|script_ref|status|other).,table,Must match registry row when linked by script+column class.,
semantic_family_id,YES,string,tables/switching_semantic_taxonomy.csv semantic_family_id,Phase 1.5D family identifier governing semantics and allowed use.,CANON_GEN_SOURCE,Must exist in taxonomy; WARN if unknown.,
recommended_alias,NO,string,tables/switching_semantic_alias_map.csv,Human-readable alias for logs/UI; not rename execution.,S_percent_canonical,Optional; validate against alias_map when present.,
namespace_id,YES,string,tables/switching_pre_replay_namespace_contract.csv or synthesis namespace hints,Governance namespace for writer/lint scoping.,SW_CANON_NAMESPACE,Must align with writer contract for producer role.,
parent_namespace,NO,string,namespace hierarchy from taxonomy/synthesis,Optional parent for inheritance checks.,SW_ROOT,Optional hierarchical provenance.,
source_artifact,NO,string,path or logical ref,Upstream artifact this output derived from.,results/run123/switching_canonical_S_long.csv,Chain lineage for corrected-old replay.,
source_commit_or_run,NO,string,git SHA or opaque run id,Commit or run identifier when artifact was produced.,e5e55d7,Prefer git SHA for reproducibility.,
source_script,NO,string,MATLAB or script path,Primary producer script if applicable.,Switching/run_switching_canonical.m,Cross-check vs registry producer_script.,
source_column_class,NO,string,::column/NAME or NONE,Column-level split for mixed producers.,::column/S_percent,Required when registry marks mixed producer.,
claim_level,YES,string,diagnostic|exploratory|comparative|canonical_candidate|authoritative|forbidden_evidence,Semantic strength of claims allowed from this artifact.,diagnostic,Cross-check switching_semantic_allowed_use_matrix.,
allowed_use,YES,string,comma-separated or JSON list from allowed-use codes,Machine-readable allowed uses for this row.,diagnostics;viz,Must be subset of matrix for semantic_family_id.,
forbidden_use,YES,string,comma-separated or JSON list,Explicit forbidden uses (mirror matrix NO).,corrected_old_authority,HARD_FAIL if contradicted for promotion paths.,
diagnostic_quarantine_flag,YES,boolean,true|false,True if artifact is quarantined for diagnostics only.,true,Align EXPERIMENTAL_PTCDF_QUARANTINE and similar.,
manuscript_safe_flag,YES,boolean,true|false,Safe to cite in manuscript figures/tables without extra caveats.,false,WARN if true while quarantine true.,
replay_safe_flag,YES,boolean,true|false,Safe inputs for automated replay harness.,false,Phase 4 gate: canonical replay requires consistency.,
canonical_safe_flag,YES,boolean,true|false,May feed canonical or authoritative outputs.,false,HARD_FAIL on unsafe promotion if true when matrix forbids.,
stale_or_current_status,YES,string,current|stale|superseded|unknown,Lifecycle vs governance docs.,current,WARN if stale without supersession_reference.,
supersession_reference,NO,string,report path or registry key,Pointer to replacement lineage when superseded.,reports/switching_stale_governance_supersession.md,Required when status is superseded.,
lineage_id,NO,string,opaque UUID or repo lineage key,Correlates multi-file lineage bundles.,lin_sw_2026_001,Optional bundle correlation.,
run_id,NO,string,matches run manifest run_id,Run that created this artifact.,run_20260429_01,Join key to manifest.,
created_by_script,NO,string,script path,Writer or runner that emitted sidecar.,scripts/run_phase25_audit.m,Provenance for audits.,
created_at_utc,YES,string,ISO-8601 UTC,Sidecar creation timestamp.,2026-04-29T12:00:00Z,Parse as UTC; WARN on skew vs manifest.,
source_hash_or_fingerprint,NO,string,sha256:... or short hash,Content or logical fingerprint of primary source.,sha256:ab12cd34,Detect drift vs inputs.,
input_artifact_hashes,NO,string,JSON map path to hash,Hashes of inputs for reproducibility.,{input.csv:sha256:...},Optional reproducibility bundle.,
output_artifact_hash,NO,string,sha256:...,Hash of the described output file.,sha256:cd34ef56,Should match file on disk when enforced.,
validation_status,YES,string,not_run|pass|warn|fail,Contract validation result for this sidecar.,not_run,Phase 3 populates; WARN-first.,
lint_status,YES,string,not_run|pass|warn|fail,Lint pass/fail from switching_semantic_lint_rules.,not_run,HARD_FAIL only for unsafe promotion per SW_LINT_019 class.,
notes,NO,string,free text,Human caveats and audit notes.,Mixed producer; PT columns quarantined.,Optional documentation.
