component_id,component_name,actually_used,reachable_only,technical_role,scientific_role,part_of_canonical_definition,legacy_harmless,noncanonical_risk,confidence,decisive_classification,notes
C01,Switching/analysis/run_switching_canonical.m,YES,NO,orchestrates single Switching canonical run,"defines Smap grid PT row Scdf SVD phi1 kappa1 Sfull and validation gates",YES,NO,NO,HIGH,CANONICAL,"Normative Switching canonical analysis script"
C02,repoRoot switchingDir legacyRoot resolution (mfilename),YES,NO,path constants for addpath and fileread,,YES,NO,NO,HIGH,CANONICAL,""
C03,restoredefaultpath,YES,NO,reset MATLAB path before controlled addpath,,YES,NO,NO,HIGH,CANONICAL,"Execution hygiene in script"
C04,addpath Aging/utils + createRunContext.m,YES,NO,"allocates run_dir manifest paths run identity",none for Aging science,NO,YES,NO,HIGH,LEGACY_HARMLESS,"Location under Aging/utils is technical substrate only; strict which() pins file"
C05,addpath General ver2,YES,NO,"optional discovery of resolve_preset select_preset",optional normalize_to drift on raw metric,YES,YES,YES,MEDIUM,LEGACY_HARMLESS,"Scientific touch only if preset fns exist; else inert"
C06,addpath Switching/utils,YES,YES,"on path; no direct calls in run_switching_canonical.m",possible transitive use by legacy calls,YES,YES,NO,MEDIUM,LEGACY_HARMLESS,"Reachable; not directly invoked in canonical script text"
C07,addpath Switching ver12 root main parsing utils,YES,NO,"resolve legacy .m for ingest helpers",n/a until call,YES,NO,NO,HIGH,CANONICAL_SUBSTRATE,"Required for calls listed in C12-C16"
C08,addpath Switching ver12/plots,YES,YES,"plotting toolboxes on path",none in this script,NO,YES,NO,HIGH,LEGACY_HARMLESS,"Reachable only; no figure/plot in run_switching_canonical.m"
C09,Switching ver12/main/Switching_main.m (fileread+regexp),YES,NO,"extract parentDir string",indirectly fixes which raw experiment is ingested,YES,NO,YES,HIGH,NONCANONICAL_RISK,"Machine-specific absolute path inside file; environment coupling"
C10,External raw directory parentDir Temp Dep* subfolders,YES,NO,"filesystem enumeration",source data for measured P2P_percent,YES,NO,YES,HIGH,CANONICAL,"Scientific input; risk is accessibility not definition"
C11,Raw .dat files under Temp Dep*,YES,NO,read via legacy pipeline,empirical input to S,YES,NO,NO,HIGH,CANONICAL,""
C12,getFileListSwitching,YES,NO,file list ordering,"feeds processFilesSwitching",YES,YES,NO,HIGH,LEGACY_HARMLESS,"Legacy engine; load-bearing"
