semantic_family_id,recommended_alias,plain_english_meaning,parent_namespace,source_inputs,output_objects,allowed_use,forbidden_use,claim_level,manuscript_safe,replay_safe,canonical_safe,required_namespace_fields,required_lineage_fields,evidence_paths,notes
CANON_GEN_SOURCE,Measured_S_CANON_GEN_LAYER,"Authoritative measured switching surface S_percent and cited identity observables from the canonical producer run; column-family semantics not whole-file umbrella.",CANON_GEN,"Raw Temp Dep inputs via producer pipeline; run-scoped switching_canonical_S_long.csv S_percent T_K current_mA columns","Per-run switching_canonical_S_long.csv (S columns); switching_canonical_observables.csv validated columns","Cite S_percent and validated observables as measured source layer per switching_analysis_map","Treat PT_pdf CDF_pt S_model_pt_percent residual_percent or diag phi as CANON_GEN_SOURCE authority",SOURCE_LAYER_FOR_S_PERCENT,HIGH for S_percent pathway,NO for PT columns,YES for S_percent column claims only,"namespace_id=CANON_GEN_SOURCE; column_class per reports/switching_canonical_S_long_column_namespace.md","run_id; artifact paths; column-level tag per cell claim","docs/switching_analysis_map.md; tables/switching_analysis_namespace_clean_map.csv; reports/switching_canonical_S_long_column_namespace.md","Always column-selective; never bare canonical without column class."
EXPERIMENTAL_PTCDF_DIAGNOSTIC,PTCDF_Rowwise_Diagnostic_Layer,"Quasi-CDF PT_pdf CDF_pt S_model_pt_percent and related diagnostic-mode columns from the same producer file; not corrected-old manuscript backbone.",CANON_GEN,"switching_canonical_S_long.csv PT/CDF columns from mixed producer","Same CSV columns; diagnostic figures overlay pipelines","Diagnostics audits supplements parity experiments labeled EXPERIMENTAL","Manuscript primary backbone or CORRECTED_CANONICAL_OLD_ANALYSIS backbone substitution",DIAGNOSTIC_QUARANTINED,NO,NO,NO,"namespace_id=EXPERIMENTAL_PTCDF_DIAGNOSTIC; relation_to_dS_dI","run_id; producer script id; figure_vs_physics flag","docs/switching_analysis_map.md; tables/switching_allowed_evidence_by_use_case.csv","Does not relax PT/CDF quarantine vs corrected-old authority."
CANON_GEN_MIXED_PRODUCER,CanonGen_Mixed_Output_Entrypoint,"Single MATLAB producer run_switching_canonical.m emitting CANON_GEN_SOURCE plus EXPERIMENTAL_PTCDF_DIAGNOSTIC plus mode-analysis outputs; registry must split by column/object.",CANON_GEN,"Raw experimental folders; Switching ver12 processFilesSwitching","switching_canonical_S_long.csv mixed columns; observables; phi/kappa diagnostic files per script","Run producer for measured S; emit split views via column namespace report","Refer to run as undifferentiated canonical manuscript bundle or single backbone formula",PRODUCER_MULTI_FAMILY,YES only when citing S_percent with column tags,NO,NO,"MIXED_OUTPUT_RUN; per-output namespace_id on every derivative claim","run_id; switching_canonical_S_long_column_namespace pointer","Switching/analysis/run_switching_canonical.m; tables/switching_semantic_family_discovery_core_analysis.csv row 1","Not one semantic family for outputs; Phase 2 registry rows must be object/column granular."
OLD_RESIDUAL_DECOMP,Legacy_ThresholdCentered_Decomp,"Legacy triple-source backbone Speak times cdf row plus deltaS on map; residual SVD on x equals I minus Ipeak over width; switching_residual_decomposition_analysis.",LEGACY_OLD_TEMPLATE,"alignment_core.mat; full_scaling parameters; PT_matrix optional","phi_shape kappa_vs_T residual_decomposition_* legacy outputs","Legacy reproduction comparisons labeled OLD_RESIDUAL_DECOMP","Bare canonical Phi/kappa claims; equate output to CORRECTED authoritative CSVs",LEGACY_DECOMP_TEMPLATE,NO,NO,NO,"namespace_id=OLD_RESIDUAL_DECOMP; backbone_object formula; svd_input=S_minus_WHAT","legacy run ids; cdf pathway flag PT vs fallback","Switching/analysis/switching_residual_decomposition_analysis.m; docs/switching_analysis_map.md","Canonical in prose inside file often means analysis window not governance CANON_GEN."
CORRECTED_OLD_AUTH_BUILDER,Gated_PT_Backbone_Builder,"Authoritative corrected-old backbone residual Phi1 kappa1 tables when gates pass; clean CANON_GEN_SOURCE source view plus legacy PT-only matrix.",CORRECTED_CANONICAL_OLD_ANALYSIS,"switching_canonical_source_view.csv; locked observables; PT_matrix provenance; gate CSVs","switching_corrected_old_authoritative_*.csv tables; builder_status","Rebuild authoritative package after readiness checks","Use before SAFE gates; mix unsplit S_long PT columns into inputs",AUTHORITATIVE_WHEN_BUILDER_SAFE,YES when index + gates approve,NO,NO,"namespace_id=CORRECTED_CANONICAL_OLD_ANALYSIS; artifact_role per index","builder_status; artifact index rows; run lineage","Switching/analysis/run_switching_corrected_old_authoritative_builder.m; tables/switching_corrected_old_authoritative_artifact_index.csv","Distinct vehicle from OLD_RESIDUAL_DECOMP template."
CORRECTED_CANONICAL_OLD_ANALYSIS,Narrative_Manuscript_Old_Analysis_Package,"Governance namespace for manuscript Phi-kappa-collapse under B09 using CANON_GEN_SOURCE S provenance and gated corrected-old tables—not PT/CDF diagnostic columns.",CORRECTED_CANONICAL_OLD_ANALYSIS,"Authoritative CSV package; CANON_GEN_SOURCE citations","Published-facing tables figures when gated","Manuscript narrative when artifact index rows exist","PT/CDF diagnostic as this backbone without EXPERIMENTAL id",MANUSCRIPT_UNDER_BOUNDARIES_WHEN_GATED,YES with index gates,NO,NO,"namespace_id; backbone_object; manuscript_safe flags per claim","artifact index; builder_status; supersession CURRENT_* rows","docs/decisions/switching_main_narrative_namespace_decision.md; reports/switching_stale_governance_supersession.md","Supersed stale classification NO rows via CURRENT_* interpretation."
PHI2_KAPPA2_HYBRID,LegacyResidual_SecondMode_Hybrid,"Second global SVD on legacy residual map after stage-one OLD_RESIDUAL_DECOMP; filename canonical is misleading.",DIAGNOSTIC_FORENSIC / LEGACY_CHAIN,"Stage-one legacy outputs; run_phi2 script chain","phi2_kappa2_* tables reports flagged MISLEADING in registry","Internal anatomy diagnostics with PHI2_KAPPA2_HYBRID label","Authoritative phi2 kappa2 manuscript substitution",INTERNAL_DIAGNOSTIC,NO,NO,NO,"namespace_id=PHI2_KAPPA2_HYBRID; first_stage=OLD_RESIDUAL_DECOMP","legacy run ids; stage linkage","Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m; tables/switching_pre_replay_registry_contract.csv REG004","Rename later recommended; header denies corrected-old authority."
REPLAY_PHI1_KAPPA1,FrozenSLong_Experimental_PhiKappa_Replay,"Replay on frozen switching_canonical_S_long reading aggregated S_model_pt_percent as backbone; B03-style diagnostic.",REPLAY / EXPERIMENTAL,"Frozen S_long observables mode amplitudes","Run-scoped replay tables status experimental figures","Experiments on frozen CANON_GEN tables with EXPERIMENTAL backbone column","Present as redefining authoritative corrected-old Phi1",DIAGNOSTIC_REPLAY,NO,NO,NO,"namespace_id=REPLAY_PHI1_KAPPA1; backbone read column class","frozen run_id","Switching/analysis/run_switching_phi1_kappa1_experimental_replay.m","Scdf from S_model_pt_percent column inherits EXPERIMENTAL semantics."
GEOCANON_DESCRIPTOR,RidgeGeometry_Descriptor_Audit,"Ridge tangent normal geometric summaries from S map; not subtractive CDF backbone physics.",DIAGNOSTIC_FORENSIC,"switching_canonical_S_long optional observables","geocanon descriptor CSVs audit reports","Atlas B12 descriptor inventories","Import as residual backbone equivalence",DIAGNOSTIC_DESCRIPTOR_B12,NO,NO,NO,"DIAGNOSTIC_FORENSIC; descriptor_scope","audit_class; script fingerprint","Switching/analysis/run_switching_geocanon_descriptor_audit.m; docs/switching_artifact_policy.md","Do not merge with canonical_residual_decomposition artifact policy umbrella without mapping."
CANON_S_LONG_VISUAL_REPLAY,PinnedRun_SLong_Visualization_Only,"Figures and manifests from reading a pinned switching_canonical_S_long for cuts maps panels without running mixed producer.",CANON_FIGURE_REPLAY,"Pinned results/switching/runs/.../switching_canonical_S_long.csv","PNG FIG CSV replay manifest under figures/tables","Visualization parity from frozen file","Claim new measured S or backbone derivation",VISUALIZATION_ONLY,NO,YES,NO,"CANON_FIGURE_REPLAY or CANON_S_LONG_VISUAL_REPLAY; source_run_id","pinned run_id; input path hash optional","run_switching_fixed_T_current_cuts_canonical_replay.m; Phase 1.5C","Canonical in filename means source CSV identity not governance umbrella."
