action_id,phase,current_problem,proposed_change,affected_paths,requires_code_update,requires_lineage_check,requires_policy_doc,safe_to_do_now,blocked_by,notes
RSG-B01,Phase 0 - Freeze and Vocabulary,"No shared vocabulary defines root, legacy, run, durable, and module-source roles.",Publish a repo directory policy and role glossary in docs/governance.,docs/; reports/maintenance; tables,FALSE,FALSE,TRUE,TRUE,,Pure documentation task.
RSG-B02,Phase 0 - Freeze and Vocabulary,New maintenance outputs can still land at the root or ad hoc folders.,Adopt a no-new-root-outputs rule except for approved repo metadata files.,. ; reports/maintenance; tables,FALSE,FALSE,TRUE,TRUE,,Can start immediately without moving existing files.
RSG-B03,Phase 0 - Freeze and Vocabulary,Legacy areas do not have a common write-closed contract.,"Mark results_old/, tables_old/, archive/, _legacy/, Aging old/, and tmp_root_cleanup_quarantine/ as write-closed legacy namespaces.",results_old; tables_old; archive; _legacy; Aging old; tmp_root_cleanup_quarantine,FALSE,FALSE,TRUE,TRUE,,Policy-only change.
RSG-B04,Phase 1 - Naming Contracts,Source and artifact layers use different module names such as MT ver2 vs results/mt.,Create a documented module alias registry for source folder names versus artifact folder names.,MT ver2; results/mt; Switching ver12; results/switching,FALSE,FALSE,TRUE,TRUE,,Needed before any migration or automation rewrite.
RSG-B05,Phase 1 - Naming Contracts,Run folders contain snapshots but there is no formal run container contract.,Define the required contents and naming of results/<module>/runs/<run_id>/.,results/*/runs,FALSE,FALSE,TRUE,TRUE,,"Should specify manifest, logs, and snapshot semantics."
RSG-B06,Phase 1 - Naming Contracts,Durable artifact families do not have a clear promotion rule.,"Define promotion rules from run outputs to tables/, reports/, and figures/.",results; tables; reports; figures,FALSE,TRUE,TRUE,TRUE,,Lineage-sensitive but documentable now.
RSG-B07,Phase 2 - New-Write Redirection,Maintenance audit outputs are scattered across root and legacy folders.,Route all future repo-health outputs to reports/maintenance and tables/maintenance_*.csv.,. ; reports/maintenance; tables; results_old/repository_audit,FALSE,FALSE,TRUE,TRUE,,This audit already follows the target pattern.
RSG-B08,Phase 2 - New-Write Redirection,"Transient logs and probes are spread across root, logs, tmp, and probe_outputs.",Redirect future transient execution evidence into results/<module>/runs or results/maintenance/runs.,logs; tmp; probe_outputs; runs; root,FALSE,FALSE,TRUE,TRUE,,Safe if applied only to new writes.
RSG-B09,Phase 2 - New-Write Redirection,results/aging/figures competes with figures/aging.,"For new outputs, publish durable aging figures to figures/aging and leave run-only images in results/aging/runs/<run_id>/figures.",results/aging/figures; figures/aging,FALSE,TRUE,TRUE,TRUE,,Do not back-migrate historical figures yet.
RSG-B10,Phase 3 - Boundary Cleanup,analysis/ mixes shared code with knowledge CSVs and logs.,"Split future analysis knowledge artifacts from reusable code by policy, then selectively migrate low-risk files.",analysis; analysis/knowledge,FALSE,TRUE,TRUE,FALSE,Need file-by-file ownership review.,Migration should follow contract publication.
RSG-B11,Phase 3 - Boundary Cleanup,reports/ and tables/ contain source-like files.,Inventory source-like files in artifact namespaces and reassign only after lineage and consumer checks.,reports; tables/aging; runs,TRUE,TRUE,TRUE,FALSE,Need to verify downstream references.,Snapshots may intentionally stay if declared immutable.
RSG-B12,Phase 3 - Boundary Cleanup,tools/ and scripts/ overlap in purpose.,Assign each existing helper to tools/ reusable infrastructure or scripts/ stable entrypoints and stop mixed placement for new files.,tools; scripts,FALSE,FALSE,TRUE,FALSE,Need maintainers to decide the reusable-vs-entrypoint split for some files.,Can start with an ownership catalog.
RSG-B13,Phase 4 - Root Decompression,"The root is overloaded with run_*.m, logs, csvs, and markdown audits.","Inventory root files and map each to scripts/, docs/, reports/, tables/, or results for future relocation.",.,FALSE,TRUE,TRUE,FALSE,"Need code-reference and lineage review, especially for root run_*.m entrypoints.",Do not bulk-move without assignment.
RSG-B14,Phase 5 - Controlled Migration,Historical source trees use versioned names and divergent layouts.,Consider physical source-folder normalization only after code-reference audits and stable alias mapping are complete.,MT ver2; Relaxation ver3; Switching ver12; other versioned source roots,TRUE,TRUE,TRUE,FALSE,Blocked by unknown path references and historical scripts.,This is intentionally late-phase work.
RSG-B15,Phase 5 - Controlled Migration,Third-party assets are not isolated from first-party code naming.,Evaluate a future vendor/ or external/ namespace for github_repo after license and reference checks.,github_repo,TRUE,FALSE,TRUE,FALSE,Need consumer and license review.,Low priority compared with run/output governance.
