id,category,description,file_1,line_1,file_2,line_2,severity,impact
INC-001,Config drift,"time_origin_mode is exposed and reported but never consumed in fitting logic; t0 remains hardcoded to first sample and picker behavior.","C:/Dev/matlab-functions/Relaxation ver3/relaxation_config_helper.m",35,"C:/Dev/matlab-functions/Relaxation ver3/importFiles_relaxation.m",97,P1,"Reported configuration can differ from executed behavior."
INC-002,Config drift,"fit_window_mode is exposed and reported but window behavior is fixed to pickRelaxWindow implementation plus fractional trims.","C:/Dev/matlab-functions/Relaxation ver3/relaxation_config_helper.m",45,"C:/Dev/matlab-functions/Relaxation ver3/fitAllRelaxations.m",78,P1,"Audit metadata overstates controllability of window definition."
INC-003,Config drift,"baseline_mode/interpolation_mode/smoothing_mode/derivative_mode/no_relax_threshold_mode are declared but not wired into core fit path.","C:/Dev/matlab-functions/Relaxation ver3/relaxation_config_helper.m",50,"C:/Dev/matlab-functions/Relaxation ver3/run_relaxation_canonical.m",252,P1,"Core physics choices are documented as configurable but mostly inert."
INC-004,Hardcoded fallback,"derivative_fallback_fraction is declared (0.2 default) but picker uses literal 0.2 and ignores config.","C:/Dev/matlab-functions/Relaxation ver3/relaxation_config_helper.m",125,"C:/Dev/matlab-functions/Relaxation ver3/pickRelaxWindow.m",98,P2,"Cannot tune fallback transient exclusion from canonical config."
INC-005,Threshold inconsistency,"Field threshold differs by entry point: picker default 1 Oe, main script uses 0.5 Oe, fitAll default 20 Oe.","C:/Dev/matlab-functions/Relaxation ver3/pickRelaxWindow.m",10,"C:/Dev/matlab-functions/Relaxation ver3/main_relaxation.m",37,P2,"Window start can shift between workflows, affecting inferred relaxation rates."
INC-006,Pipeline coupling,"main_relaxation calls Plots_relaxation before fitting; with alignByDrop=true this mutates Time_table used later in fits.","C:/Dev/matlab-functions/Relaxation ver3/main_relaxation.m",137,"C:/Dev/matlab-functions/Relaxation ver3/Plots_relaxation.m",127,P1,"Visualization setting changes analysis t0 in interactive path."
INC-007,Model-time sensitivity,"Log model uses log(max(t,minTimeForLog)) on absolute t within fit window without re-zeroing to window start.","C:/Dev/matlab-functions/Relaxation ver3/fitAllRelaxations.m",106,"C:/Dev/matlab-functions/Relaxation ver3/fitLogRelaxation.m",34,P1,"Estimated S is sensitive to time-origin choices unrelated to intrinsic dynamics."
INC-008,No-relax accounting,"Fallback no-relax branch writes tau=Inf, but canonical summary counts no-relax via isnan(allFits.tau).","C:/Dev/matlab-functions/Relaxation ver3/fitAllRelaxations.m",165,"C:/Dev/matlab-functions/Relaxation ver3/run_relaxation_canonical.m",212,P1,"n_no_relax is systematically undercounted in canonical reports."
INC-009,Observable ambiguity,"Output table mixes log parameter S with KWW parameters tau/n under one schema, with NaNs depending on chosen model.","C:/Dev/matlab-functions/Relaxation ver3/fitRelaxationModel.m",15,"C:/Dev/matlab-functions/Relaxation ver3/fitAllRelaxations.m",242,P2,"No single physically consistent relaxation observable is enforced."
INC-010,Physical fallback heuristic,"If no valid low-field segment is found, start time is chosen by minimum dM/dt and window set to 20% of trace.","C:/Dev/matlab-functions/Relaxation ver3/pickRelaxWindow.m",84,"C:/Dev/matlab-functions/Relaxation ver3/pickRelaxWindow.m",103,P2,"Can include transients or artifacts with no explicit field-removal guarantee."
