variable_name,source_file_or_lineage,directly_measured_or_derived,plain_language_meaning,stability_confidence,relevant_experiment,notes
I_peak_mA,tables/alpha_structure.csv; switching scaling runs,measured,Current at the switching ridge peak in the mapped data,high,switching,Held fixed in steps in sample table; still primary scale for kappa2 linkage in Agent 19A
S_peak_mA,tables/alpha_structure.csv; repo_state Switching core,measured,Peak signal on the orthogonal switching axis (experiment-specific definition in pipeline),high,switching,Strong covariate with kappa1 (rho~0.97 on n=14; see tables/agent24h_correlations.csv)
width_mA,tables/alpha_structure.csv; alpha_from_PT,measured,Ridge width on switching map,high,switching,Used in best PT-only alpha LOOCV model with skew (Agent 20B)
X_bridge_I_over_wS,docs/repo_state.json; speak_vs_x report,derived,Geometric coordinate I/(w*S) unifying relaxation and aging trends,high,cross_experiment,Preferred over S_peak alone for A and R peak alignment
q90_minus_q50_map,tables/alpha_structure.csv,derived,Upper-minus-median spread on measured threshold distribution at each T,high,switching,Weak direct Pearson to kappa1 in cohort (-0.12); do not equate with PT tail width
asymmetry_q_spread,tables/alpha_structure.csv,derived,Bulk-vs-tail asymmetry of measured quantile spreads,medium,switching,Moderate correlation with alpha (rho~0.28); PT asymmetry stronger for alpha (Agent 20B)
median_I_q50,tables/alpha_structure.csv,derived,Median threshold current on measured side,high,switching,
skew_I_weighted,tables/alpha_structure.csv,derived,Skewness of measured I distribution (weighted),medium,switching,Used in alpha_structure correlations (Agent 19F)
tail_width_q90_q50_PT,tables/kappa1_from_PT.csv; PT_matrix exports,derived,PT PMF q90-q50 tail width (mA),high,switching,Key ingredient in kappa1 LOOCV with S_peak (Agent 20A)
q50_I_q75_q90_PT,PT_matrix rows in switching runs,derived,Full quantile ladder of barrier/threshold PDF,high,switching,Basis for spreads and skew_pt_weighted
spread90_50,tables/alpha_from_PT.csv; barrier merges,same_as_tail_width_family,High-side spread of normalized PT PMF,high,switching;cross_experiment,Dominant scalar in R(T) aging prediction (Agent 24B)
asymmetry_PT,tables/alpha_from_PT.csv,derived,(q90-q50)-(q50-q25) on PT PMF,high,switching,Strong Spearman with alpha; in baseline PT model for alpha
skew_pt_weighted,tables/alpha_from_PT.csv; Agent 20B,derived,Third central moment of PT PMF,medium,switching,In best LOOCV alpha ~ skew + width_mA
mean_minus_median_pt,tables/alpha_from_PT.csv,derived,Mean minus median on PT grid,medium,switching,
std_threshold_mA_PT,PT_summary / barrier_descriptors,derived,Width of threshold distribution (PT side),high,cross_experiment,Appears in barrier_descriptors merges for Agent 24A pool
median_I_mA,barrier_descriptors.csv,derived,Median barrier current,high,cross_experiment,Agent 24A PT feature pool
iq75_25_mA,barrier_descriptors.csv,derived,Interquartile barrier width,high,cross_experiment,
skewness_quantile,barrier_descriptors.csv,derived,Quantile-based skew of barrier,medium,cross_experiment,
cheb_m2_z,barrier_descriptors.csv,derived,Second Chebyshev moment / shape score on PT,medium,cross_experiment,In winning A(T) PT-only model (tools/_agent24a_result.json)
pt_svd_score1,barrier_descriptors.csv,derived,First SVD score of PT stack,medium,cross_experiment,With cheb_m2_z predicts A without kappa1 in 24A snapshot
pt_svd_score2,barrier_descriptors.csv,derived,Second PT SVD score,medium,cross_experiment,Beats trajectory-only models for R in Agent 23B narrative
R_T_interp,barrier_descriptors; aging merges,measured_then_interpolated,Aging clock ratio on switching T grid,medium,cross_experiment,Sparse aging T interpolated; see aging prediction report
A_T_interp,barrier_descriptors; relaxation merge,measured_then_interpolated,Relaxation timescale on shared grid,medium,cross_experiment,Agent 24A uses pchip-interpolated A on PT temperatures
Relax_tau_T,repo_state Relaxation derived,measured_derived,Per-T relaxation time constant family,high,relaxation,Canonical A family per results_system
kappa1,tables/alpha_structure.csv; decomposition runs,latent_from_fit,Rank-1 amplitude on dominant residual mode,high,switching,Not direct measurement; fitted from residual strip
kappa2,tables/alpha_structure.csv,latent_from_fit,Rank-2 / second-mode amplitude,medium,switching,Sign and definition follow decomposition script
alpha,tables/alpha_structure.csv,derived_from_latents,kappa2/kappa1 ratio,medium,switching,Regime-sensitive near 22-24 K
delta_theta_rad,tables/R_vs_trajectory.csv or trajectory pipelines,derived,Turning rate in (kappa1 kappa2) plane,medium,cross_experiment,Associates with R; does not beat PT SVD in 23B LOOCV
ds_step,trajectory tables,derived,Step size in collective state plane,medium,cross_experiment,
phi2_even_energy_fraction,tables/phi2_structure_metrics.csv,derived,Fraction of |Phi2|^2 on even-symmetric part,medium,switching,Experimental-language descriptor for mode-2 shape
phi2_center_energy_frac_abs_x_le_tight,tables/phi2_structure_metrics.csv,derived,Localization near ridge center,medium,switching,
phi2_shoulder_tail_ratio_R_over_L,tables/phi2_structure_metrics.csv,derived,Right vs left shoulder weight,low,switching,
phi2_best_kernel_abs_corr,tables/phi2_structure_metrics.csv,derived,Best match to simple template (width modulation etc.),medium,switching,
