review_group,item,result,evidence,claim_boundary
status_flag,STAGE_E5B_COMPLETED,YES,"Read-only claim-boundary review completed from Stage E5 artifacts.","Establishes explicit claim boundary without rerunning or changing models."
status_flag,RANK2_INTERPRETABLE_MODEL_ALLOWED,YES,"Rank-2 gains/stability are strong: phi1 gain=0.6709, phi2 gain=0.4851, phi2 tail gain=0.6375, phi2 explained(full/tail)=0.9713/0.9906, subset minima phi1/phi2=0.5903/0.7003.","Rank-2 may be used as the current interpretable leading-order model."
status_flag,RANK2_FULL_CLOSURE_CLAIM_ALLOWED,NO,"Stage E5 left higher-order closure unresolved: rank3 significance=PARTIAL, stability=PARTIAL, observable linkage=NO.","Do not claim rank-2 exhausts all physically relevant residual structure."
status_flag,RANK3_PROMOTION_ALLOWED,NO,"Rank3 lacks promotion support: sigma p=0.8164, observable rho/p=0.3912/0.1397, tail fraction p=0.4990.","Do not promote the diagnostic rank-3 layer into the interpreted model."
status_flag,RANK3_CLASSIFICATION,weak_structured_residual,"Rank3 improves fit (gain=0.2530, p=0.0020) and is internally reproducible (median stability=0.9987, amplitude median corr=0.9995), but lacks canonical observable support and localization.","Treat the rank-3 layer as residual structure with limited interpretive status."
status_flag,CLAIMS_ALLOWED_LIMITED,YES,"Rank-2 reconstruction and D4/E mappings support bounded interpretation of backbone, Phi1, and Phi2 roles.","Limited claim-readiness may proceed for leading-order statements only."
status_flag,CLAIMS_BLOCKED_FULL_CLOSURE,YES,"Stage E5 did not certify higher-order irrelevance.","Full closure / no-higher-mode claims remain blocked."
status_flag,ADDITIONAL_TEST_REQUIRED,PARTIAL,"Weak point is residual persistence across transition-focused exclusions: phi3 subset min=0.3426, tail localization p=0.4990, observable rho/p=0.3912/0.1397.","Only one targeted extra robustness test is needed if stronger-than-limited claims are desired."
status_flag,READY_FOR_LIMITED_CLAIM_READINESS,YES,"Limited claim-readiness depends on accepting rank-2 as a leading-order model while preserving explicit exclusions.","Proceed only with bounded claim language; do not update claims in this stage."
allowed_claim,rank2_leading_order_model,YES,"Backbone->Phi1->Phi2 improves full RMSE from 0.0642 to 0.0211 to 0.0109 and explains 97.13% of backbone residual variance.","Allowed claim: rank-2 is the current interpretable approximation to the canonical switching residual hierarchy."
allowed_claim,phi1_backbone_error_axis,YES,"D4 classified Phi1 as `backbone_error`; Stage E mapped kappa1 canonically; phi1 stability subset min=0.5903.","Allowed claim: Phi1 is a stable interpretable correction associated with backbone error / residual redistribution."
allowed_claim,phi2_tail_burden_axis,YES,"D4 classified Phi2/Kappa2 as `backbone_tail_residual`/`tail_burden_tracker`; Phi2 adds 0.6375 tail fractional gain; Stage E validated kappa2 tail-burden mapping.","Allowed claim: Phi2 captures a stable second-order tail-burden residual component in the current canonical model."
blocked_claim,rank2_complete_closure,YES,"Diagnostic Phi3 still yields 0.2530 full-domain fractional gain with p=0.0020.","Blocked claim: rank-2 fully closes the residual hierarchy."
blocked_claim,rank3_physical_mode,YES,"Rank3 canonical observable linkage is weak (best rho/p=0.3912/0.1397), tail localization p=0.4990, smoothness p=0.2635.","Blocked claim: rank-3 is an established physical mode or observable-linked signal."
blocked_claim,no_higher_order_interpretive_risk,YES,"Stage E5 status left higher-order blocking as `PARTIAL`.","Blocked claim: no higher-order residual structure can affect interpretation."
recommended_test,minimum_additional_test,transition_band_block_exclusion,"Existing E5 holdouts show phi3 weak point under subset exclusion (subset min=0.3426) but no canonical observable support. A single contiguous transition-band block exclusion around the 28-32 K regime would test whether the diagnostic mode survives the transition cluster rather than isolated single-temperature drops.","Minimum extra test, only if stronger-than-limited claims are needed: contiguous transition-band exclusion / re-evaluation of diagnostic rank3 persistence and localization."
