task,path,role,exists,tracked_status_if_known,force_add_likely_needed,notes
AR01,reports/relaxation/relaxation_activity_representation_01_scalar_ranking.md,report narrative,YES,IGNORED_BY_GITIGNORE,YES,tables reports ignored unless forced
AR01,tables/relaxation/relaxation_activity_representation_01_verdicts.csv,verdict keys,YES,IGNORED_BY_GITIGNORE,YES,
AR01,tables/relaxation/relaxation_activity_representation_01_status.csv,run status,YES,IGNORED_BY_GITIGNORE,YES,
AR01,tables/relaxation/relaxation_activity_representation_01_common_scalar_table.csv,scalar bundle T vs scalars,YES,IGNORED_BY_GITIGNORE,YES,
AR01,tables/relaxation/relaxation_activity_representation_01_decision_matrix.csv,decision matrix,YES,IGNORED_BY_GITIGNORE,YES,
AR01,run_relaxation_activity_representation_01.m,runner script,YES,UNTRACKED_IN_WORKING_TREE,NO,git status showed untracked at closure time
AR02,reports/relaxation/relaxation_activity_representation_02_loo_svd_and_robustness.md,LOO narrative,YES,IGNORED_BY_GITIGNORE,YES,
AR02,tables/relaxation/relaxation_activity_representation_02_loo_svd_summary.csv,aggregate LOO summary,YES,IGNORED_BY_GITIGNORE,YES,
AR02,tables/relaxation/relaxation_activity_representation_02_verdicts.csv,LOO verdicts,YES,IGNORED_BY_GITIGNORE,YES,
AR02,tables/relaxation/relaxation_activity_representation_02_status.csv,run status,YES,IGNORED_BY_GITIGNORE,YES,
AR02,run_relaxation_activity_representation_02.m,runner script,YES,UNTRACKED_IN_WORKING_TREE,NO,
AR03,reports/relaxation/relaxation_activity_representation_03_robustness_audit.md,variant audit report,YES,IGNORED_BY_GITIGNORE,YES,
AR03,tables/relaxation/relaxation_activity_representation_03_ranking_summary.csv,variant ranking table,YES,IGNORED_BY_GITIGNORE,YES,
AR03,tables/relaxation/relaxation_activity_representation_03_ranking_stability.csv,stability metrics,YES,IGNORED_BY_GITIGNORE,YES,
AR03,tables/relaxation/relaxation_activity_representation_03_verdicts.csv,robustness verdicts,YES,IGNORED_BY_GITIGNORE,YES,
AR03,tables/relaxation/relaxation_activity_representation_03_status.csv,run status,YES,IGNORED_BY_GITIGNORE,YES,
AR03,run_relaxation_activity_representation_03.m,runner script,YES,UNTRACKED_IN_WORKING_TREE,NO,
CONSOLIDATION_04,reports/relaxation/relaxation_activity_consolidation_04_scalar_evidence_and_lineage_roadmap.md,consolidation roadmap,YES,IGNORED_BY_GITIGNORE,YES,
CONSOLIDATION_04,tables/relaxation/relaxation_activity_consolidation_04_claim_safety_matrix.csv,safety matrix,YES,IGNORED_BY_GITIGNORE,YES,
CONSOLIDATION_04,tables/relaxation/relaxation_activity_consolidation_04_scalar_hierarchy.csv,hierarchy draft,YES,IGNORED_BY_GITIGNORE,YES,
CONSOLIDATION_04,tables/relaxation/relaxation_activity_consolidation_04_confusion_audit.csv,confusion audit,YES,IGNORED_BY_GITIGNORE,YES,
CONSOLIDATION_04,tables/relaxation/relaxation_activity_consolidation_04_status.csv,status,YES,IGNORED_BY_GITIGNORE,YES,
LINEAGE_05,reports/relaxation/relaxation_AT_old_vs_m0_svd_lineage_05_exact_reconciliation.md,lineage report,YES,IGNORED_BY_GITIGNORE,YES,
LINEAGE_05,tables/relaxation/relaxation_AT_old_vs_m0_svd_lineage_05_status.csv,lineage status,YES,IGNORED_BY_GITIGNORE,YES,
LINEAGE_05,tables/relaxation/relaxation_AT_old_vs_m0_svd_lineage_05_difference_diagnosis.csv,diagnosis table,YES,IGNORED_BY_GITIGNORE,YES,
LINEAGE_05,tables/relaxation/relaxation_AT_old_vs_m0_svd_lineage_05_next_step_decision.csv,next steps,YES,IGNORED_BY_GITIGNORE,YES,
LINEAGE_05,Relaxation ver3/diagnostics/run_relaxation_AT_old_vs_m0_svd_exact_lineage_reconciliation.m,lineage script,YES,UNTRACKED_IN_WORKING_TREE,NO,
LINEAGE_06,reports/relaxation/relaxation_AT_canon_lineage_06_legacy_definition_reconstruction.md,canon narrative,YES,IGNORED_BY_GITIGNORE,YES,
LINEAGE_06,tables/relaxation/relaxation_AT_canon_lineage_06_status.csv,closure-ready flags,YES,IGNORED_BY_GITIGNORE,YES,
LINEAGE_06,tables/relaxation/relaxation_AT_canon_lineage_06_scalar_comparison.csv,equivalence metrics,YES,IGNORED_BY_GITIGNORE,YES,
LINEAGE_06,tables/relaxation/relaxation_AT_canon_lineage_06_equivalence_verdicts.csv,verdicts,YES,IGNORED_BY_GITIGNORE,YES,
LINEAGE_06,tables/relaxation/relaxation_AT_canon_lineage_06_svd_summary.csv,SVD summary,YES,IGNORED_BY_GITIGNORE,YES,
LINEAGE_06,Relaxation ver3/diagnostics/run_relaxation_AT_canon_lineage_06.m,runnable lineage script,YES,UNTRACKED_IN_WORKING_TREE,NO,MATLAB name length note in lineage audit
CLOSURE_07,tables/relaxation/relaxation_activity_final_closure_07_artifact_inventory.csv,this inventory,YES,IGNORED_BY_GITIGNORE,YES,
CLOSURE_07,tables/relaxation/relaxation_activity_final_closure_07_scalar_dictionary.csv,dictionary,YES,IGNORED_BY_GITIGNORE,YES,
CLOSURE_07,tables/relaxation/relaxation_activity_final_closure_07_scalar_hierarchy.csv,hierarchy,YES,IGNORED_BY_GITIGNORE,YES,
CLOSURE_07,tables/relaxation/relaxation_activity_final_closure_07_claim_boundaries.csv,claims,YES,IGNORED_BY_GITIGNORE,YES,
CLOSURE_07,tables/relaxation/relaxation_activity_final_closure_07_confusion_resolution.csv,resolutions,YES,IGNORED_BY_GITIGNORE,YES,
CLOSURE_07,tables/relaxation/relaxation_activity_final_closure_07_cross_module_handoff.csv,handoff table,YES,IGNORED_BY_GITIGNORE,YES,
CLOSURE_07,tables/relaxation/relaxation_activity_final_closure_07_archival_plan.csv,archival plan,YES,IGNORED_BY_GITIGNORE,YES,
CLOSURE_07,tables/relaxation/relaxation_activity_final_closure_07_status.csv,closure status,YES,IGNORED_BY_GITIGNORE,YES,
CLOSURE_07,reports/relaxation/relaxation_activity_final_closure_07.md,closure report,YES,IGNORED_BY_GITIGNORE,YES,
OPTIONAL_FIG,figures/relaxation/canonical/relaxation_AT_canon_lineage_06_scalar_overlay.png,diagnostic figure,YES,IGNORED_BY_GITIGNORE,OPTIONAL_LINEAGE_06,
OPTIONAL_FIG,figures/relaxation/canonical/relaxation_AT_canon_lineage_06_comparison_rmse.png,diagnostic figure,YES,IGNORED_BY_GITIGNORE,OPTIONAL_LINEAGE_06,
