analysis_name,HAS_CANONICAL_RUN,CANONICAL_OUTPUT_EXISTS,FULLY_CANONICAL,notes
analyze_phi_kappa_canonical_space,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
checkNoDuplicateTemps,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
computeMetrics,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
debug_fix_o2_pipeline,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
ensureDir,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
run_switching_physical_baseline_model,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_switching_raw_baseline_correction_and_comparison,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
find_relaxation_time_series,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
formatNum,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
getVarByCandidates,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
inspect_relaxation_data_structure,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
leaveOneOutPredict,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
locate_relaxation_raw_runs,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
pearsonCorrelation,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
phi1_phi2_driver_helpers,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
phi2_deformation_helpers,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
phi2_shape_helpers,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
relImprovement,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
run_aging_collapse_kappa1_kappa2,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_aging_kappa_comparison,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_aging_nonlinear_law_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_alpha_observable_search,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
run_alpha_physical_validity_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_asymmetric_spread_analysis,YES,NO,PARTIAL,Switching-only; no repo-root literals found and no trusted-run artifact match for this script (helpers often have no static outputs; dynamic analyses write under run_dir).
run_build_relaxation_dataset,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_build_relaxation_dataset_from_pipeline,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_collapse_failure_mode_test,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
run_extract_tau_from_relaxation,NO,NO,NO,"Noncanonical science inputs (Relaxation/Aging/genpath(Aging)/tables_old) per detector, or mixed-module paths."
