metric_id,old_metric_name,corrected_canonical_replacement,replacement_source_path,status,deprecated_reason,next_action,notes
M001,rank1_energy_fraction,svd_mode1_explained_variance (finite-column SVD),tables/switching_corrected_old_authoritative_quality_metrics.csv,reconstructed_authoritative,,Use authoritative scalar; cite finite-column definition in text.,Legacy metric tied to switching_residual_decomposition_analysis low-T mask and alignment sources.
M002,rank12_energy_fraction,No authoritative scalar; optional rank-2 diagnostics deferred,n/a,partially_reconstructed,,TASK_007 mode-2+ boundary work if needed.,Requires aligned residual matrix or re-run decomposition not in scope.
M003,dominance_ratio_1_over_2,Same as M002,n/a,partially_reconstructed,,Optional future diagnostic export from builder if justified.,Not required for TASK_001/quality closure.
M004,low_window_rmse,rmse_after_mode1 plus per-T rmse_after_mode1,tables/switching_corrected_old_authoritative_quality_metrics.csv;tables/switching_corrected_old_quality_metrics_by_T.csv,reconstructed_authoritative,,Use global scalar for headline; use per-T for uniformity review.,Legacy window may differ slightly in row weighting; corrected-old uses stacked rows with omitnan on mode1.
M005,low_window_relative_error,Optional: Frobenius relative norm from maps,n/a,needs_decision,,Define narrow canonical definition if manuscript needs it.,Not blocked downstream without it.
M006,low_window_median_curve_corr,Optional replay from backbone/residual/phi/kappa tables,n/a,diagnostic_only,,Only if correlation-style QA requested; not manuscript primary for corrected-old path.,Old pipeline metric.
M007,low_window_p10_curve_corr,Same as M006,n/a,diagnostic_only,,Same.,Same.
M008,cdf_rows_from_pt,Gate: LEGACY_PT_MATRIX_USED + builder provenance,tables/switching_corrected_old_authoritative_builder_status.csv,reconstructed_authoritative,,Read gates not legacy CSV row counts.,Deprecated as standalone manuscript metric.
M009,cdf_rows_from_fallback,Gate: FALLBACK_USED=NO,tables/switching_corrected_old_authoritative_builder_status.csv,deprecated,"Corrected-old forbids fallback-only replay",None for manuscript path.,Old runs with fallback-only are explicitly out of scope.
M010,rmse_backbone_only,Same name in authoritative quality_metrics,tables/switching_corrected_old_authoritative_quality_metrics.csv,already_available,,None.,Identity-checked vs backbone_map.
M011,rmse_after_mode1,Same,tables/switching_corrected_old_authoritative_quality_metrics.csv,already_available,,None.,Replayed within relative tolerance of CSV rounding.
M012,improvement_factor_backbone_to_mode1,Same,tables/switching_corrected_old_authoritative_quality_metrics.csv,already_available,,None.,Consistent with replayed RMSEs.
M013,svd_mode1_explained_variance,Same,tables/switching_corrected_old_authoritative_quality_metrics.csv,already_available,,Trust builder-computed scalar unless aligned matrix archived.,Not independently recomputed in this task.
M014,fraction_finite_aligned_residual,Same + TASK_001 report,reports/switching_corrected_old_finite_grid_interpolation_audit.md,already_available,,Reference TASK_001 for interpretation.,Diagnostic support statistic.
M015,interpolation_failures_count,Same,tables/switching_corrected_old_authoritative_quality_metrics.csv,already_available,,Document in methods/QA as phi support on six currents.,Expected from TASK_001.
M016,missing_temperatures,Same,tables/switching_corrected_old_authoritative_quality_metrics.csv,already_available,,None.,PASS NONE.
M017,per_temperature_rmse,computed_from_authoritative_tables,tables/switching_corrected_old_quality_metrics_by_T.csv,computed_from_authoritative_tables,,Use for crossover/asymmetry awareness; not a new physics map.,Produced by Switching/diagnostics/run_switching_corrected_old_task002_quality_QA_and_closure.m.
