family_id,family_name,grouped_rule_ids,modules,highest_severity,confidence_summary,duplicate_sources,action_class,blocker_or_dependency,recommended_owner_scope,notes
F01,Switching identity/source-of-truth drift,SAS_SOURCE_009;CANON_GUARD_SW_IDENTITY,Switching,HIGH,HIGH across steward and canonicalization guard,"Issue #30; canonicalization PR branch; RS_LEGACY_004 consumers assumed stable inputs",ACTION_NOW,Resolve identity table absence vs mtime fallback before trusting downstream audit citations,Switching governance / canonical identity owner,"Charter or owner decision before silent behavioral change to resolver; parallel agents risk reading different S_long"
F02,Switching output routing / flat fallback drift,SAS_OUTPUT_003;RS_OUT_001;HD_EXPORT_004;SAS_STATUS_007;SAS_SCIENCE_008,Switching;tools,HIGH,MIXED HIGH on routing HIGH on export duplication,"Issue #30; Issue #28; Issue #29",ACTION_NOW for routing and flat fallback; WATCH for SAS_STATUS_007 and SAS_SCIENCE_008,Identity route F01 should be decided in parallel to avoid writing figures to demoted surfaces,Switching output and results-system maintainer,"SAS_STATUS_007 and SAS_SCIENCE_008 are WATCH sub-themes in same family; steward explicitly ACTION_NOW on SAS_OUTPUT_003"
F03,legacy flat output references,RS_LEGACY_004,Switching,MEDIUM,HIGH,"Issue #28",PLAN_NEXT,Depends on F02 alignment_audit and run-scoped discovery helpers stabilizing,Switching analysis maintainers,"Not ACTION_NOW until canonical output root story is stable"
F04,helper duplication / helper placement,HD_SCOPE_003;HD_SIM_001;HD_EXPORT_004;HD_NAME_002;RS_HELPER_003,Switching;Aging;multi_module,HIGH,MEDIUM to HIGH depending on cluster,"Issue #29; Issue #28",PLAN_NEXT,Pilot order per guard suggestions must not fight F02 routing decisions,Module helpers lead with Switching priority,"Aging HD_SCOPE_003 estimateRobustBaseline maps also to F07"
F05,run-root visibility limitation,RO_SUSPICIOUS_006,multi_module,MEDIUM,HIGH for blocked validation,"PR branch run-output audit 2026_05_04",BLOCKED_BY_ACCESS,Cannot complete run-output completeness validation until results runs roots visible in audit workspace,Automation or workspace operator,"Local agent_outputs 2026_05_04 path absent in this worktree"
F06,ignore/tracked generated artifact policy,RS_GIT_005,multi_module,MEDIUM,HIGH,"Issue #28",PLAN_NEXT,Owner approval cited; broad cleanup deferred per steward DEFER themes,Repository policy owner,"Start one pattern class only per guard suggestion before repo-wide policy"
F07,Aging WIP/non-canonical migration risk,RS_MOD_002;HD_SCOPE_003_Aging,Aging,NOT_CANONICAL effective MEDIUM,MEDIUM to HIGH WIP risk,"Issue #28; Issue #29 aging row",DEFER,Charter for Aging pathway and run-root migration should precede large pipeline edits,Aging module owner,"Do not treat as canonical failure; hygiene and migration risk"
F08,Relaxation ver3 naming/status drift,CANON_GUARD_RLX_VER3_STATUS,Relaxation ver3,MEDIUM,MEDIUM,canonicalization PR branch,PLAN_NEXT,Depends on Relaxation owner reconciling exact-token status tables if any,Relaxation ver3 maintainer,"Published guard narrative only in triage evidence"
F09,MT status/narrative drift,CANON_GUARD_MT_NARRATIVE,MT ver2,MEDIUM,MEDIUM,canonicalization PR branch,WATCH,Live blockers may have moved since narrative snapshot,MT maintainer,"Confirm against current MT ver2 control docs before edits"
F10,non-canonical cross-module science promotion,CANON_GUARD_CM_SYNTHESIS_PROMOTION,cross_module,HIGH,MEDIUM,canonicalization PR branch,DEFER,Explicit cross-module switching-relaxation-aging charter required before re-labeling promotional analysis,cross-module governance owner,"Must not fix promotional wording or module stance directly without charter"
