term,allowed_status,preferred_replacement,source_family,artifact_path,meaning,normalization_status,sign_status,safe_for_QA_reference,safe_for_physics_interpretation,forbidden_conflation_notes,notes
Phi1_canon,BLOCKED,Use manuscript-aligned Phi1_corrected_old path plus CORRECTED_CANONICAL_OLD_ANALYSIS until a certification gate exists,N_A,N_A,Placeholder for future certified canonical decomposition label,PENDING_GATE,PENDING_GATE,NO,NO,Must not equate to switching_canonical_phi1.csv or legacy Phi,future_gate_must_lock_path_norm_sign_usage
canonical Phi1,BLOCKED,"Same as Phi1_canon; use explicit corrected-old table path or diagnostic_phi1_like labels",N_A,N_A,Bare phrase without namespace,PENDING_GATE,PENDING_GATE,NO,NO,Often confused with diagnostic producer file,NO short form until gate
manuscript-aligned Phi1,ALLOWED_WITH_SOURCE_FAMILY,tables/switching_corrected_old_authoritative_phi1.csv column Phi1_corrected_old,CORRECTED_CANONICAL_OLD_ANALYSIS,tables/switching_corrected_old_authoritative_phi1.csv,Phi1 shape on x_aligned under corrected-old authoritative builder,PARTIAL_documented_in_contract,PARTIAL_documented_in_contract,YES_with_namespace,YES_manuscript_path_per_current_state,Do not interchange with CANON_GEN phi file,
corrected-old authoritative Phi1,ALLOWED_WITH_SOURCE_FAMILY,same as manuscript-aligned Phi1,CORRECTED_CANONICAL_OLD_ANALYSIS,tables/switching_corrected_old_authoritative_phi1.csv,Synonym for row above in authoritative package,PARTIAL,PARTIAL,YES,YES_with_namespace,Do not equate to Phi1_old without replay bridge,
switching_corrected_old_authoritative_phi1.csv,MANUSCRIPT_ALIGNED_SOURCE,Cite this path for manuscript Phi1 curve,CORRECTED_CANONICAL_OLD_ANALYSIS,tables/switching_corrected_old_authoritative_phi1.csv,Durable promoted Phi1_corrected_old vs x_aligned,PARTIAL_finite_support_grid,PARTIAL,YES,YES_when_index_rows_allow,Forbidden_use text in artifact_index forbids equating to switching_canonical_phi1,
switching_canonical_phi1.csv,DIAGNOSTIC_ONLY,diagnostic canonical-run Phi1-like output per run results path,CANON_GEN mixed producer / DIAGNOSTIC_MODE_ANALYSIS,results/switching/runs/<run_id>/tables/switching_canonical_phi1.csv,Phi1 column on current_mA from residual SVD vs backbone in producer,PARTIAL_max_abs_producer,PARTIAL_Spearman_Speak,YES_inventory,NO_manuscript_corrected_old_claim,Misleading canonical in filename; not manuscript-aligned Phi1,safe_sentence_in_phi1_terminology_contract.md
diagnostic canonical-run Phi1-like output,ALLOWED_DIAGNOSTIC_LABEL,same as switching_canonical_phi1.csv semantic,CANON_GEN diagnostic phi path,results/switching/runs/<run_id>/tables/switching_canonical_phi1.csv,Abstract label for producer diagnostic Phi shape on native I,PARTIAL,PARTIAL,YES,NO_for_corrected_old_substitute,Do not alias to Phi1_canon,
mode1,ALLOWED_WITH_SCRIPT_CONTEXT,mode1 from defined residual tensor SVD in named script,varies per runner,N_A,First singular mode direction for stated residual construction,PARTIAL,PARTIAL,YES_if_script_cited,PARTIAL,Not automatically identical symbol to exported Phi1 column; see anti-parallel notes,
residual-after-mode1,ALLOWED_BUT_NOT_PHI1,corrected_old_authoritative_residual_after_mode1_map,CORRECTED_CANONICAL_OLD_ANALYSIS,tables/switching_corrected_old_authoritative_residual_after_mode1_map.csv,Residual map after rank-one layer; not the Phi curve,map normalization per builder,PARTIAL,YES,NO_as_Phi1_substitute,Do not describe map as Phi1 curve,
DeltaS_after_mode1,ALLOWED_BUT_NOT_PHI1,same artifact family as residual-after-mode1 where applicable,CORRECTED_CANONICAL_OLD_ANALYSIS,tables/switching_corrected_old_authoritative_residual_after_mode1_map.csv,Informal delta notation for post-mode1 residual surface,N_A,N_A,YES,NO,Language only; not Phi1,
collapse defect,ALLOWED_BUT_NOT_PHI1,QA collapse overlay defect metrics,QA_inspection,e.g. tables/switching_phase4B_C02B_collapse_variant_defects.csv,RMSE/MAE style defect on collapse coordinate,N_A,N_A,YES_QA,NO_physics_from_defect_alone,Not Phi1; C02 family,
primary collapse,ALLOWED_BUT_NOT_PHI1,C02B primary collapse variants,QA_inspection,reports/switching_phase4B_C02B_primary_collapse_variant_audit.md,Inspection overlays PRIMARY/G014/G254,N_A,N_A,YES_QA,NO,Explicitly not Phi1 decomposition,
C02 collapse defect,ALLOWED_BUT_NOT_PHI1,Phase 4B C02 collapse QA,QA_inspection,figures/switching/canonical/phase4B_C02*,Legacy C02 defect panels,N_A,N_A,YES_QA,NO,QA only,
C02B primary collapse variants,ALLOWED_BUT_NOT_PHI1,Phase 4B C02B variant audit,QA_inspection,tables/switching_phase4B_C02B_collapse_variant_registry.csv,Registry of inspection variants,N_A,N_A,YES_QA,NO,Not Phi1,
kappa1,ALLOWED_WITH_SOURCE_FAMILY,corrected_old_authoritative_kappa1 vs observables kappa1 per context,CORRECTED vs DIAGNOSTIC,tables/switching_corrected_old_authoritative_kappa1.csv vs switching_mode_amplitudes_vs_T.csv,T-dependent amplitude for rank-one shape; never bare,kappa_absorbs_scale_separate_from_normalized_shape,PARTIAL_cross_family,YES_with_path,NO_if_cross_family_unaudited,artifact_index forbids diagnostic kappa as corrected proof,
Phi2,ALLOWED_WITH_SOURCE_FAMILY,See switching_analysis_map CANON_COLLAPSE_FAMILY,CANON_COLLAPSE_FAMILY / EXPERIMENTAL_PTCDF_DIAGNOSTIC,switching_canonical_S_long.csv derived hierarchies,Second residual mode in hierarchy diagnostics,PARTIAL,PARTIAL,YES_diagnostic,PARTIAL,Not authoritative corrected-old Phi2 row,
Phi3_diag,ALLOWED_DIAGNOSTIC_LABEL,Phi3_diag per separation contract,DIAGNOSTIC,per runner,Diagnostic-only third mode,N_A,N_A,YES,NO,Not closure coordinate per separation contract,
