existing_name,candidate_display_name,candidate_machine_id,includes_decomposition_method,includes_tau_method,includes_sign_policy,includes_source_field,pros,cons,decision_status,notes
Track A,"AFM_like|decomp=stage6-fit-summary(Dip_area_selected)|tau=not-computed-here|grid=PER_TP_SUMMARY",CMP_TRK_A_AFMLIKE_STAGE6_FIT_SUMMARY,NO,NO,NO,YES,"States fit summary and non-tau","Does not list every cfg window",CANDIDATE_ONLY,"Display style example only"
Track B,"Dip_depth+FM_abs|decomp=stage4-direct-family-via-export|tau=extracted-elsewhere-on-consolidated-cols|grid=TW_CURVE_PER_TP",CMP_TRK_B_CONSOL_STAGE4VIA_EXPORT,NO,YES,NO,YES,"Separates reader lane from tau machinery","Still hides derivative mode without path id",CANDIDATE_ONLY,"Tau not in consolidation script"
C_DIP_DEPTH_B,"Dip_depth|branch=TRACK_B_CONSOL|decomp=upstream-stage4-residual-orchestrator|tau=not-in-bridge-row|src=aging_observable_dataset.Dip_depth",CMP_DIP_DEPTH_B_CONSOL_STAGE4_ORCH,NO,NO,NO,YES,"Encodes bridge branch and artifact column","Does not fit one-line UI",CANDIDATE_ONLY,"Matches F7X long table semantics"
C_FM_ABS_B,"FM_abs|branch=TRACK_B_CONSOL|decomp=upstream-stage4-abs(FM_signed)|tau=not-in-bridge-row|sign=ABS_ONLY|src=aging_observable_dataset.FM_abs",CMP_FM_ABS_B_CONSOL_ABS_ONLY,NO,NO,YES,YES,"Sign policy explicit","Long machine id",CANDIDATE_ONLY,"F7X disclosed NaN cells"
AFM_like,"AFM_like|decomp=stage6-from-Dip_area_selected|tau=not-computed-here",CMP_AFMLIKE_STAGE6_DIP_AREA_SEL,NO,NO,N/A,YES,"Fit lineage visible","Needs stage5 presence to be true",CANDIDATE_ONLY,""
FM_like,"FM_like|decomp=stage6-from-FM_E|tau=not-computed-here",CMP_FMLIKE_STAGE6_FM_E,NO,NO,N/A,YES,"Fits tanh window lineage","Not FM_abs",CANDIDATE_ONLY,""
Dip_depth,"Dip_depth|decomp=stage4-direct-or-orchestrator-fallback|tau=dip-curvefit-downstream|src-field=Dip_depth[+Dip_depth_source if present]",CMP_DIPDEPTH_STAGE4_ORCH_DIP_TAU,YES,YES,PARTIAL,YES,"Encodes tau downstream split","Requires sidecar for full source clarity",CANDIDATE_ONLY,"tau method not in same table row as scalar"
Dip_depth_source,"Dip_depth_source|meta=orchestrator-binding-label|tau=no",CMP_DIPDEPTH_SOURCE_META,YES,NO,N/A,YES,"Disambiguates AFM_amp residual binding","Not in five-column reader contract",CANDIDATE_ONLY,"Optional sidecar"
dip_signed,"dip_signed|decomp=stage4-direct-diagnostic-layer|tau=no",CMP_DIPSIGNED_STAGE4_DIAG,YES,NO,YES,YES,"Clear diagnostic grain","Not consolidation contract column",CANDIDATE_ONLY,""
AFM_amp,"AFM_amp|decomp=stage4-direct-RMS-dip|tau=no",CMP_AFMAMP_STAGE4_DIRECT,YES,NO,CONTEXT,YES,"Ties to analyzer","May alias to Dip_depth",CANDIDATE_ONLY,""
AFM_area,"AFM_area|decomp=stage4-direct-area|tau=no",CMP_AFMAREA_STAGE4_DIRECT,YES,NO,N/A,YES,"Area semantics explicit","Vs Dip_area_fit naming collision risk",CANDIDATE_ONLY,""
Dip_area,"Dip_area|decomp=stage4-legacy-field-mirror|tau=no",CMP_DIPAREA_STAGE4_LEGACY,PARTIAL,NO,N/A,PARTIAL,"Legacy compatibility label","Weak without run audit",CANDIDATE_ONLY,""
Dip_area_selected,"Dip_area_selected|decomp=stage5-Gaussian-fit-selection|tau=no",CMP_DIPAREA_SEL_STAGE5_FIT,YES,NO,N/A,YES,"Fit selection explicit","Not Dip_depth",CANDIDATE_ONLY,""
FM_abs,"FM_abs|decomp=stage4-abs(FM_signed)|tau=FM-curvefit-downstream|sign=ABS_ONLY",CMP_FMABS_STAGE4ABS_FMTAU,YES,YES,YES,YES,"Separates decomp from tau extraction","Reversal invisible",CANDIDATE_ONLY,"Matches user example style"
FM_signed,"FM_signed|decomp=stage4-plateau-signed|tau=not-default-extractor|sign=SIGNED_ONLY",CMP_FMSIGNED_STAGE4_SIGNED,YES,NO,YES,YES,"Preserves physics sign lane","No standard tau script named FM_signed",CANDIDATE_ONLY,""
FM_step_raw,"FM_step_raw|decomp=stage4-plateau-raw-signed|tau=no",CMP_FMSTEPRAW_STAGE4,YES,NO,YES,YES,"Clear raw plateau notion","Internal before FM_signed assign",CANDIDATE_ONLY,""
FM_step_mag,"FM_step_mag|decomp=stage4-plateau-storage|sign=SIGNED_SEMANTICS_DESPITE_MAG_SUFFIX|tau=no",CMP_FMSTEPMAG_SIGNED_LEGACY,YES,NO,YES,YES,"Warns misleading mag","Name hurts adoption",CANDIDATE_ONLY,"User example cons"
FM_E,"FM_E|decomp=stage5-tanh-window-RMS|tau=no",CMP_FM_E_STAGE5_TANH,YES,NO,N/A,YES,"Fit window explicit","Not FM_abs",CANDIDATE_ONLY,""
tau_vs_Tp,"tau_dip_curvefit|input=Dip_depth|artifact=tau_vs_Tp.csv|fit=zoo+logistic+stretched+half_range+legacy_tau_effective_seconds",CMP_TAUDIP_CURVEFIT_VS_TP,NO,YES,N/A,YES,"Tau method explicit","Which column is primary left open",CANDIDATE_ONLY,"Metadata disambiguates legacy column"
tau_FM_vs_Tp,"tau_FM_abs_curvefit|input=FM_abs|artifact=tau_FM_vs_Tp.csv|fit=zoo+F7R2+hardening",CMP_TAUFM_CURVEFIT_VS_TP,NO,YES,N/A,YES,"Matches user example","Needs cfg paths for aux inputs",CANDIDATE_ONLY,""
tau_effective_seconds,"tau_effective_seconds|role=legacy-alias|domain=DISAMBIGUATE_VIA_F7G_METADATA|DIP_or_FM",CMP_TAU_EFF_LEGACY_ALIAS,NO,YES,N/A,NO,"Forces metadata read","Unsafe alone",CANDIDATE_ONLY,"User example warns legacy"
R_age,"R_age|input=tau_FM/tau_dip|decomp=no|ratio=downstream|artifact=table_clock_ratio",CMP_RAGE_CLOCK_RATIO_DOWNSTREAM,NO,YES,N/A,PARTIAL,"States downstream combinator","Pairing lineage separate concern",CANDIDATE_ONLY,"Matches user example style"
