"script_path","experiment_module","figure_type","font_issue","linewidth_issue","colormap_issue","legend_issue","export_issue","notes"
"Aging/analysis/aging_geometry_visualization.m","aging","heatmap","no explicit Helvetica/Arial font family; publication font sizes not set explicitly; labels use square-bracket units instead of publication parentheses","line widths mostly implicit","jet colormap used; turbo used even though publication guide disallows it","legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","inherits save_run_figure limitations: no PDF, PNG only at 300 dpi; no PDF/vector export found","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units; mixed categorical and heatmap color policies in one script; check consistency across outputs"
"Aging/analysis/debugAgingStage4.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area; legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
"Aging/colorMarkersByTp_activeFigure.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; publication figure size not controlled in centimeters/paper units"
"Aging/diagnostics/auditDecompositionStability.m","aging","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; heatmap orientation not set explicitly; colorbar label not set explicitly; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Aging/diagnostics/diagnose_baseline_subtracted_FM.m","aging","multi-panel comparison","no explicit Helvetica/Arial font family","line widths mostly implicit","","legend not explicitly outside the plotting area","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Aging/diagnostics/diagnose_decomposition_audit_waittimes.m","aging","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend uses auto/best placement inside data region; legend not explicitly outside the plotting area; legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Aging/diagnostics/diagnose_decomposition_audit_waittimes_clean.m","aging","multi-panel comparison","no explicit Helvetica/Arial font family","line widths mostly implicit","","legend not explicitly outside the plotting area; legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Aging/diagnostics/diagnose_deltaM_shifted_byTp_waittimes.m","aging","multi-panel comparison","no explicit Helvetica/Arial font family","line widths mostly implicit","jet colormap used","legend not explicitly outside the plotting area","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Aging/diagnostics/diagnose_deltaM_svd_pca.m","aging","multi-panel comparison","no explicit Helvetica/Arial font family","line widths mostly implicit","","legend not explicitly outside the plotting area; legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; heatmap orientation not set explicitly; heatmap lacks explicit colorbar call; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units; mixed categorical and heatmap color policies in one script; check consistency across outputs"
"Aging/diagnostics/diagnose_fit_vs_derivative_audit.m","aging","multi-panel comparison","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend not explicitly outside the plotting area","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Aging/diagnostics/diagnose_FM_construction_audit.m","aging","multi-panel comparison","no explicit Helvetica/Arial font family","line widths mostly implicit","","legend not explicitly outside the plotting area; legend appears in a dense multi-curve script where colorbar/direct labeling is preferred","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; multi-panel layouts do not show explicit panel labels; publication figure size not controlled in centimeters/paper units"
"Aging/diagnostics/diagnose_FM_sign_stability.m","aging","temperature cuts","no explicit Helvetica/Arial font family; publication font sizes not set explicitly","line widths mostly implicit","","legend not explicitly outside the plotting area","uses saveas for exports; does not clearly archive both PNG and FIG through canonical helper pattern; no PDF/vector export found; writes to legacy flat results locations instead of run helper; run-scoped artifact helper usage is not evident","tick direction not explicitly set to out; full grid enabled in figure code; publication figure size not controlled in centimeters/paper units"
