DATA_SOURCE_ID,CONDITION,FAILURE_CLASS,NOTES
SW_LEGACY_MAIN,file missing or unreadable,HARD_FAIL,"exist(switchMainPath,'file')~=2 -> error MissingSwitchingMain"
SW_LEGACY_MAIN,regex finds no dir = string,HARD_FAIL,"error MissingParentDir"
SW_EXTERNAL_RAW_PARENT,parsed path not a directory,HARD_FAIL,"error ParentDirMissing"
SW_EXTERNAL_RAW_PARENT,no Temp Dep* subfolders,HARD_FAIL,"error NoTempDepFolders"
SW_RAW_DAT,no .dat files under included folders,HARD_FAIL,"error NoRawFiles after loop"
SW_RAW_DAT,empty rows after processing,HARD_FAIL,"error NoSamples"
SW_RAW_DAT,Current_mA missing/invalid in folder,HARD_FAIL,"errors MissingCurrentMetadata / InvalidCurrent"
SW_RAW_DAT,importdata fails or corrupt matrix,PARTIAL_BREAK,"processFilesSwitching may warn skip file; can yield empty channel data"
SW_RAW_DAT,no valid LI columns in all files,PARTIAL_BREAK,"warnings; may skip folder or fail later on channel table"
SW_RAW_DAT,wrong channel / missing ch table,HARD_FAIL,"error InvalidSwitchingChannel / MissingChannelTable"
SW_PHI_KAPPA_SUMMARY,file missing,HARD_FAIL,"readtable throws; caught and rethrown"
SW_PHI_KAPPA_SUMMARY,missing required columns,HARD_FAIL,"table indexing error when selecting variables"
SW_PHI_KAPPA_SUMMARY,rows inconsistent with pair format,SILENT_RISK,"strsplit may yield no canonical pairs; verdicts may be vacuously true"
SW_PHI_KAPPA_STATUS,file missing,HARD_FAIL,"readtable throws (even though data unused)"
SW_PHI_KAPPA_STATUS,wrong schema,SILENT_RISK,"not consumed; failure only if readtable strict on format"
