stage,work_item,priority,agent_type,parallelization,blocking_dependency,expected_outputs,notes
immediate_housekeeping,Restore_or_regenerate_deleted_tracked_phase4B_figures_under_figures_switching,P0,maintenance_or_narrow_MATLAB,serial_with_publication_audit,None_for_starting_investigation;blocks_clone_only_figure_faithfulness,Restored_or_regenerated_PNG_FIG_committed_or_updated_inventory_tables,Survey_B_and_D;do_not_delete_paths_without_explicit_approval;prefer_locked_scripts_per_phase4B_reports
immediate_housekeeping,Triage_untracked_Switching_scripts_and_decide_track_vs_doc,P1,governance_maintenance,parallel_safe_if_disjoint_paths,None,Tracked_paths_or_docs_index_listing_intentional_untracked,Survey_A_B;avoids_shadow_canon
central_index_roadmap,Author_Switching_reader_roadmap_one_ordered_hub_page,P1,documentation_narrow,parallel_with_reconstruction_docs,None_for_draft_links,New_or_updated_docs_hub_linking_current_state_map_manifest_quarantine_AX_P0,Survey_C_INDEX_OR_ROADMAP_MISSING;charter_in_synthesis_E_staged_plan
central_index_roadmap,Add_Switching_facing_one_liner_X_eff_not_X_canon_cross_link,P2,documentation_narrow,parallel,None,Patch_to_switching_analysis_map_or_roadmap,Survey_C;preserves_X_eff_vs_X_canon_boundary
naming_namespace_cleanup,Reduce_deprecated_canonical_definition_hazard_banner_or_redirect_body,P2,documentation_broad,serial_after_roadmap_to_avoid_duplicate_edits,Central_index_roadmap_may_define_target,Editorial_change_outside_synthesis_scope;charter_only_here,Survey_C;explicitly_mark_future_approved_cleanup_no_delete
naming_namespace_cleanup,Glossary_row_for_bare_canonical_and_CANON_FIGURE_REPLAY_vs_physics_replay,P2,documentation_narrow,parallel,None,Short_glossary_table_or_appendix,Survey_C_naming_confusions
old_analysis_reconstruction_completion,TASK_002B_backbone_parity_bridge,P1,narrow_Switching_comparison,serial,TASK_001_and_legacy_comparison_inputs_per_D,Explicit_namespace_labeled_old_vs_corrected_table,Survey_D_remaining_work
old_analysis_reconstruction_completion,Authoritative_Phi2_kappa2_under_CORRECTED_CANONICAL_OLD_ANALYSIS,P1,narrow_Switching_validation,serial_after_charter,charter_for_mode2_plus,Artifact_index_rows_and_tables,Survey_D;distinct_from_PHI2_KAPPA2_HYBRID_quarantine
old_analysis_reconstruction_completion,TASK_003_asymmetry_LR_replay_chain_through_TASK_004,P1,narrow_Switching_replay_diagnostic,mixed_serial,TASK_001,Replay_status_and_reports_per_task_table,Survey_D
old_analysis_reconstruction_completion,TASK_005_WI_X_gauge_reconstruction,P2,narrow_Switching_coordinate,serial,TASK_003_and_optional_P0_values_CSV,TASK_005_outputs_and_status_CSV,Survey_D
old_analysis_reconstruction_completion,TASK_008_stale_corrected_old_cleanup_plan_non_destructive,P1,narrow_Switching_governance,serial_after_TASK_002B_where_policy_says_so,TASK_002B,Registry_plan_only_no_bulk_delete,Survey_D;no_delete_unless_future_explicit_approval
validation_governance_cleanup,Document_or_populate_Switching_validation_expectation,P2,governance_narrow,parallel,None,README_or_pointer_that_validation_is_table_report_gated,Survey_B_empty_Switching_validation_folder
validation_governance_cleanup,Clarify_tables_switching_prefix_vs_tables_switching_subdir_in_artifact_policy,P3,documentation_narrow,parallel,None,Doc_patch_charter,Survey_B_governance_gap_low
validation_governance_cleanup,Optional_run_registry_snapshot_column_backfill_or_document_pointer_only,P3,governance_narrow,parallel,None,Updated_registry_or_doc_note,Survey_B_low
future_scientific_analyses,TASK_009_figure_provenance_remap,P2,narrow_Switching_figure,serial,TASK_008,Provenance_table_and_quarantine_updates,Survey_D
future_scientific_analyses,TASK_010_manuscript_claim_audit_finalization,P3,broad_Switching_claim_audit,serial,TASK_002B_TASK_004_TASK_007,Claim_audit_report_and_tables,Survey_D
future_scientific_analyses,TASK_011_legacy_PT_CDF_diagnostic_doc_refresh,P3,narrow_Switching_documentation,parallel,TASK_002B,Refreshed_diagnostic_docs,Survey_D
future_scientific_analyses,TASK_012_publication_figure_authorization,P4,broad_Switching_release_gate,serial,TASK_009_TASK_010,Authorization_status_keys_SAFE_TO_CREATE_PUBLICATION_FIGURES,Survey_D
future_scientific_analyses,Restore_or_document_LEGACY_AX_FUNCTIONAL_outputs_cross_module,P2,cross_module_CM_SW_RLX,parallel_where_no_file_conflicts,AX_numeric_CSV_restoration_per_AX_index,AX_index_status_no_longer_blocked_for_that_family,Survey_D_blocker_row
