path,classification,connected_reader_hub_k_n2_note,recommended_handling,safe_to_stage_now
Switching/analysis/run_switching_canonical_state_audit.m,CURRENT_SWITCHING_WORK_CANDIDATE,Adjacent to reader hub: emits switching governance tables/reports when run; not the hub document.,REVIEW_FOR_COMMIT_LATER,NO
Switching/diagnostics/run_switching_cdf_backbone_repair_aggressiveness_audit.m,CURRENT_SWITCHING_WORK_CANDIDATE,Uses corrected-canonical repair context; K audit (Phase4B figures) is separate surface.,REVIEW_FOR_COMMIT_LATER,NO
run_switching_fixed_T_current_cuts_canonical_replay.m,CURRENT_SWITCHING_WORK_CANDIDATE,Canonical replay under figures/switching/canonical; N2 paper exports are a different committed slice—treat as related only if you adopt these outputs for the paper.,REVIEW_FOR_COMMIT_LATER,NO
scripts/run_switching_baseline_X_panel_style_fix.m,CURRENT_SWITCHING_WORK_CANDIDATE,Panel theme overlaps Phase4B QA hygiene; not the restored QA files themselves.,REVIEW_FOR_COMMIT_LATER,NO
scripts/run_switching_canonical_X_panel_orientation_repair.m,CURRENT_SWITCHING_WORK_CANDIDATE,Same panel-orientation theme as K-adjacent hygiene; separate from committed audits unless promoted.,REVIEW_FOR_COMMIT_LATER,NO
scripts/run_switching_corrected_old_replay_inventory_and_phi1_visual_sanity.m,CURRENT_SWITCHING_WORK_CANDIDATE,Corrected-old forensic lane; connects to governance tables indirectly—not N2 paper exports by filename alone.,REVIEW_FOR_COMMIT_LATER,NO
scripts/run_switching_gauge_component_numeric_summary.m,CURRENT_SWITCHING_WORK_CANDIDATE,Gauge stabilization track; reader hub may reference gauge narrative—runner not committed.,REVIEW_FOR_COMMIT_LATER,NO
scripts/run_switching_gauge_component_stability_preview.m,CURRENT_SWITCHING_WORK_CANDIDATE,Same as gauge numeric summary family.,REVIEW_FOR_COMMIT_LATER,NO
scripts/run_switching_normalized_X_robustness.m,CURRENT_SWITCHING_WORK_CANDIDATE,Robustness for normalized X; independent of Phase4B PNG trio.,REVIEW_FOR_COMMIT_LATER,NO
scripts/run_switching_old_fig_forensic_and_canonical_replot.m,CURRENT_SWITCHING_WORK_CANDIDATE,Forensic / replot tooling for legacy figures; not inherently stale—needs owner intent.,REVIEW_FOR_COMMIT_LATER,NO
scripts/run_switching_stabilized_gauge_figure_replay.m,CURRENT_SWITCHING_WORK_CANDIDATE,Stabilized gauge replay line.,REVIEW_FOR_COMMIT_LATER,NO
scripts/run_switching_stabilized_gauge_robustness_summary.m,CURRENT_SWITCHING_WORK_CANDIDATE,Stabilized gauge robustness.,REVIEW_FOR_COMMIT_LATER,NO
scripts/run_switching_stabilized_gauge_xpanel_style_fix.m,CURRENT_SWITCHING_WORK_CANDIDATE,Stabilized gauge X-panel style pass.,REVIEW_FOR_COMMIT_LATER,NO
scripts/run_sw_corr_old_replay_auth.m,CURRENT_SWITCHING_WORK_CANDIDATE,Legacy replay auth path—still active candidate unless superseded by maintainer.,REVIEW_FOR_COMMIT_LATER,NO
scripts/run_cross_module_switching_relaxation_CM_SW_RLX_AX_10.m,CROSS_MODULE_SWITCHING_RELAXATION_CANDIDATE,Explicit Relaxation table coupling; outside pure Switching chat.,MOVE_TO_MAINTENANCE_REVIEW,NO
scripts/run_cross_module_switching_relaxation_CM_SW_RLX_AX_11_deep_diag.m,CROSS_MODULE_SWITCHING_RELAXATION_CANDIDATE,Deep diag across modules; coordinate Relaxation + naming contract.,MOVE_TO_MAINTENANCE_REVIEW,NO
scripts/run_cross_module_switching_relaxation_X_defense_replay_10.m,CROSS_MODULE_SWITCHING_RELAXATION_CANDIDATE,Cross-module defense replay; not reader-hub-only.,MOVE_TO_MAINTENANCE_REVIEW,NO
