claim_id,claim_text,safety,evidence_source,recommended_wording,notes
C01,A_obs is the direct experimentally transparent relaxation amplitude,SAFE,"AR01 verdict AOBS_AVAILABLE YES; AR01 report; AR02 BEST_DIRECT_SCALAR","Use A_obs as the primary measured/direct relaxation amplitude per RCON definitions.",Aligns with both runs recommending main-text emphasis on transparency.
C02,A_obs is the best reconstruction coordinate,UNSAFE,"AR01 reconstruction_metrics strict raw; AR02 loo_svd_summary mean RMSE ranks","Do not claim reconstruction-best; say rank-1 reconstruction favors m0_svd (AR01 full basis) or m0_LOO (AR02/03 held-out).",A_obs ranked last among tested columns on mean held-out RMSE in AR02 summary.
C03,m0_LOO is the best rank-1 reconstruction coordinate on RF3R2 (held-out LOO definition),SAFE,"AR02 loo_svd_summary; AR02 verdict M0_LOO_HELDOUT_RECONSTRUCTION_BEST YES","State that m0_LOO_SVD_projection minimizes tested held-out RMSE among non-leaky scalars on the RF3R2 repaired map used in AR02/03.",AR01 used full-column m0_svd for rank-1 fit—distinct object until reader bridges to LOO coefficient.
C04,m0_LOO is robust across LOO-SVD folds,SAFE,"AR02 verdict LOO_SVD_ALL_FOLDS_VALID YES; fold_metrics","Report stability across n_T=8 folds with documented orientation rule; cite fold table.",One fold shows A_obs slightly better on held-out RMSE at T=23 per fold_metrics detail—document as boundary not ranking reversal on aggregate.
C05,m0_LOO is robust across tested baseline/window/map variants,SAFE,"AR03 verdicts SCALAR_RANKING_STABLE YES; variant_inventory 12 rows","State robustness for the 12 explicitly constructed variants on RF3R2; note G3 log-time grid excluded.",Scope is explicit RLX03 design—not universal over all possible maps.
C06,m0_LOO is the unique physical material amplitude,UNSAFE,"AR01 SAFE_TO_CLAIM_UNIQUE_BEST NO; AR02 SAFE_TO_CLAIM_UNIQUE_BEST_AFTER_02 NO","Treat m0_LOO as an optimal rank-1 coordinate on the constructed map stack—not as the sole physical amplitude.",Physical uniqueness is not established by reconstruction audits.
C07,A_proj_nonSVD is the best non-SVD compromise,SAFE,"AR01 BEST_HELDOUT_NON_M0_SCALAR; AR02 BEST_COMPROMISE_SCALAR_AFTER_02; AR03 A_PROJ_NONSVD_STABLE_COMPROMISE YES","Describe as best compromise among fixed non-SVD table columns on the shared map.",Tied closely with projection_mean in numeric summaries.
C08,A_T_old equals m0_svd,NOT_YET_TESTED,"Consolidation scope; AR01 LEGACY_AT_AVAILABLE NO","Treat numerical identity as unresolved; pending RLX-ACTIVITY-LINEAGE-05.",Legacy column not present in AR01 common table; reconciliation task listed separately.
C09,A_T_old and m0_svd are in the same conceptual SVD/rank-1 family,PARTIAL,"Background; AR02 diagnostic coupling m0_LOO to RCON m0","Say conceptually related as rank-1/SVD-type amplitudes; require lineage task for identity.",Does not assert equal normalization or producer path.
C10,The old 0.66 exponent is universal,NOT_YET_TESTED,Consolidation forbade power-law fitting,"Do not claim; exponent universality not tested here.",Explicit out of scope for RLX-CONSOLIDATION-04.
C11,The old 0.66 exponent is scalarization-sensitive,NOT_YET_TESTED,Consolidation forbade power-law fitting,"Defer to dedicated exponent/scalarization audits if needed.",No evidence row ingested in this task.
