path,level,classification,relevance,candidate_for_deep_dive,notes
.,0,MIXED,HIGH,YES,Root aggregate layers coexist
.appdata,1,INFRA_ENV,LOW,NO,Local application data cache
.codex_matlab_prefs,1,INFRA_ENV,LOW,NO,Codex MATLAB preference cache
.codex_tmp,1,INFRA_ENV,LOW,NO,Temporary Codex working files
.git,1,GOVERNANCE,MEDIUM,NO,Version control metadata store
.github,1,GOVERNANCE,HIGH,YES,CI workflows repository automation
.localappdata,1,INFRA_ENV,LOW,NO,Local appdata cache mirror
.matlab_prefs,1,INFRA_ENV,LOW,NO,MATLAB preferences directory
.mwhome,1,INFRA_ENV,LOW,NO,Vendor home stub directory
.tmp_test,1,INFRA_ENV,LOW,NO,Scratch temp test area
.vscode,1,INFRA_ENV,LOW,NO,Editor workspace settings
AC HC MagLab ver8,1,ANALYSIS,LOW,NO,MagLab HC experiment version tree
Aging,1,MODULE,HIGH,YES,Core Aging domain system
Aging old,1,ANALYSIS,LOW,NO,Superseded Aging experiment tree
analysis,1,ANALYSIS,MEDIUM,NO,Cross-cutting shared analysis code
archive,1,ARTIFACTS,LOW,NO,Archived quarantined material store
ARPES ver1,1,ANALYSIS,LOW,NO,ARPES experiment version tree
claims,1,GOVERNANCE,HIGH,YES,Formal project claims registry
docs,1,GOVERNANCE,HIGH,YES,Policies definitions canonical references
FieldSweep ver3,1,ANALYSIS,LOW,NO,Field sweep experiment version tree
figures,1,ARTIFACTS,MEDIUM,NO,Figure outputs and assets
Fitting ver1,1,ANALYSIS,LOW,NO,Fitting routines version tree
General ver2,1,ANALYSIS,LOW,NO,General experiment utilities version
github_repo,1,UNKNOWN,LOW,NO,Purpose unclear without inspection
GUIs,1,ANALYSIS,LOW,NO,MATLAB GUI application code
HC ver1,1,ANALYSIS,LOW,NO,HC experiment version tree
junk,1,ARTIFACTS,LOW,NO,Non-canonical scratch discard pile
logs,1,ARTIFACTS,MEDIUM,NO,Execution and probe log sinks
MathWorks,1,INFRA_ENV,LOW,NO,Vendor local stubs files
matlab_prefs_agent,1,INFRA_ENV,LOW,NO,Agent MATLAB preferences copy
MH ver1,1,ANALYSIS,LOW,NO,MH experiment version tree
MT ver2,1,ANALYSIS,LOW,NO,MT experiment version tree
probe_outputs,1,ARTIFACTS,MEDIUM,NO,Diagnostic probe output artifacts
PS ver4,1,ANALYSIS,LOW,NO,PS experiment version tree
Relaxation ver3,1,MODULE,HIGH,YES,Core Relaxation domain system
reports,1,ARTIFACTS,HIGH,NO,Human-readable analysis reports
Resistivity MagLab ver1,1,ANALYSIS,LOW,NO,MagLab resistivity experiment tree
Resistivity ver6,1,ANALYSIS,LOW,NO,Resistivity experiment version tree
results,1,ARTIFACTS,HIGH,NO,Canonical run output tree
results_old,1,ARTIFACTS,LOW,NO,Superseded results archive
review,1,GOVERNANCE,MEDIUM,NO,Review audit narrative material
runs,1,INFRA_RUNTIME,HIGH,YES,Run roots orchestration metadata
scripts,1,SCRIPT,MEDIUM,NO,Loose scripts not full systems
snapshot_scientific_v3,1,ARTIFACTS,LOW,NO,Frozen scientific snapshot bundle
status,1,ARTIFACTS,HIGH,YES,Execution status signaling artifacts
surveys,1,ANALYSIS,MEDIUM,NO,Survey definitions tooling outputs mix
Susceptibility ver1,1,ANALYSIS,LOW,NO,Susceptibility experiment version tree
Switching,1,MODULE,HIGH,YES,Core Switching domain system
Switching ver12,1,MODULE,HIGH,YES,Switching backend implementation tree
tables,1,ARTIFACTS,HIGH,YES,Registries CSVs machine-readable truth
tables_old,1,ARTIFACTS,LOW,NO,Deprecated tables archive
templates,1,INFRA_RUNTIME,HIGH,YES,Runnable script templates contracts
tests,1,INFRA_RUNTIME,MEDIUM,YES,Validation harness automated checks
tmp,1,INFRA_ENV,LOW,NO,General temporary workspace
tmp_matlab_prefdir,1,INFRA_ENV,LOW,NO,Temporary MATLAB prefdir redirect
tmp_root_cleanup_quarantine,1,INFRA_ENV,LOW,YES,Quarantine boundary cleanup staging
tools,1,INFRA_RUNTIME,HIGH,YES,Wrapper loaders guards execution
Tools ver1,1,ANALYSIS,LOW,NO,Legacy alternate tools version tree
zfAMR ver11,1,ANALYSIS,LOW,NO,zfAMR experiment version tree
_legacy,1,ANALYSIS,LOW,YES,Legacy code boundary reference pile
Switching/analysis,2,ANALYSIS,HIGH,YES,Switching analysis runnable experiments
Switching/utils,2,MODULE,HIGH,YES,Switching run context canonical checks
docs/templates,2,GOVERNANCE,HIGH,YES,Authoritative runnable documentation templates
docs/reports,2,GOVERNANCE,MEDIUM,NO,Documentation-embedded report copies
Aging/utils,2,MODULE,HIGH,YES,Aging shared utilities run context
Relaxation ver3/diagnostics,2,ANALYSIS,MEDIUM,YES,Relaxation diagnostic analysis scripts
