"artifact_path","exists_on_disk","git_tracked","git_ignored","ignore_rule_source","file_size_bytes","artifact_family","evidence_role","commit_visibility_risk","tracking_recommendation","archival_policy","requires_git_add_f","safe_to_force_add","recommended_command","reason"
"Switching/analysis/run_switching_corrected_old_authoritative_builder.m","True","NO","NO","(none)","26641","CORRECTED_OLD_CODE","builder_source","HIGH_untracked","TRACK_REQUIRED","GIT_ARCHIVE","NO","YES","git add -f ""Switching/analysis/run_switching_corrected_old_authoritative_builder.m""","Authoritative numeric pipeline reproducibility; not in ls-files"
"Switching/analysis/run_switching_corrected_old_builder_readiness_check.m","True","NO","NO","(none)","17715","CORRECTED_OLD_CODE","gate_preflight","HIGH_untracked","TRACK_REQUIRED","GIT_ARCHIVE","NO","YES","git add -f ""Switching/analysis/run_switching_corrected_old_builder_readiness_check.m""","Readiness checks referenced by builder"
"scripts/run_switching_corrected_old_authoritative_builder.ps1","True","NO","NO","(none)","837","CORRECTED_OLD_CODE","wrapper","HIGH_untracked","TRACK_REQUIRED","GIT_ARCHIVE","NO","YES","git add -f ""scripts/run_switching_corrected_old_authoritative_builder.ps1""","Documented invocation path"
"scripts/run_switching_corrected_old_builder_readiness_check.ps1","True","NO","NO","(none)","788","CORRECTED_OLD_CODE","wrapper","HIGH_untracked","TRACK_REQUIRED","GIT_ARCHIVE","NO","YES","git add -f ""scripts/run_switching_corrected_old_builder_readiness_check.ps1""","PS1 gate helper"
"scripts/run_switching_canonical_output_separation.ps1","True","NO","NO","(none)","12322","CANONICAL_GOVERNANCE","post_run_splitter","HIGH_untracked","TRACK_REQUIRED","GIT_ARCHIVE","NO","YES","git add -f ""scripts/run_switching_canonical_output_separation.ps1""","Produces clean source_view; referenced by separation gates"
"tables/switching_corrected_old_authoritative_builder_status.csv","True","NO","YES",".gitignore:117:tables/*status* | tables/switching_corrected_old_authoritative_builder_status.csv","881","CORRECTED_OLD_NUMERIC","authoritative_evidence_tables","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_corrected_old_authoritative_builder_status.csv""","Bit-identical manuscript/corrected-old evidence bundle; total size ~21KB"
"tables/switching_corrected_old_authoritative_backbone_map.csv","True","NO","YES",".gitignore:130:tables/*_map* | tables/switching_corrected_old_authoritative_backbone_map.csv","3732","CORRECTED_OLD_NUMERIC","authoritative_evidence_tables","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_corrected_old_authoritative_backbone_map.csv""","Bit-identical manuscript/corrected-old evidence bundle; total size ~21KB"
"tables/switching_corrected_old_authoritative_residual_map.csv","True","NO","YES",".gitignore:130:tables/*_map* | tables/switching_corrected_old_authoritative_residual_map.csv","3169","CORRECTED_OLD_NUMERIC","authoritative_evidence_tables","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_corrected_old_authoritative_residual_map.csv""","Bit-identical manuscript/corrected-old evidence bundle; total size ~21KB"
"tables/switching_corrected_old_authoritative_phi1.csv","True","NO","YES",".gitignore:88:tables/** | tables/switching_corrected_old_authoritative_phi1.csv","5838","CORRECTED_OLD_NUMERIC","authoritative_evidence_tables","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_corrected_old_authoritative_phi1.csv""","Bit-identical manuscript/corrected-old evidence bundle; total size ~21KB"
"tables/switching_corrected_old_authoritative_kappa1.csv","True","NO","YES",".gitignore:88:tables/** | tables/switching_corrected_old_authoritative_kappa1.csv","335","CORRECTED_OLD_NUMERIC","authoritative_evidence_tables","HIGH_ignored","TRACK_REQUIRED","GIT_ARCHIVE","YES","YES","git add -f ""tables/switching_corrected_old_authoritative_kappa1.csv""","Bit-identical manuscript/corrected-old evidence bundle; total size ~21KB"
