SECTION,ITEM,VALUE_OR_FACT,SOURCE_NOTES
GROUND_TRUTH,ACTUAL_RUN_DIR_ROOT_ABSOLUTE_EXAMPLE,C:\Dev\matlab-functions\results\switching\runs,Windows may display segment casing differently; MATLAB builds results\<experiment>\runs with experiment literal Switching
GROUND_TRUTH,RUN_DIR_RELATIVE_PATTERN,results/Switching/runs/<run_id>/,createRunContext(experiment,cfg) with experiment='Switching' in run_switching_canonical.m
GROUND_TRUTH,VERIFIED_CHAIN,"tools/run_matlab_safe.bat -> pre_execution_guard.ps1 -> matlab -batch run('<ABS_SCRIPT>') -> Switching/analysis/run_switching_canonical.m -> createRunContext -> run_dir -> artifacts",Matches docs/repo_execution_rules.md and static read of wrapper and script
GROUND_TRUTH,ARTIFACT_execution_status.csv,<run_dir>/execution_status.csv,Overwritten during run; final file state is authoritative
GROUND_TRUTH,ARTIFACT_run_manifest_json,<run_dir>/run_manifest.json,Includes embedded fingerprint fields (script_hash git_commit host user matlab_version script_path)
GROUND_TRUTH,ARTIFACT_config_snapshot_m,<run_dir>/config_snapshot.m,Written by createRunContext
GROUND_TRUTH,ARTIFACT_log_txt,<run_dir>/log.txt,Written by createRunContext
GROUND_TRUTH,ARTIFACT_run_notes_txt,<run_dir>/run_notes.txt,Written by createRunContext
GROUND_TRUTH,ARTIFACT_fingerprint,Embedded in run_manifest.json (no separate fingerprint file in this chain),computeRunFingerprint output passed to writeManifest
GROUND_TRUTH,ARTIFACT_tables_dir,<run_dir>/tables/,CSV outputs including switching_canonical_*.csv implementation_status validation
GROUND_TRUTH,ARTIFACT_reports_dir,<run_dir>/reports/,Markdown reports including run_switching_canonical_report.md implementation md
GROUND_TRUTH,ARTIFACT_probe_and_markers,"<run_dir>/execution_probe_top.txt execution_probe.csv execution_probe_status.csv; <run_dir>/runtime_execution_markers.txt when run_dir resolvable",Auxiliary signaling per script comments; markers append in run_dir when appdata context exists
GROUND_TRUTH,AUTHORITATIVE_EXECUTION_SIGNAL,execution_status.csv final written state (single-row table per overwrite; last write wins),Script declares EXECUTION_STATUS sole authoritative outcome; mid-run copy can show PARTIAL (BS-02)
SYSTEM_CONTRACT_AS_IS,RUN_DIR_ALLOCATION,Under repoRoot/results/Switching/runs via createRunContext with experiment Switching,Not a globally enforced single root across all modules
SYSTEM_CONTRACT_AS_IS,EXECUTION_STATUS_AUTHORITY,execution_status.csv column EXECUTION_STATUS is sole authoritative final outcome,Other CSVs and reports are diagnostic including CANONICAL_PIPELINE_CONFIRMED (BS-07)
SYSTEM_CONTRACT_AS_IS,RUN_IDENTITY,run_id folder name plus run_manifest.json record repo_root run_dir experiment label timestamp,Path normalization may differ string casing vs MATLAB fullfile (BS-01)
SYSTEM_CONTRACT_AS_IS,VALIDATOR_ROLE,switching_canonical_validation.csv and verdict columns are governance/diagnostic; they do not replace execution_status.csv,Non-blocking relative to execution contract
SYSTEM_CONTRACT_AS_IS,GUARD_ROLE,pre_execution_guard.ps1 blocks MATLAB when script path invalid; exit 2 and optional tables/pre_execution_failure_log.csv,Eligibility before MATLAB starts
SYSTEM_CONTRACT_AS_IS,WRAPPER_POLICY,Single matlab -batch invocation per run_matlab_safe.bat call,repo_execution_rules.md
NON_CANONICAL_A,PATH_RUN_ROOT_NOT_GLOBAL_ENFORCED,"run_dir under results/Switching/runs depends on experiment string and shared createRunContext; not a single repo-wide enforced run root independent of module",REQUIRES_PHASE4_FIX YES per closure charter
NON_CANONICAL_B,FAILURE_PATH_NOT_CANONICAL,"catch path may use createRunContext(...,switching_canonical_failure) or mkdir results/Switching/runs/run_failure_<timestamp> without full manifest lifecycle",BS-05 REQUIRES_PHASE4_FIX YES
NON_CANONICAL_C,DATA_EXTERNAL_RAW_INTENTIONAL,"parentDir parsed from legacy Switching_main.m points outside repo; intentional anti-bloat policy; reproducibility depends on environment",BS-04 REQUIRES_PHASE4_FIX YES formalization not relocation
NON_CANONICAL_D,SIGNAL_MULTI_WRITE,"execution_status.csv overwritten PARTIAL to PARTIAL to SUCCESS or FAILED; time-dependent if read mid-run",BS-02 REQUIRES_PHASE4_FIX OPTIONAL contract clarification
CONFIRMATION_STABLE,EXECUTION_TRUSTED,YES,Wrapper guard single-batch chain understood and documented
CONFIRMATION_STABLE,SYSTEM_DETERMINISTIC,YES,Given fixed repo inputs script versions and external raw tree; run_id uses clock (BS-15)
CONFIRMATION_STABLE,SIGNALING_UNIFIED,YES,Single declared authority execution_status.csv vs exit code
CONFIRMATION_STABLE,NO_FALLBACK_DURING_SUCCESS_PATH,YES,Catch fallback only when run_dir not established for status
CONFIRMATION_STABLE,MANIFEST_VALID,YES,Normal path writes run_manifest.json via createRunContext
CONFIRMATION_STABLE,FINGERPRINT_VALID,YES,Embedded in manifest on success path
CLOSURE_VERDICT,PHASE_3_CLOSED,YES,Read-only lock step
CLOSURE_VERDICT,SYSTEM_UNDERSTOOD,YES,
CLOSURE_VERDICT,FULLY_CANONICAL,NO,Aligns system_blind_spot_status.csv SYSTEM_FULLY_CANONICAL NO
