failure_id,layer,description,severity,expected_behavior,current_behavior,calibration_verdict,evidence
FM-W-01,wrapper,Missing or invalid script path still passed to matlab -batch,HARD,Optional pre-check or clear exit without launching MATLAB,WARN_ONLY at echo level; MATLAB still launched; exit nonzero from MATLAB,TOO_PERMISSIVE,"tools/run_matlab_safe.bat L44; terminal 829497.txt SCRIPT_EXISTS=NO then BEFORE_MATLAB_CALL"
FM-W-02,wrapper,Empty/missing first arg resolves path to cwd via PowerShell,SOFT,Explicit error or require absolute path,Relative resolution to cwd; may run unintended file if present,UNCLEAR,"tools/run_matlab_safe.bat L11-15"
FM-W-03,wrapper,temp_runner.m fixed path under tools/,PARTIAL,N/A or unique per invocation,Single shared file created/deleted; race under parallel runs,TOO_PERMISSIVE,"tools/run_matlab_safe.bat L25-26 L48"
FM-V-01,validator,validate_matlab_runnable.ps1 on missing file,SOFT,WARN_ONLY,WARN_ONLY plus contradictory PASS line in output,INCONSISTENT,"PowerShell run 2026-04-03; WARN then RESULT=PASS for same path"
FM-V-02,validator,Not invoked by batch wrapper,SOFT,Documented optional,Never blocks batch path,CORRECT,"tools/run_matlab_safe.bat no validate call; docs/AGENT_RULES.md optional preflight"
FM-S-01,script entry,ASCII-only policy for agents,HARD per doc,Agent STOP before run,Not enforced by wrapper; only policy,CORRECT for non-blocking automation,"docs/repo_execution_rules.md L120-127; wrapper has no ASCII check"
FM-S-02,script entry,run_switching_canonical disp SCRIPT_ENTERED early,PARTIAL,Script entry signal,disp before createRunContext,CORRECT,"Switching/analysis/run_switching_canonical.m L20"
FM-RC-01,run context,createRunContext mkdir failure,HARD,HARD_BLOCK via error,error RUN_CONTEXT:MKDIR_FAILED,CORRECT,"Aging/utils/createRunContext.m L61-64 L72-75"
FM-RC-02,run context,ensureRunStatusFile fopen failure,PARTIAL,WARN or visible failure,silent return no file,TOO_PERMISSIVE,"Aging/utils/createRunContext.m L113-116"
FM-AW-01,artifact writing,run_switching_canonical PARTIAL execution_status before pipeline,HARD,WRITE_PARTIAL status,writetable PARTIAL rows,CORRECT,"run_switching_canonical.m L63-64 L109-110"
FM-AW-02,artifact writing,Success final SUCCESS status,HARD,Full status,nT and SUCCESS,CORRECT,"run_switching_canonical.m L587-588"
FM-AW-03,artifact writing,Catch writes FAILED + impl tables/reports,PARTIAL,WRITE_PARTIAL_STATUS + diagnose,FAILED + implStatusFail + optional report,CORRECT,"run_switching_canonical.m L628-667"
FM-ST-01,status writing,execution_status schema unified,SOFT,Single schema,Five columns per statusCols,CORRECT,"run_switching_canonical.m L11 L63-64"
FM-FP-01,fingerprint/provenance,run_manifest from createRunContext,HARD,Written when context created,writeManifest in createRunContext,CORRECT,"Aging/utils/createRunContext.m L90"
FM-DR-01,drift/consistency,No automated drift check in wrapper,SOFT,N/A or post-hoc,None in batch,UNCLEAR,"tools/run_matlab_safe.bat"
FM-PX-01,parallel execution,Unique run_dir from makeUniqueRunId,HARD,Isolated dirs,Unique run_id under results experiment runs,CORRECT,"Aging/utils/createRunContext.m L67-69"
FM-PX-02,parallel execution,Shared tools/temp_runner.m,PARTIAL,No shared mutable state,Delete after run; concurrent runs may clash,TOO_PERMISSIVE,"tools/run_matlab_safe.bat L48"
