path_or_object,object_type,tracked_status,ignored_status,semantic_family_id,recommended_alias,namespace_id,parent_namespace,claim_level,manuscript_safe,replay_safe,canonical_safe,source_inputs,output_objects,allowed_use,forbidden_use,required_namespace_fields,required_lineage_fields,evidence_paths,confidence,notes
Switching/analysis/run_switching_canonical.m,matlab_script,TRACKED,NO,CANON_GEN_MIXED_PRODUCER,CanonGen_Mixed_Output_Entrypoint,CANON_GEN,CANON_GEN,PRODUCER_MULTI_FAMILY,CONDITIONAL,NO,NO,Raw Temp Dep via Switching_main,switching_canonical_S_long observables phi outputs,Emit measured S plus diagnostics per column split,Treat single script as one manuscript backbone formula,MIXED_OUTPUT_RUN; per-output namespace_id,run_id; switching_canonical_S_long_column_namespace pointer,switching_semantic_taxonomy.csv; REG001,HIGH,Mixed producer entrypoint not collapsible to one family.
results/switching/runs/<run_id>/tables/switching_canonical_S_long.csv::column/S_percent,mixed_table_column,TYPICALLY_IGNORED_BY_GITIGNORE,YES,CANON_GEN_SOURCE,Measured_S_CANON_GEN_LAYER,CANON_GEN_SOURCE,CANON_GEN,SOURCE_LAYER_FOR_S_PERCENT,YES,NO,YES_COLUMN_ONLY,producer pipeline,S_percent column vector,Cite as measured switching surface,Treat as EXPERIMENTAL PT backbone,CANON_GEN_SOURCE; column_class=S_SOURCE,run_id; reports/switching_canonical_S_long_column_namespace.md,switching_semantic_taxonomy.csv; REG001,HIGH,Column-level registry row required not whole-file only.
results/switching/runs/<run_id>/tables/switching_canonical_S_long.csv::column/T_K,mixed_table_column,TYPICALLY_IGNORED_BY_GITIGNORE,YES,CANON_GEN_SOURCE,Measured_S_CANON_GEN_LAYER,CANON_GEN_SOURCE,CANON_GEN,SOURCE_LAYER_FOR_S_PERCENT,YES,NO,YES_COLUMN_ONLY,same run,S_long temperature coordinate,Coordinate for S_percent grid,N/A as backbone alone,CANON_GEN_SOURCE; column coordinate,run_id,switching_semantic_taxonomy.csv,HIGH,Paired with S_percent identity layer.
results/switching/runs/<run_id>/tables/switching_canonical_S_long.csv::column/current_mA,mixed_table_column,TYPICALLY_IGNORED_BY_GITIGNORE,YES,CANON_GEN_SOURCE,Measured_S_CANON_GEN_LAYER,CANON_GEN_SOURCE,CANON_GEN,SOURCE_LAYER_FOR_S_PERCENT,YES,NO,YES_COLUMN_ONLY,same run,S_long current coordinate,Native ladder for S maps,Mislabel as corrected-old residual axis,CANON_GEN_SOURCE; column coordinate,run_id,switching_semantic_taxonomy.csv,HIGH,
results/switching/runs/<run_id>/tables/switching_canonical_S_long.csv::column/PT_pdf,mixed_table_column,TYPICALLY_IGNORED_BY_GITIGNORE,YES,EXPERIMENTAL_PTCDF_DIAGNOSTIC,PTCDF_Rowwise_Diagnostic_Layer,EXPERIMENTAL_PTCDF_DIAGNOSTIC,CANON_GEN,DIAGNOSTIC_QUARANTINED,NO,NO,NO,same run,PT_pdf diagnostic column,Diagnostics overlays parity,AUTHORITY backbone CORRECTED without id,EXPERIMENTAL_PTCDF_DIAGNOSTIC; relation_to_dS_dI,run_id,switching_semantic_taxonomy.csv; REG001,HIGH,Quarantine vs corrected-old manuscript backbone.
results/switching/runs/<run_id>/tables/switching_canonical_S_long.csv::column/CDF_pt,mixed_table_column,TYPICALLY_IGNORED_BY_GITIGNORE,YES,EXPERIMENTAL_PTCDF_DIAGNOSTIC,PTCDF_Rowwise_Diagnostic_Layer,EXPERIMENTAL_PTCDF_DIAGNOSTIC,CANON_GEN,DIAGNOSTIC_QUARANTINED,NO,NO,NO,same run,CDF_pt diagnostic column,Axis for overlays diagnostics,Main manuscript backbone wording alone,EXPERIMENTAL_PTCDF_DIAGNOSTIC,run_id,switching_semantic_taxonomy.csv,HIGH,
results/switching/runs/<run_id>/tables/switching_canonical_S_long.csv::column/S_model_pt_percent,mixed_table_column,TYPICALLY_IGNORED_BY_GITIGNORE,YES,EXPERIMENTAL_PTCDF_DIAGNOSTIC,PTCDF_Rowwise_Diagnostic_Layer,EXPERIMENTAL_PTCDF_DIAGNOSTIC,CANON_GEN,DIAGNOSTIC_QUARANTINED,NO,NO,NO,same run,model backbone column diagnostic,Hierarchy consumers overlays,CORRECTED backbone substitution,S_model_pt_percent diagnostic class,run_id,switching_analysis_classification_status.csv,HIGH,S_MODEL_PT_PERCENT forbidden as manuscript backbone per classification audit.
results/switching/runs/<run_id>/tables/switching_canonical_S_long.csv::column/residual_percent,mixed_table_column,TYPICALLY_IGNORED_BY_GITIGNORE,YES,EXPERIMENTAL_PTCDF_DIAGNOSTIC,PTCDF_Rowwise_Diagnostic_Layer,DIAGNOSTIC_MODE_ANALYSIS,CANON_GEN,DIAGNOSTIC_QUARANTINED,NO,NO,NO,same run,residual_percent column from producer,Internal decomposition parity,residual_percent as CORRECTED_OLD residual authority,residual diagnostic column class; namespace split,run_id,switching_analysis_classification_status.csv,HIGH,Classification rows forbid as corrected-old residual authority.
results/switching/runs/<run_id>/tables/switching_canonical_phi1.csv,file_output,TYPICALLY_IGNORED_BY_GITIGNORE,YES,CANON_GEN_MIXED_PRODUCER,CanonGen_Mixed_Output_Entrypoint,EXPERIMENTAL_DIAGNOSTIC_FROM_CANON_GEN,CANON_GEN,NATIVE_I_DECOMPOSITION_DIAGNOSTIC,NO,NO,NO,run_switching_canonical.m,native-I phi1 mode csv,CANON_GEN diagnostics parity,CORRECTED_OLD authoritative Phi1 substitution,namespace_id per REG003; mixed producer header,run_id,switching_pre_replay_registry_contract.csv REG003,HIGH,Registry REG003 quarantine vs authoritative phi1 file.
tables/switching_corrected_old_authoritative_phi1.csv,data_table,COMMITTED_OR_IGNORED_PATTERN,VARIES,CORRECTED_CANONICAL_OLD_ANALYSIS,Narrative_Manuscript_Old_Analysis_Package,CORRECTED_CANONICAL_OLD_ANALYSIS,CORRECTED_CANONICAL_OLD_ANALYSIS,MANUSCRIPT_UNDER_B09_WHEN_GATED,YES,NO,NO,builder lineage,switching_corrected_old_authoritative_phi1.csv,Manuscript Phi1 when index cites,Equate to switching_canonical_phi1.csv,artifact_role AUTHORITATIVE; builder_status,artifact index REG002,switching_pre_replay_registry_contract.csv REG002,HIGH,
