"FILE","FILE_TYPE","IN_BOUNDARY","CHANGE_SCOPE_VERDICT","FINAL_DECISION","DECISION_CONFIDENCE","ROLLBACK_PRIORITY","REASON","GOVERNANCE_PRESERVE_REQUIRED","EXECUTION_RISK_IF_REVERTED"
"Aging/utils/createRunContext.m","CANONICAL_INFRA_ALLOWED","YES","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Allowed infra on closure path; required for run-scoped results and manifests.","YES","HIGH"
"docs/agent_prompt_exclude.md","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Governance documentation defining or auditing canonical execution and Switching policy; does not add MATLAB runtime closure surface.","YES","LOW"
"docs/AGENT_RULES.md","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Governance documentation defining or auditing canonical execution and Switching policy; does not add MATLAB runtime closure surface.","YES","LOW"
"docs/execution_failure_classification.md","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Governance documentation defining or auditing canonical execution and Switching policy; does not add MATLAB runtime closure surface.","YES","LOW"
"docs/execution_status_schema.md","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Governance documentation defining or auditing canonical execution and Switching policy; does not add MATLAB runtime closure surface.","YES","LOW"
"docs/repo_context_infra.md","DOC","UNCERTAIN","UNCERTAIN","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Repo map/context/templates alignment with current canonical policy is not fully determined from boundary truth alone.","YES","LOW"
"docs/repo_context_minimal.md","DOC","UNCERTAIN","UNCERTAIN","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Repo map/context/templates alignment with current canonical policy is not fully determined from boundary truth alone.","YES","LOW"
"docs/repo_execution_rules.md","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Governance documentation defining or auditing canonical execution and Switching policy; does not add MATLAB runtime closure surface.","YES","LOW"
"docs/repo_map.md","DOC","UNCERTAIN","UNCERTAIN","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Repo map/context/templates alignment with current canonical policy is not fully determined from boundary truth alone.","YES","LOW"
"docs/run_system.md","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Governance documentation defining or auditing canonical execution and Switching policy; does not add MATLAB runtime closure surface.","YES","LOW"
"docs/switching_backend_definition.md","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Governance documentation defining or auditing canonical execution and Switching policy; does not add MATLAB runtime closure surface.","YES","LOW"
"docs/switching_canonical_definition.md","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Governance documentation defining or auditing canonical execution and Switching policy; does not add MATLAB runtime closure surface.","YES","LOW"
"docs/switching_dependency_boundary.md","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Governance documentation defining or auditing canonical execution and Switching policy; does not add MATLAB runtime closure surface.","YES","LOW"
"docs/switching_layer_boundary.md","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Governance documentation defining or auditing canonical execution and Switching policy; does not add MATLAB runtime closure surface.","YES","LOW"
"docs/templates/","DOC","UNCERTAIN","UNCERTAIN","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Repo map/context/templates alignment with current canonical policy is not fully determined from boundary truth alone.","YES","LOW"
"reports/canonical_boundary_truth.md","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Audit report tied to boundary truth; preserve as evidence chain (not MATLAB runtime).","YES","LOW"
"reports/leakage_cleanup.md","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Leakage/cleanup audit narrative; preserve for incident traceability.","YES","LOW"
"Switching ver12/main/Switching_main.m","LEGACY","YES","IN_SCOPE_ALLOWED","KEEP","HIGH","NONE","Fileread path donor in closure; reverting may break raw parentDir resolution.","NO","HIGH"
"Switching ver12/plots/plotSwitchingPanelF.m","LEGACY","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","MEDIUM","Legacy backend plot; not in 16-file closure; revert may affect non-canonical workflows—confirm before REVERT.","NO","LOW"
"Switching/analysis/analyze_phi_kappa_canonical_space.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/debug_fix_o2_pipeline.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/experimental/run_switching_physical_baseline_model.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
"Switching/analysis/experimental/run_switching_raw_baseline_correction_and_comparison.m","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW_REQUIRED","MEDIUM","LOW","Outside canonical closure per boundary truth; rollback would scope-correct but inventory explicitly required manual review—diff before revert to avoid discarding intentional noncanonical work.","NO","LOW"
